gene_id	tAI	nc	gc3
snap_masked-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.144-mRNA-1	0.444292855399061	44.8958	0.076
genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-5.43-mRNA-1	0.394977458499089	54.1470	0.352
genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-2.118-mRNA-1	0.436359407802098	49.9868	0.327
genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-1.5-mRNA-1	0.417557680269223	52.2241	0.358
genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-5.27-mRNA-1	0.460799732184573	48.4275	0.306
snap_masked-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-0.152-mRNA-1	0.46217732571861	45.8422	0.324
genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-1.143-mRNA-1	0.411497735765625	40.1721	0.079
augustus_masked-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-2.77-mRNA-1	0.39814572754164	53.3096	0.312
genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.55-mRNA-1	0.555792315755597	40.3647	0.285
genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-2.42-mRNA-1	0.392919432566323	50.9225	0.298
genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-10.125-mRNA-1	0.408326630555376	52.5527	0.335
snap_masked-NODE_18_length_229513_cov_16.7971_ID_2869-processed-gene-1.62-mRNA-1	0.413432530812074	54.9609	0.340
augustus_masked-NODE_24_length_135386_cov_11.2559_ID_2620-processed-gene-0.42-mRNA-1	0.544586378692223	38.3758	0.282
genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-2.19-mRNA-1	0.428932430884139	49.4933	0.287
genemark-NODE_34_length_45423_cov_12.0106_ID_4005-processed-gene-0.54-mRNA-1	0.424337378916992	48.7949	0.321
genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-2.62-mRNA-1	0.392435426240866	52.1588	0.348
genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.8-mRNA-1	0.444584142110935	47.8135	0.277
snap_masked-NODE_29_length_91673_cov_18.0449_ID_3278-processed-gene-0.59-mRNA-1	0.400599605571322	55.9665	0.374
genemark-NODE_26_length_125553_cov_16.6396_ID_2725-processed-gene-0.32-mRNA-1	0.423023848171841	52.9694	0.372
augustus_masked-NODE_26_length_125553_cov_16.6396_ID_2725-processed-gene-0.78-mRNA-1	0.422326205534553	49.7341	0.256
augustus_masked-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-15.94-mRNA-1	0.385418088874376	54.1336	0.394
genemark-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-0.115-mRNA-1	0.477029707194509	44.2152	0.259
genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-0.34-mRNA-1	0.387420054641354	53.3242	0.350
augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-5.30-mRNA-1	0.404473275911472	53.1663	0.386
genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-0.37-mRNA-1	0.483097359217631	44.1525	0.260
genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.189-mRNA-1	0.545910917418946	38.9799	0.293
genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-2.96-mRNA-1	0.460473362774153	48.0341	0.294
genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-3.136-mRNA-1	0.380394709667315	55.0188	0.367
genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.179-mRNA-1	0.43088061942624	50.7900	0.312
genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-3.113-mRNA-1	0.455487642669076	49.1553	0.321
augustus_masked-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-3.29-mRNA-1	0.470671943036843	45.7722	0.252
genemark-NODE_30_length_82955_cov_12.9935_ID_3527-processed-gene-0.22-mRNA-1	0.428982814767602	48.0467	0.261
genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-6.132-mRNA-1	0.411147080380433	56.1910	0.396
genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-17.164-mRNA-1	0.412401988491724	51.4676	0.303
genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-0.32-mRNA-1	0.413900242205182	51.2546	0.286
genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-6.82-mRNA-1	0.385635778963406	54.4190	0.385
genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-4.158-mRNA-1	0.406561976496604	51.0689	0.298
genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-10.33-mRNA-1	0.382541273049223	53.7704	0.325
augustus_masked-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-2.83-mRNA-1	0.408684163760844	53.5982	0.375
snap_masked-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-0.56-mRNA-1	0.417481825256247	53.5099	0.315
maker-NODE_24_length_135386_cov_11.2559_ID_2620-snap-gene-0.5-mRNA-1	0.423768943490214	53.2128	0.307
genemark-NODE_37_length_36952_cov_17.1637_ID_3828-processed-gene-0.57-mRNA-1	0.436257387462448	51.1498	0.284
genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-17.135-mRNA-1	0.406914302756253	49.5778	0.322
genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-1.49-mRNA-1	0.503360175379103	35.8013	0.130
augustus_masked-NODE_9_length_366428_cov_12.2711_ID_1557-processed-gene-2.37-mRNA-1	0.399301256782524	52.9605	0.300
genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-1.261-mRNA-1	0.394878449423168	54.2108	0.357
genemark-NODE_19_length_228542_cov_17.4633_ID_2414-processed-gene-1.6-mRNA-1	0.398849778248175	54.0495	0.337
genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-6.42-mRNA-1	0.403572944326039	51.3426	0.321
genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-1.125-mRNA-1	0.491932115646162	44.4032	0.253
genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-8.39-mRNA-1	0.563215585873511	34.8331	0.013
genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-1.115-mRNA-1	0.576748422788553	35.4497	0.228
maker-NODE_15_length_255544_cov_16.8036_ID_3316-snap-gene-1.11-mRNA-1	0.383633835522488	53.9595	0.365
