gene_id	tAI	nc	gc3
maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-11.8-mRNA-1	0.462435043335873	55.8615	0.490
snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.155-mRNA-1	0.443173794448092	55.2008	0.501
genemark-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-3.129-mRNA-1	0.413978284503577	59.1373	0.497
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-3.71-mRNA-1	0.502505545455669	53.2031	0.523
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.243-mRNA-1	0.392925171045706	58.2110	0.422
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.14-mRNA-1	0.454481997834113	57.2637	0.523
snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-2.54-mRNA-1	0.406823875011556	57.5483	0.448
snap_masked-NODE_17_length_234958_cov_39.2301_ID_33-processed-gene-0.96-mRNA-1	0.406873234583707	57.6064	0.413
snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-2.130-mRNA-1	0.412765414673064	55.4300	0.455
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-16.20-mRNA-1	0.431883990728699	57.7931	0.441
snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.11-mRNA-1	0.46270082780223	54.4650	0.541
snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-1.82-mRNA-1	0.387758235284348	57.2588	0.412
maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-6.63-mRNA-1	0.411561602518694	54.8414	0.396
augustus_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-2.37-mRNA-1	0.413456489362124	55.6155	0.430
augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-5.41-mRNA-1	0.419865022252049	60.1705	0.459
maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-8.108-mRNA-1	0.380430399373955	56.2766	0.379
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-19.16-mRNA-1	0.413604523955099	58.5769	0.418
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.162-mRNA-1	0.396394368000435	56.1569	0.455
snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-3.265-mRNA-1	0.441494140584951	57.0121	0.517
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-9.84-mRNA-1	0.391347200437209	57.5872	0.420
snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-5.116-mRNA-1	0.405249938192309	58.3521	0.429
snap_masked-NODE_40_length_5126_cov_85.6098_ID_79-processed-gene-0.2-mRNA-1	0.38291825263177	52.2479	0.326
snap_masked-NODE_16_length_236730_cov_37.7939_ID_31-processed-gene-1.127-mRNA-1	0.404390900143793	55.9587	0.390
snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-6.92-mRNA-1	0.425833906602543	57.8094	0.404
snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-1.104-mRNA-1	0.343156450532458	55.3565	0.349
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-7.37-mRNA-1	0.394489349047802	56.1727	0.415
maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-11.3-mRNA-1	0.390228685624672	58.6553	0.398
snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.93-mRNA-1	0.437928275745767	58.2346	0.506
snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.123-mRNA-1	0.406552613996026	57.8913	0.464
genemark-NODE_13_length_269693_cov_38.1254_ID_25-processed-gene-1.188-mRNA-1	0.439323598892378	56.7128	0.597
genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.98-mRNA-1	0.419827954415342	58.6587	0.480
augustus_masked-NODE_32_length_8718_cov_49.8335_ID_63-processed-gene-0.12-mRNA-1	0.375798847899488	52.6579	0.380
genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-11.160-mRNA-1	0.406178770495616	54.8110	0.438
genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.97-mRNA-1	0.495576599609841	49.4421	0.658
maker-NODE_3_length_1094262_cov_38.3339_ID_5-snap-gene-8.63-mRNA-1	0.407600516553949	54.4092	0.489
augustus_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-6.139-mRNA-1	0.344300675537525	49.0163	0.419
snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.126-mRNA-1	0.528026401601496	43.4387	0.413
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.55-mRNA-1	0.511893290684623	57.0573	0.577
augustus_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-0.151-mRNA-1	0.384516750164513	55.8078	0.376
snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.145-mRNA-1	0.422231480661223	55.2608	0.473
snap_masked-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-0.30-mRNA-1	0.441765192784251	55.4742	0.408
snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-5.88-mRNA-1	0.37070556921741	56.1392	0.451
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-3.103-mRNA-1	0.419133955924931	59.3025	0.459
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.255-mRNA-1	0.397910790934283	59.1221	0.399
maker-NODE_3_length_1094262_cov_38.3339_ID_5-snap-gene-9.390-mRNA-1	0.390459088681429	57.5633	0.385
genemark-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-3.76-mRNA-1	0.456801732146695	54.6956	0.404
snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-2.84-mRNA-1	0.437163026641361	55.7205	0.489
snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-2.103-mRNA-1	0.456467488160734	56.8951	0.485
genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-6.142-mRNA-1	0.40988542131552	59.0960	0.438
maker-NODE_9_length_477053_cov_38.1667_ID_17-snap-gene-3.102-mRNA-1	0.416244414507546	58.6279	0.439
snap_masked-NODE_12_length_299431_cov_39.0444_ID_23-processed-gene-0.49-mRNA-1	0.409695729946686	59.3153	0.416
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-13.185-mRNA-1	0.365203024456548	57.0031	0.384
maker-NODE_3_length_1094262_cov_38.3339_ID_5-snap-gene-4.191-mRNA-1	0.37607139103729	55.9361	0.389
snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-1.66-mRNA-1	0.39723388681377	57.2536	0.395
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-7.132-mRNA-1	0.415621775968185	55.9865	0.393
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.176-mRNA-1	0.409157790072907	58.5109	0.392
snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.208-mRNA-1	0.370663823242553	56.8928	0.451
augustus_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.311-mRNA-1	0.472845956691006	54.8274	0.585
snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.225-mRNA-1	0.414477113921544	56.2197	0.553
augustus_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.93-mRNA-1	0.455413704567857	55.3495	0.359
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.72-mRNA-1	0.481863045114636	56.1439	0.560
snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-1.75-mRNA-1	0.395574407880938	55.9880	0.451
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.134-mRNA-1	0.39049390355461	56.1003	0.441
snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.249-mRNA-1	0.421802769391419	58.1488	0.495
snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.100-mRNA-1	0.428449418445023	57.6428	0.409
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-3.100-mRNA-1	0.438250366317374	56.4204	0.514
snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.145-mRNA-1	0.491138426525457	54.5124	0.518
snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.14-mRNA-1	0.468108675089706	54.3429	0.451
snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-3.302-mRNA-1	0.567104432045799	45.9869	0.524
augustus_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-3.128-mRNA-1	0.406143013103778	58.4370	0.423
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-7.6-mRNA-1	0.435853831024937	58.3380	0.474
snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.96-mRNA-1	0.397777706816598	53.9607	0.399
snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-3.280-mRNA-1	0.461605217638732	56.4425	0.557
snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.142-mRNA-1	0.448502618869213	53.9794	0.479
snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-2.55-mRNA-1	0.411971705388847	56.3564	0.556
genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-9.47-mRNA-1	0.384635047125753	55.9358	0.383
snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.184-mRNA-1	0.43725718833783	58.1018	0.502
snap_masked-NODE_17_length_234958_cov_39.2301_ID_33-processed-gene-1.194-mRNA-1	0.391619114915562	56.7029	0.381
snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-3.296-mRNA-1	0.427385476168467	56.2143	0.571
snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.150-mRNA-1	0.385593075469937	52.0429	0.545
snap_masked-NODE_12_length_299431_cov_39.0444_ID_23-processed-gene-1.158-mRNA-1	0.368421493058568	54.7650	0.321
snap_masked-NODE_26_length_34277_cov_39.3416_ID_51-processed-gene-0.43-mRNA-1	0.436700174379217	56.9454	0.502
snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.70-mRNA-1	0.493311357073989	55.6157	0.604
snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-4.41-mRNA-1	0.401711373293022	58.2145	0.433
maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-13.208-mRNA-1	0.487995691582505	48.2430	0.476
augustus_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-1.160-mRNA-1	0.381277991487868	51.1612	0.328
snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-2.60-mRNA-1	0.410845919699667	59.1127	0.517
snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.2-mRNA-1	0.456118147069213	55.7474	0.610
snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.144-mRNA-1	0.474399509031643	56.7378	0.516
snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-1.76-mRNA-1	0.410473740231012	55.0526	0.395
snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.69-mRNA-1	0.48287152218669	54.0643	0.529
snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.109-mRNA-1	0.404034790066254	58.2963	0.451
snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.100-mRNA-1	0.45478448901101	53.7968	0.446
genemark-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-2.178-mRNA-1	0.384666814683185	57.1682	0.408
snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-1.75-mRNA-1	0.397249232725286	58.6273	0.449
augustus_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-10.23-mRNA-1	0.413036787551802	56.0560	0.445
augustus_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.201-mRNA-1	0.394898543928316	55.7950	0.421
augustus_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-1.8-mRNA-1	0.377800422190117	57.9857	0.469
