gene_id	tAI	nc	gc3
augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-1.113-mRNA-1	0.505556514060278	51.8403	0.315
genemark-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-5.190-mRNA-1	0.321969172827219	51.9424	0.290
augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-0.90-mRNA-1	0.466003793930654	52.2715	0.520
augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-3.40-mRNA-1	0.394482238836849	52.9876	0.300
genemark-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-1.3-mRNA-1	0.395377659121622	54.0718	0.429
augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.18-mRNA-1	0.478790059449978	52.8998	0.385
augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-3.58-mRNA-1	0.350856236111068	58.0240	0.391
snap_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-1.97-mRNA-1	0.442176585417573	54.2233	0.354
augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-5.132-mRNA-1	0.39145397646094	54.1562	0.359
augustus_masked-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.94-mRNA-1	0.370646635059448	52.2447	0.285
augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-5.85-mRNA-1	0.385203788261631	56.7635	0.350
augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-5.121-mRNA-1	0.33225115575528	55.4333	0.395
augustus_masked-NODE_38_length_63465_cov_28.2542_ID_4430-processed-gene-0.36-mRNA-1	0.335514628831431	55.5840	0.413
genemark-NODE_40_length_55667_cov_57.0441_ID_4107-processed-gene-0.25-mRNA-1	0.416262961613593	49.6486	0.301
snap_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-4.109-mRNA-1	0.375036158493577	55.9815	0.415
augustus_masked-NODE_15_length_231884_cov_38.0692_ID_3232-processed-gene-1.110-mRNA-1	0.402906756356575	53.9438	0.311
genemark-NODE_18_length_180892_cov_30.0919_ID_5399-processed-gene-0.152-mRNA-1	0.388546562439333	54.2827	0.411
genemark-NODE_21_length_134725_cov_26.4827_ID_2445-processed-gene-0.109-mRNA-1	0.450610612552576	50.8452	0.270
augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-3.52-mRNA-1	0.483011568833241	50.4552	0.386
snap_masked-NODE_36_length_64859_cov_30.1357_ID_7042-processed-gene-0.7-mRNA-1	0.427199126443035	52.5012	0.305
augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-3.20-mRNA-1	0.370789863931274	50.2736	0.223
augustus_masked-NODE_26_length_99811_cov_27.7239_ID_4270-processed-gene-0.99-mRNA-1	0.405120851452188	54.2292	0.358
augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-0.134-mRNA-1	0.420672101252707	53.5169	0.319
augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-1.16-mRNA-1	0.376657217470548	54.6446	0.320
snap_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.0-mRNA-1	0.431860822958424	47.3137	0.211
augustus_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.177-mRNA-1	0.526401105925131	47.1584	0.389
augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-7.14-mRNA-1	0.359707435368931	54.8109	0.362
augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-1.70-mRNA-1	0.443371195159941	52.7660	0.323
