gene_id	tAI	nc	gc3
genemark-Ca22chr5A_C_albicans_SC5314-processed-gene-6.55-mRNA-1	0.708865368855649	40.8021	0.207
genemark-Ca22chrRA_C_albicans_SC5314-processed-gene-20.99-mRNA-1	0.560579409127613	45.0212	0.128
genemark-Ca22chr3A_C_albicans_SC5314-processed-gene-16.152-mRNA-1	0.574017327737652	49.0735	0.271
augustus_masked-Ca22chrRA_C_albicans_SC5314-processed-gene-0.28-mRNA-1	0.500811696818212	52.9409	0.284
genemark-Ca22chr2A_C_albicans_SC5314-processed-gene-5.95-mRNA-1	0.606165567919677	52.1756	0.315
genemark-Ca22chr5A_C_albicans_SC5314-processed-gene-2.71-mRNA-1	0.585373127734702	42.6279	0.184
genemark-Ca22chr5A_C_albicans_SC5314-processed-gene-10.136-mRNA-1	0.602982755254351	48.8481	0.357
genemark-Ca22chr2A_C_albicans_SC5314-processed-gene-11.56-mRNA-1	0.625544369045851	41.7285	0.107
genemark-Ca22chr5A_C_albicans_SC5314-processed-gene-8.80-mRNA-1	0.462459171963593	49.2980	0.588
genemark-Ca22chr2A_C_albicans_SC5314-processed-gene-14.132-mRNA-1	0.499512335581873	51.5983	0.271
augustus_masked-Ca22chr7A_C_albicans_SC5314-processed-gene-6.6-mRNA-1	0.509614064152903	53.6966	0.304
augustus_masked-Ca22chr1A_C_albicans_SC5314-processed-gene-2.18-mRNA-1	0.535694675244948	52.3675	0.303
genemark-Ca22chr6A_C_albicans_SC5314-processed-gene-0.84-mRNA-1	0.515578785248276	55.5280	0.351
snap_masked-Ca22chr5A_C_albicans_SC5314-processed-gene-0.70-mRNA-1	0.50912042481548	54.8451	0.333
genemark-Ca22chr2A_C_albicans_SC5314-processed-gene-11.75-mRNA-1	0.524304845106676	51.9170	0.291
genemark-Ca22chr4A_C_albicans_SC5314-processed-gene-9.29-mRNA-1	0.545114655735549	51.8576	0.282
genemark-Ca22chrRA_C_albicans_SC5314-processed-gene-21.96-mRNA-1	0.57486979291379	49.9470	0.584
genemark-Ca22chr6A_C_albicans_SC5314-processed-gene-6.14-mRNA-1	0.536141798328636	49.1422	0.290
augustus_masked-Ca22chr1A_C_albicans_SC5314-processed-gene-13.24-mRNA-1	0.68916744075207	43.1508	0.365
genemark-Ca22chr1A_C_albicans_SC5314-processed-gene-16.90-mRNA-1	0.531767126707535	50.3706	0.253
augustus_masked-Ca22chr5A_C_albicans_SC5314-processed-gene-9.116-mRNA-1	0.51517869549089	52.4219	0.282
genemark-Ca22chr4A_C_albicans_SC5314-processed-gene-5.40-mRNA-1	0.622247547590008	41.1472	0.087
snap_masked-Ca22chr2A_C_albicans_SC5314-processed-gene-18.23-mRNA-1	0.572506816297768	49.1097	0.232
genemark-Ca22chr3A_C_albicans_SC5314-processed-gene-7.55-mRNA-1	0.508586852165219	52.7288	0.298
augustus_masked-Ca22chr3A_C_albicans_SC5314-processed-gene-8.104-mRNA-1	0.505433096542926	48.7750	0.227
genemark-Ca22chr6A_C_albicans_SC5314-processed-gene-0.85-mRNA-1	0.489156020507616	53.4885	0.317
genemark-Ca22chr7A_C_albicans_SC5314-processed-gene-6.64-mRNA-1	0.514679945733591	53.4262	0.305
genemark-Ca22chr7A_C_albicans_SC5314-processed-gene-1.55-mRNA-1	0.561270284909136	42.9782	0.109
