Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.18-mRNA-1            555       11        3        7   55.5890   62.5959
genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.71-mRNA-1              1167       11        3        7   54.0332   60.8378
genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.87-mRNA-1               972       11        3        7   47.7401   58.6199
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.20-mRNA-1            468       11        3        7   56.5754   62.6625
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.21-mRNA-1            474       11        3        7   50.4584   59.3513
maker-NODE_10_length_566260_cov_17.1707_ID_19-snap-gene-0.35-mRNA-1                      3198       11        3        7   54.0519   61.3704
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.3-mRNA-1            1296       11        3        7   47.8815   59.3037
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.4-mRNA-1             453       10        3        7   53.0723   60.3997
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.5-mRNA-1             624       11        3        7   50.4393   60.7293
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.22-mRNA-1            879       11        3        7   52.0830   60.8114
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.6-mRNA-1             417       10        3        7   49.6195   57.6948
snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.23-mRNA-1           1779       10        3        7   56.4880   61.9007
augustus_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.45-mRNA-1        612       11        3        7   53.7068   62.1316
