gene_id	tAI	nc	gc3
snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-6.34-mRNA-1	0.452738761561323	44.4132	0.407
augustus_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.80-mRNA-1	0.458946639402138	37.9434	0.923
snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-14.34-mRNA-1	0.435300489908205	56.4534	0.415
snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.14-mRNA-1	0.439019634765073	56.8207	0.388
snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-7.46-mRNA-1	0.399437378633845	54.8695	0.343
augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-7.113-mRNA-1	0.428507107004512	53.7128	0.332
genemark-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.70-mRNA-1	0.3824323675357	54.6519	0.366
snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-13.76-mRNA-1	0.413672582112108	52.9374	0.331
snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-18.109-mRNA-1	0.412930281515245	54.7874	0.401
augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-6.79-mRNA-1	0.452379404454776	58.1408	0.447
snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.123-mRNA-1	0.417348974452169	55.9312	0.348
maker-gi|1002316138|dbj|BCIF01000002.1|-augustus-gene-6.162-mRNA-1	0.43815117823499	54.9046	0.404
snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.226-mRNA-1	0.412222848429117	56.2355	0.365
snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-2.56-mRNA-1	0.422209784116969	57.4425	0.458
snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-1.43-mRNA-1	0.42424078703162	56.2337	0.359
snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-5.59-mRNA-1	0.409714941926196	54.3043	0.340
snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.230-mRNA-1	0.429364750202153	53.8602	0.352
augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.37-mRNA-1	0.410041420801791	55.9065	0.358
snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-2.41-mRNA-1	0.418311620202872	55.7196	0.347
genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-10.1-mRNA-1	0.450855219334595	55.7577	0.387
snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.22-mRNA-1	0.419170500325775	56.1810	0.387
snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-13.85-mRNA-1	0.418983436190006	55.9098	0.359
snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.51-mRNA-1	0.43564420173874	56.2112	0.366
snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-8.85-mRNA-1	0.4251463350872	47.8969	0.771
