gene_id	tAI	nc	gc3
snap_masked-flattened_line_136-processed-gene-0.58-mRNA-1	0.255415198763415	50.4678	0.312
maker-flattened_line_82-snap-gene-0.74-mRNA-1	0.255198880605189	52.3416	0.271
augustus_masked-flattened_line_20-processed-gene-0.49-mRNA-1	0.253676829870877	52.1809	0.271
snap_masked-flattened_line_0-processed-gene-0.51-mRNA-1	0.25869962587445	51.8501	0.264
snap_masked-flattened_line_32-processed-gene-0.99-mRNA-1	0.266866172153113	50.2421	0.232
snap_masked-flattened_line_120-processed-gene-0.46-mRNA-1	0.26941053801484	50.6551	0.306
snap_masked-flattened_line_192-processed-gene-0.43-mRNA-1	0.259469060395976	49.3989	0.264
snap_masked-flattened_line_48-processed-gene-0.129-mRNA-1	0.274816921564633	50.7490	0.291
maker-flattened_line_26-augustus-gene-0.62-mRNA-1	0.243473729427282	51.8060	0.295
snap_masked-flattened_line_186-processed-gene-0.4-mRNA-1	0.266799872320789	52.1487	0.263
snap_masked-flattened_line_12-processed-gene-0.167-mRNA-1	0.28575745463049	47.2639	0.244
snap_masked-flattened_line_292-processed-gene-0.18-mRNA-1	0.224379324695569	50.6066	0.268
snap_masked-flattened_line_136-processed-gene-0.55-mRNA-1	0.367673485959539	48.9851	0.333
snap_masked-flattened_line_94-processed-gene-0.1-mRNA-1	0.251407179544992	52.8965	0.288
snap_masked-flattened_line_64-processed-gene-0.68-mRNA-1	0.237572394036895	52.1090	0.247
augustus_masked-flattened_line_48-processed-gene-0.15-mRNA-1	0.232094242898823	50.2127	0.249
snap_masked-flattened_line_118-processed-gene-0.72-mRNA-1	0.265003748009853	45.7717	0.213
genemark-flattened_line_0-processed-gene-0.3-mRNA-1	0.326825869381366	46.4356	0.243
snap_masked-flattened_line_76-processed-gene-0.81-mRNA-1	0.296403151219365	43.3642	0.198
augustus_masked-flattened_line_362-processed-gene-0.5-mRNA-1	0.310536692996178	47.3796	0.233
augustus_masked-flattened_line_68-processed-gene-0.107-mRNA-1	0.268777706121386	55.9195	0.285
snap_masked-flattened_line_152-processed-gene-0.58-mRNA-1	0.225086580927714	50.3739	0.247
snap_masked-flattened_line_210-processed-gene-0.26-mRNA-1	0.237611533675553	50.7885	0.262
snap_masked-flattened_line_58-processed-gene-0.99-mRNA-1	0.250384782669795	47.5467	0.220
augustus_masked-flattened_line_266-processed-gene-0.8-mRNA-1	0.276237048768601	51.1717	0.231
maker-flattened_line_66-snap-gene-0.3-mRNA-1	0.406156934823262	45.7914	0.325
