gene_id	tAI	nc	gc3
snap_masked-scaffold_1-processed-gene-23.26-mRNA-1	0.411750301495422	57.1584	0.564
augustus_masked-scaffold_1-processed-gene-3.84-mRNA-1	0.380959224243577	56.9886	0.447
snap_masked-scaffold_1-processed-gene-14.153-mRNA-1	0.373730135844829	57.1036	0.427
snap_masked-scaffold_2-processed-gene-1.12-mRNA-1	0.376644527861554	56.8491	0.439
snap_masked-scaffold_3-processed-gene-1.18-mRNA-1	0.44052549129245	53.2368	0.616
genemark-scaffold_1-processed-gene-10.27-mRNA-1	0.428842049321887	49.5108	0.427
snap_masked-scaffold_4-processed-gene-1.8-mRNA-1	0.427529329043373	57.3921	0.539
snap_masked-scaffold_2-processed-gene-9.81-mRNA-1	0.437113088346696	55.2110	0.455
augustus_masked-scaffold_1-processed-gene-7.1-mRNA-1	0.433420453243655	57.0504	0.564
genemark-scaffold_1-processed-gene-14.76-mRNA-1	0.377716372790832	57.7520	0.421
snap_masked-scaffold_3-processed-gene-22.138-mRNA-1	0.463269618202776	52.4569	0.575
snap_masked-scaffold_2-processed-gene-28.118-mRNA-1	0.376567181120202	56.1078	0.410
snap_masked-scaffold_1-processed-gene-16.9-mRNA-1	0.367622383163174	54.3677	0.363
snap_masked-scaffold_1-processed-gene-30.79-mRNA-1	0.348860938846574	56.3358	0.369
snap_masked-scaffold_2-processed-gene-30.154-mRNA-1	0.420378051088061	56.5488	0.519
snap_masked-scaffold_1-processed-gene-9.19-mRNA-1	0.41710455541253	58.1698	0.470
snap_masked-scaffold_1-processed-gene-0.24-mRNA-1	0.368919289218077	55.3149	0.366
snap_masked-scaffold_1-processed-gene-13.123-mRNA-1	0.365608323252761	54.9970	0.343
augustus_masked-scaffold_2-processed-gene-28.50-mRNA-1	0.420636889696199	52.7649	0.564
snap_masked-scaffold_1-processed-gene-10.158-mRNA-1	0.451706550661885	52.7161	0.599
augustus_masked-scaffold_3-processed-gene-23.158-mRNA-1	0.445410994437793	54.2742	0.635
augustus_masked-scaffold_2-processed-gene-10.87-mRNA-1	0.458093241831818	54.5611	0.618
augustus_masked-scaffold_2-processed-gene-25.126-mRNA-1	0.368631224034499	55.8827	0.343
snap_masked-scaffold_3-processed-gene-14.90-mRNA-1	0.410947267846846	56.6966	0.503
snap_masked-scaffold_2-processed-gene-29.15-mRNA-1	0.390655711112096	58.1087	0.466
augustus_masked-scaffold_2-processed-gene-9.35-mRNA-1	0.372846969049565	55.3711	0.397
snap_masked-scaffold_3-processed-gene-11.122-mRNA-1	0.372692004560235	55.0741	0.347
augustus_masked-scaffold_1-processed-gene-27.12-mRNA-1	0.398600191000594	56.9473	0.488
augustus_masked-scaffold_2-processed-gene-9.42-mRNA-1	0.34521761423524	56.7608	0.382
augustus_masked-scaffold_3-processed-gene-24.27-mRNA-1	0.444262021606847	54.3513	0.555
snap_masked-scaffold_3-processed-gene-14.104-mRNA-1	0.412060122764542	51.8592	0.624
snap_masked-scaffold_2-processed-gene-2.91-mRNA-1	0.36567563718852	56.0376	0.387
snap_masked-scaffold_3-processed-gene-2.41-mRNA-1	0.437202660470508	55.1599	0.621
genemark-scaffold_2-processed-gene-0.97-mRNA-1	0.365134823905899	56.1864	0.473
snap_masked-scaffold_1-processed-gene-6.40-mRNA-1	0.392055756777908	53.2740	0.562
snap_masked-scaffold_3-processed-gene-11.147-mRNA-1	0.385678861840606	57.1309	0.384
snap_masked-scaffold_1-processed-gene-25.75-mRNA-1	0.408269119688539	58.0261	0.506
snap_masked-scaffold_3-processed-gene-4.154-mRNA-1	0.38117223266474	57.0085	0.433
snap_masked-scaffold_3-processed-gene-19.56-mRNA-1	0.378121486746149	56.1231	0.534
snap_masked-scaffold_3-processed-gene-1.37-mRNA-1	0.438611421659639	53.9081	0.454
augustus_masked-scaffold_1-processed-gene-26.130-mRNA-1	0.419549158514857	57.0033	0.493
snap_masked-scaffold_1-processed-gene-11.117-mRNA-1	0.456218832864641	53.3774	0.579
snap_masked-scaffold_1-processed-gene-13.100-mRNA-1	0.383229734214013	56.3122	0.399
genemark-scaffold_1-processed-gene-16.147-mRNA-1	0.387170563950596	56.6420	0.429
augustus_masked-scaffold_3-processed-gene-15.28-mRNA-1	0.379075932572282	58.6997	0.426
snap_masked-scaffold_1-processed-gene-9.42-mRNA-1	0.38817113643669	56.3784	0.536
augustus_masked-scaffold_2-processed-gene-4.11-mRNA-1	0.414589823535122	53.8621	0.524
maker-scaffold_2-augustus-gene-10.61-mRNA-1	0.40423673067799	54.9126	0.482
snap_masked-scaffold_2-processed-gene-20.92-mRNA-1	0.38456340510983	56.0550	0.414
snap_masked-scaffold_1-processed-gene-9.33-mRNA-1	0.358964273201282	57.3226	0.407
genemark-scaffold_2-processed-gene-4.131-mRNA-1	0.379221228843269	54.0968	0.445
augustus_masked-scaffold_3-processed-gene-6.47-mRNA-1	0.356001784759667	57.6872	0.402
snap_masked-scaffold_2-processed-gene-22.35-mRNA-1	0.33643181646236	54.2912	0.362
augustus_masked-scaffold_3-processed-gene-24.7-mRNA-1	0.392656941367448	53.9766	0.498
snap_masked-scaffold_1-processed-gene-12.90-mRNA-1	0.350924989751121	56.4892	0.382
augustus_masked-scaffold_2-processed-gene-29.58-mRNA-1	0.413233289479783	57.5769	0.499
snap_masked-scaffold_4-processed-gene-1.47-mRNA-1	0.409310468098885	56.8222	0.575
snap_masked-scaffold_1-processed-gene-22.76-mRNA-1	0.398403616706241	57.3522	0.508
snap_masked-scaffold_2-processed-gene-30.168-mRNA-1	0.375389264313818	58.6520	0.440
snap_masked-scaffold_3-processed-gene-15.133-mRNA-1	0.366563307017663	56.0060	0.404
snap_masked-scaffold_1-processed-gene-12.74-mRNA-1	0.366161124941439	55.9992	0.375
snap_masked-scaffold_2-processed-gene-1.1-mRNA-1	0.42479885665668	55.8134	0.597
snap_masked-scaffold_3-processed-gene-15.164-mRNA-1	0.355194730722585	55.2563	0.373
snap_masked-scaffold_2-processed-gene-3.17-mRNA-1	0.388528844474773	55.1511	0.385
snap_masked-scaffold_1-processed-gene-13.138-mRNA-1	0.361857383252804	53.7842	0.344
snap_masked-scaffold_3-processed-gene-21.115-mRNA-1	0.346475830242884	51.6060	0.311
