gene_id	tAI	nc	gc3
genemark-scaffold_19-processed-gene-0.41-mRNA-1	0.323875125810554	46.8136	0.349
maker-scaffold_431-augustus-gene-0.3-mRNA-1	0.272329326622097	39.0419	0.201
snap_masked-scaffold_4-processed-gene-2.46-mRNA-1	0.250052283022558	41.8496	0.167
genemark-scaffold_321-processed-gene-0.4-mRNA-1	0.19565854046133	48.4631	0.159
augustus_masked-scaffold_1-processed-gene-3.84-mRNA-1	0.21232043925061	44.6521	0.141
genemark-scaffold_240-processed-gene-0.2-mRNA-1	0.189790377256664	48.5568	0.171
snap_masked-scaffold_3-processed-gene-4.10-mRNA-1	0.235930679531455	46.2314	0.190
augustus_masked-scaffold_8-processed-gene-1.67-mRNA-1	0.178132076842983	49.3246	0.204
snap_masked-scaffold_274-processed-gene-0.2-mRNA-1	0.208690260919122	47.2150	0.196
augustus_masked-scaffold_16-processed-gene-0.151-mRNA-1	0.206206456006036	47.0641	0.195
snap_masked-scaffold_1-processed-gene-7.61-mRNA-1	0.207990015768892	45.7188	0.173
genemark-scaffold_255-processed-gene-0.2-mRNA-1	0.176431338023361	45.3580	0.130
augustus_masked-scaffold_5-processed-gene-3.55-mRNA-1	0.189127197199053	45.6181	0.166
augustus_masked-scaffold_15-processed-gene-0.117-mRNA-1	0.296364172634101	37.9227	0.267
augustus_masked-scaffold_7-processed-gene-2.60-mRNA-1	0.314493042983068	45.4078	0.370
genemark-scaffold_22-processed-gene-0.56-mRNA-1	0.226515813806426	44.7755	0.197
augustus_masked-scaffold_1-processed-gene-1.55-mRNA-1	0.201972195631759	46.6528	0.159
snap_masked-scaffold_27-processed-gene-0.9-mRNA-1	0.228016938001109	48.7181	0.175
genemark-scaffold_18-processed-gene-0.61-mRNA-1	0.255761234828798	43.2027	0.220
genemark-scaffold_62-processed-gene-0.7-mRNA-1	0.245090445781736	38.7147	0.182
augustus_masked-scaffold_15-processed-gene-0.149-mRNA-1	0.217676844506376	43.8774	0.154
genemark-scaffold_11-processed-gene-1.85-mRNA-1	0.231771860391063	48.2067	0.195
snap_masked-scaffold_340-processed-gene-0.4-mRNA-1	0.291412028031919	39.7493	0.357
augustus_masked-scaffold_579-processed-gene-0.1-mRNA-1	0.246582093702523	43.1204	0.211
genemark-scaffold_24-processed-gene-0.39-mRNA-1	0.362320150800453	41.0170	0.266
maker-scaffold_8-augustus-gene-2.1-mRNA-1	0.20978752474838	44.5442	0.224
genemark-scaffold_277-processed-gene-0.5-mRNA-1	0.168475099227393	48.3948	0.181
snap_masked-scaffold_21-processed-gene-0.186-mRNA-1	0.244580317258607	49.8927	0.255
snap_masked-scaffold_5-processed-gene-4.104-mRNA-1	0.294360140295985	42.5065	0.251
genemark-scaffold_21-processed-gene-0.29-mRNA-1	0.327733712295411	36.2859	0.270
genemark-scaffold_406-processed-gene-0.3-mRNA-1	0.20852348554523	44.7180	0.085
genemark-scaffold_520-processed-gene-0.2-mRNA-1	0.1876446538746	46.1475	0.180
maker-scaffold_13-snap-gene-2.181-mRNA-1	0.22167107071162	46.1109	0.171
augustus_masked-scaffold_7-processed-gene-1.73-mRNA-1	0.189775899749169	44.3870	0.142
genemark-scaffold_68-processed-gene-0.17-mRNA-1	0.179473532768285	48.9793	0.205
maker-scaffold_13-augustus-gene-1.54-mRNA-1	0.380139434840796	37.0278	0.330
augustus_masked-scaffold_2-processed-gene-2.76-mRNA-1	0.289339667298129	39.3464	0.228
snap_masked-scaffold_10-processed-gene-2.48-mRNA-1	0.167438024809835	49.8239	0.210
maker-scaffold_6-augustus-gene-2.96-mRNA-1	0.183005370330165	44.5393	0.132
snap_masked-scaffold_6-processed-gene-2.26-mRNA-1	0.239777685938785	44.8910	0.182
snap_masked-scaffold_5-processed-gene-2.21-mRNA-1	0.187798671477154	45.9683	0.144
genemark-scaffold_21-processed-gene-0.41-mRNA-1	0.422623392938815	37.9662	0.376
augustus_masked-scaffold_150-processed-gene-0.3-mRNA-1	0.210417210287872	41.0882	0.157
genemark-scaffold_19-processed-gene-0.48-mRNA-1	0.201308225108601	42.1570	0.154
augustus_masked-scaffold_5-processed-gene-4.59-mRNA-1	0.227906599761056	46.9796	0.191
augustus_masked-scaffold_26-processed-gene-0.38-mRNA-1	0.215548033471369	47.0007	0.196
genemark-scaffold_37-processed-gene-0.21-mRNA-1	0.3052763318456	39.9821	0.220
augustus_masked-scaffold_4-processed-gene-5.105-mRNA-1	0.202790037631787	45.4518	0.201
genemark-scaffold_251-processed-gene-0.0-mRNA-1	0.210036863004111	48.5971	0.213
snap_masked-scaffold_277-processed-gene-0.2-mRNA-1	0.239163530162041	45.6058	0.186
genemark-scaffold_13-processed-gene-1.122-mRNA-1	0.308006038001548	35.9368	0.222
genemark-scaffold_21-processed-gene-0.12-mRNA-1	0.219299490232725	45.2693	0.173
augustus_masked-scaffold_15-processed-gene-0.139-mRNA-1	0.226592486488627	45.8416	0.210
augustus_masked-scaffold_41-processed-gene-0.16-mRNA-1	0.256809773673785	47.0651	0.214
snap_masked-scaffold_5-processed-gene-3.34-mRNA-1	0.214624047323034	46.4593	0.141
genemark-scaffold_537-processed-gene-0.0-mRNA-1	0.189577160228488	41.5168	0.136
genemark-scaffold_78-processed-gene-0.6-mRNA-1	0.238928383275829	43.5344	0.173
maker-scaffold_9-augustus-gene-1.96-mRNA-1	0.217373119713741	43.0138	0.165
augustus_masked-scaffold_6-processed-gene-4.53-mRNA-1	0.253938143526437	41.6512	0.202
genemark-scaffold_179-processed-gene-0.3-mRNA-1	0.24237189873964	46.3264	0.232
genemark-scaffold_242-processed-gene-0.5-mRNA-1	0.319085057727066	47.8305	0.245
augustus_masked-scaffold_425-processed-gene-0.4-mRNA-1	0.216016385934091	44.8376	0.233
snap_masked-scaffold_10-processed-gene-1.80-mRNA-1	0.26585076296015	41.9106	0.173
augustus_masked-scaffold_10-processed-gene-1.10-mRNA-1	0.192860864336295	48.2055	0.124
genemark-scaffold_106-processed-gene-0.4-mRNA-1	0.222726246788073	46.3125	0.160
augustus_masked-scaffold_4-processed-gene-0.31-mRNA-1	0.186172087478626	47.1371	0.179
augustus_masked-scaffold_1-processed-gene-7.11-mRNA-1	0.210326067541589	48.4525	0.260
augustus_masked-scaffold_3-processed-gene-5.61-mRNA-1	0.199905776425568	48.2536	0.153
augustus_masked-scaffold_1-processed-gene-1.72-mRNA-1	0.217079223243938	42.7722	0.127
genemark-scaffold_13-processed-gene-2.105-mRNA-1	0.225586809957025	46.3438	0.204
genemark-scaffold_9-processed-gene-1.129-mRNA-1	0.2277442351019	45.5541	0.175
augustus_masked-scaffold_8-processed-gene-3.115-mRNA-1	0.206942170506601	46.9063	0.217
augustus_masked-scaffold_6-processed-gene-1.19-mRNA-1	0.175911310755099	42.5997	0.133
genemark-scaffold_197-processed-gene-0.2-mRNA-1	0.277007271399006	41.7664	0.242
genemark-scaffold_558-processed-gene-0.0-mRNA-1	0.227465357982079	42.6319	0.154
snap_masked-scaffold_4-processed-gene-1.59-mRNA-1	0.198146251344207	45.4937	0.188
genemark-scaffold_9-processed-gene-2.2-mRNA-1	0.231666597576886	44.7622	0.180
snap_masked-scaffold_5-processed-gene-4.135-mRNA-1	0.188578784218948	49.5296	0.179
genemark-scaffold_9-processed-gene-0.72-mRNA-1	0.207982891767537	44.7085	0.175
genemark-scaffold_97-processed-gene-0.2-mRNA-1	0.234739195371275	44.8475	0.219
genemark-scaffold_49-processed-gene-0.22-mRNA-1	0.214943805274149	43.9634	0.167
genemark-scaffold_12-processed-gene-1.85-mRNA-1	0.221191771230557	43.2196	0.156
augustus_masked-scaffold_1-processed-gene-2.0-mRNA-1	0.188886107002468	43.7932	0.146
augustus_masked-scaffold_10-processed-gene-1.14-mRNA-1	0.165198287562278	50.2447	0.192
augustus_masked-scaffold_35-processed-gene-0.14-mRNA-1	0.208713168853442	45.0959	0.184
augustus_masked-scaffold_1-processed-gene-1.48-mRNA-1	0.246571583936195	45.6303	0.175
augustus_masked-scaffold_9-processed-gene-2.151-mRNA-1	0.217178333918984	47.1723	0.188
snap_masked-scaffold_1-processed-gene-3.5-mRNA-1	0.190803509632478	46.0614	0.143
genemark-scaffold_559-processed-gene-0.0-mRNA-1	0.216526916976861	44.3264	0.152
augustus_masked-scaffold_4-processed-gene-0.37-mRNA-1	0.200488048892776	46.2039	0.162
snap_masked-scaffold_9-processed-gene-2.229-mRNA-1	0.187071378893231	50.6457	0.204
genemark-scaffold_11-processed-gene-0.88-mRNA-1	0.327453304021749	41.2082	0.307
augustus_masked-scaffold_4-processed-gene-2.39-mRNA-1	0.22776696831305	46.6271	0.185
maker-scaffold_20-snap-gene-0.56-mRNA-1	0.238679185228407	41.0402	0.173
genemark-scaffold_21-processed-gene-0.10-mRNA-1	0.258863011962465	44.3942	0.165
augustus_masked-scaffold_6-processed-gene-0.20-mRNA-1	0.248452254943251	49.3218	0.198
augustus_masked-scaffold_1-processed-gene-2.5-mRNA-1	0.270468585617105	43.3494	0.188
augustus_masked-scaffold_1-processed-gene-7.16-mRNA-1	0.327185587645722	37.9731	0.268
snap_masked-scaffold_5-processed-gene-4.137-mRNA-1	0.234548478631197	48.2327	0.214
genemark-scaffold_349-processed-gene-0.2-mRNA-1	0.216431359203999	42.4373	0.153
genemark-scaffold_17-processed-gene-0.103-mRNA-1	0.263143206217615	41.1939	0.181
augustus_masked-scaffold_543-processed-gene-0.4-mRNA-1	0.201884907730203	47.7909	0.181
augustus_masked-scaffold_516-processed-gene-0.2-mRNA-1	0.236127083502357	40.6546	0.217
genemark-scaffold_18-processed-gene-0.42-mRNA-1	0.245307482428225	46.8300	0.213
genemark-scaffold_34-processed-gene-0.26-mRNA-1	0.390633402954832	38.3927	0.331
genemark-scaffold_295-processed-gene-0.3-mRNA-1	0.172887266997459	46.0532	0.144
augustus_masked-scaffold_4-processed-gene-4.41-mRNA-1	0.182185990695954	46.8453	0.154
augustus_masked-scaffold_9-processed-gene-2.129-mRNA-1	0.262931372578029	42.3166	0.183
genemark-scaffold_580-processed-gene-0.6-mRNA-1	0.229341783088493	47.0704	0.210
genemark-scaffold_11-processed-gene-2.112-mRNA-1	0.207374716665311	43.7478	0.147
genemark-scaffold_39-processed-gene-0.42-mRNA-1	0.230718970844597	43.4378	0.177
augustus_masked-scaffold_6-processed-gene-2.63-mRNA-1	0.18320177767008	50.8059	0.228
genemark-scaffold_52-processed-gene-0.23-mRNA-1	0.263558046263864	46.9688	0.196
genemark-scaffold_100-processed-gene-0.2-mRNA-1	0.181997822257608	45.3616	0.182
augustus_masked-scaffold_8-processed-gene-0.13-mRNA-1	0.208612133327473	42.2761	0.177
augustus_masked-scaffold_7-processed-gene-1.85-mRNA-1	0.27005447385375	40.8510	0.117
augustus_masked-scaffold_6-processed-gene-0.15-mRNA-1	0.2084208010401	45.8804	0.172
augustus_masked-scaffold_2-processed-gene-3.36-mRNA-1	0.241069781615021	47.7362	0.191
genemark-scaffold_24-processed-gene-0.48-mRNA-1	0.313920907889043	41.6764	0.265
augustus_masked-scaffold_2-processed-gene-3.7-mRNA-1	0.210201727321376	48.0169	0.170
genemark-scaffold_279-processed-gene-0.4-mRNA-1	0.249152519205791	47.0614	0.195
maker-scaffold_8-augustus-gene-2.0-mRNA-1	0.262979902912427	43.3705	0.194
