Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
augustus_masked-flattened_line_0-processed-gene-0.29-mRNA-1        1242       12        1        8   44.8757   46.4654
augustus_masked-flattened_line_0-processed-gene-0.10-mRNA-1         810       12        1        7   45.0430   47.6679
augustus_masked-flattened_line_0-processed-gene-0.30-mRNA-1        2184       12        1        8   43.0119   44.3692
maker-flattened_line_0-augustus-gene-0.97-mRNA-1                    495       12        1        7   47.0924   50.2418
augustus_masked-flattened_line_0-processed-gene-0.31-mRNA-1        1860       12        1        8   45.1896   47.4986
augustus_masked-flattened_line_0-processed-gene-0.32-mRNA-1         993       11        1        6   36.6450   42.0475
augustus_masked-flattened_line_0-processed-gene-0.33-mRNA-1         825       12        1        8   47.5759   45.9262
augustus_masked-flattened_line_0-processed-gene-0.34-mRNA-1         837       11        1        8   42.1725   47.0279
augustus_masked-flattened_line_0-processed-gene-0.12-mRNA-1         462       12        1        7   50.8043   49.5826
augustus_masked-flattened_line_0-processed-gene-0.35-mRNA-1         630       12        1        7   49.6739   50.2693
augustus_masked-flattened_line_0-processed-gene-0.13-mRNA-1        2520       12        1        8   45.4342   48.4441
augustus_masked-flattened_line_0-processed-gene-0.36-mRNA-1        1170       12        1        7   46.1013   49.3401
augustus_masked-flattened_line_0-processed-gene-0.37-mRNA-1        1851       12        1        8   46.3432   48.6584
augustus_masked-flattened_line_0-processed-gene-0.38-mRNA-1        1872       12        1        8   44.0641   48.2845
augustus_masked-flattened_line_0-processed-gene-0.14-mRNA-1        1173       12        1        8   47.3858   48.8978
genemark-flattened_line_0-processed-gene-0.137-mRNA-1              1425       11        1        8   47.6254   49.2873
genemark-flattened_line_0-processed-gene-0.138-mRNA-1              3354       12        1        8   43.0099   46.8303
augustus_masked-flattened_line_0-processed-gene-0.41-mRNA-1        1788       12        1        8   48.2019   48.7850
augustus_masked-flattened_line_0-processed-gene-0.15-mRNA-1         645       12        1        8   45.2950   52.9551
maker-flattened_line_0-snap-gene-0.2-mRNA-1                         327       11        1        7   39.7871   44.8694
augustus_masked-flattened_line_0-processed-gene-0.17-mRNA-1        3345       12        1        8   42.4764   47.3221
augustus_masked-flattened_line_0-processed-gene-0.42-mRNA-1        2565       12        1        8   44.2230   48.4513
augustus_masked-flattened_line_0-processed-gene-0.18-mRNA-1        1290       12        1        8   46.8678   46.9680
augustus_masked-flattened_line_0-processed-gene-0.43-mRNA-1         873       12        1        8   46.5409   49.2363
snap_masked-flattened_line_0-processed-gene-0.61-mRNA-1             549       11        1        8   49.5157   51.1987
snap_masked-flattened_line_0-processed-gene-0.90-mRNA-1             426       12        1        8   49.5042   50.4722
snap_masked-flattened_line_0-processed-gene-0.91-mRNA-1            2241       12        1        8   44.4729   47.2598
maker-flattened_line_0-augustus-gene-0.104-mRNA-1                   903       12        1        8   45.6584   47.7373
snap_masked-flattened_line_0-processed-gene-0.63-mRNA-1             843       12        1        8   48.1126   50.7110
snap_masked-flattened_line_0-processed-gene-0.93-mRNA-1            1215       12        1        8   49.0887   51.6521
snap_masked-flattened_line_0-processed-gene-0.64-mRNA-1            1560       12        1        8   48.7869   50.9015
augustus_masked-flattened_line_0-processed-gene-0.21-mRNA-1        1557       12        1        8   46.4607   47.8917
augustus_masked-flattened_line_0-processed-gene-0.22-mRNA-1        1371       12        1        8   47.0639   51.4013
augustus_masked-flattened_line_0-processed-gene-0.47-mRNA-1         897       12        1        8   47.0557   47.6441
maker-flattened_line_0-snap-gene-0.3-mRNA-1                        2229       12        1        8   41.5280   47.3137
augustus_masked-flattened_line_0-processed-gene-0.25-mRNA-1        3081       12        1        8   42.7990   47.6637
snap_masked-flattened_line_0-processed-gene-0.70-mRNA-1             897       11        1        7   42.5316   42.4528
