gene_id	tAI	nc	gc3
augustus_masked-bor_s568-processed-gene-1.50-mRNA-1	0.173208683917979	53.8478	0.512
augustus_masked-bor_s777-processed-gene-0.119-mRNA-1	0.150835128164192	57.8604	0.557
augustus_masked-bor_s185-processed-gene-0.0-mRNA-1	0.159494370327285	49.3500	0.624
augustus_masked-bor_s16-processed-gene-0.54-mRNA-1	0.14026146948389	54.0285	0.515
augustus_masked-bor_s628-processed-gene-0.2-mRNA-1	0.172614684969942	47.8532	0.699
augustus_masked-bor_s302-processed-gene-1.12-mRNA-1	0.132069923038565	54.5701	0.632
augustus_masked-bor_s351-processed-gene-0.131-mRNA-1	0.120827786768436	57.4459	0.426
genemark-bor_s458-processed-gene-0.33-mRNA-1	0.13308914796117	59.2918	0.478
augustus_masked-bor_s399-processed-gene-0.6-mRNA-1	0.13297512432117	56.6288	0.527
augustus_masked-bor_s97-processed-gene-0.137-mRNA-1	0.133376232122254	58.6010	0.533
augustus_masked-bor_s870-processed-gene-0.74-mRNA-1	0.14164344895619	57.7554	0.520
augustus_masked-bor_s302-processed-gene-1.59-mRNA-1	0.167561570916828	54.6147	0.547
augustus_masked-bor_s178-processed-gene-0.87-mRNA-1	0.157329529649632	52.3042	0.584
snap_masked-bor_s13-processed-gene-0.65-mRNA-1	0.161435503264515	49.3726	0.705
augustus_masked-bor_s323-processed-gene-0.208-mRNA-1	0.225151367086546	45.8877	0.655
augustus_masked-bor_s160-processed-gene-0.13-mRNA-1	0.145948475699809	55.5563	0.562
augustus_masked-bor_s782-processed-gene-0.3-mRNA-1	0.177895352575531	55.9735	0.606
snap_masked-bor_s500-processed-gene-0.32-mRNA-1	0.141098282366694	58.1069	0.508
augustus_masked-bor_s251-processed-gene-0.12-mRNA-1	0.172763285378281	50.3503	0.614
augustus_masked-bor_s500-processed-gene-0.63-mRNA-1	0.136982552183237	56.1552	0.495
maker-bor_s451-augustus-gene-1.80-mRNA-1	0.200343749074131	50.6029	0.730
augustus_masked-bor_s232-processed-gene-0.2-mRNA-1	0.137571830033755	54.0320	0.572
