gene_id	tAI	nc	gc3
genemark-CP006025.1-processed-gene-2.58-mRNA-1	0.284639679693608	59.5345	0.560
maker-CP006022.1-augustus-gene-9.109-mRNA-1	0.296588167497022	56.3499	0.627
snap_masked-CP006022.1-processed-gene-0.97-mRNA-1	0.248912911799895	59.8951	0.508
genemark-CP006022.1-processed-gene-13.190-mRNA-1	0.279661328209098	58.7161	0.489
genemark-CP006025.1-processed-gene-4.135-mRNA-1	0.251460712259002	58.5699	0.477
genemark-CP006022.1-processed-gene-1.81-mRNA-1	0.263664651334272	59.3598	0.450
genemark-CP006020.1-processed-gene-7.104-mRNA-1	0.330509121583672	55.2881	0.603
genemark-CP006024.1-processed-gene-2.39-mRNA-1	0.339974927975043	52.5549	0.694
snap_masked-CP006024.1-processed-gene-12.48-mRNA-1	0.274290548844486	57.2927	0.527
genemark-CP006022.1-processed-gene-11.5-mRNA-1	0.301644326134255	56.4497	0.561
genemark-CP006021.1-processed-gene-0.34-mRNA-1	0.272449907042873	58.3332	0.552
genemark-CP006026.1-processed-gene-5.152-mRNA-1	0.309754036950357	47.3516	0.745
genemark-CP006020.1-processed-gene-1.75-mRNA-1	0.36858304526114	49.9231	0.722
genemark-CP006025.1-processed-gene-0.36-mRNA-1	0.389503431353181	44.7637	0.818
genemark-CP006025.1-processed-gene-2.83-mRNA-1	0.289540868769602	56.4844	0.610
genemark-CP006022.1-processed-gene-12.90-mRNA-1	0.330789032253129	46.4982	0.793
snap_masked-CP006025.1-processed-gene-10.143-mRNA-1	0.24117458908743	57.0195	0.469
snap_masked-CP006021.1-processed-gene-5.164-mRNA-1	0.299989174954397	55.3518	0.626
genemark-CP006020.1-processed-gene-0.114-mRNA-1	0.295460733019884	55.7340	0.545
genemark-CP006021.1-processed-gene-0.24-mRNA-1	0.305591257216522	50.7959	0.725
genemark-CP006026.1-processed-gene-6.118-mRNA-1	0.251795411068848	56.9284	0.441
genemark-CP006023.1-processed-gene-9.181-mRNA-1	0.354762516630595	51.6846	0.690
genemark-CP006022.1-processed-gene-4.120-mRNA-1	0.374833281721987	49.8227	0.753
snap_masked-CP006024.1-processed-gene-8.109-mRNA-1	0.315221676093475	52.7085	0.604
snap_masked-CP006023.1-processed-gene-4.65-mRNA-1	0.290089674852572	54.8538	0.647
genemark-CP006025.1-processed-gene-10.62-mRNA-1	0.29720025671387	58.4101	0.560
augustus_masked-CP006025.1-processed-gene-3.122-mRNA-1	0.3128229509132	53.7152	0.693
genemark-CP006026.1-processed-gene-3.128-mRNA-1	0.345875482536119	43.9060	0.840
genemark-CP006022.1-processed-gene-13.171-mRNA-1	0.31372438299847	52.1086	0.686
genemark-CP006020.1-processed-gene-1.80-mRNA-1	0.267506046711825	54.0989	0.497
genemark-CP006026.1-processed-gene-9.109-mRNA-1	0.273980875268412	55.5593	0.563
maker-CP006021.1-snap-gene-4.110-mRNA-1	0.441654048811018	45.2021	0.815
genemark-CP006020.1-processed-gene-1.85-mRNA-1	0.240324118748706	57.5161	0.459
snap_masked-CP006021.1-processed-gene-0.71-mRNA-1	0.297815396675968	58.3721	0.518
genemark-CP006025.1-processed-gene-12.70-mRNA-1	0.281881794221744	48.8846	0.750
genemark-CP006022.1-processed-gene-4.156-mRNA-1	0.284769305985073	55.7902	0.621
genemark-CP006021.1-processed-gene-9.21-mRNA-1	0.443102609998097	41.3445	0.599
genemark-CP006024.1-processed-gene-14.111-mRNA-1	0.302371322627562	56.5794	0.576
maker-CP006020.1-augustus-gene-5.166-mRNA-1	0.268606828206759	60.0043	0.541
genemark-CP006025.1-processed-gene-1.89-mRNA-1	0.416019393009669	40.8491	0.964
augustus_masked-CP006024.1-processed-gene-1.110-mRNA-1	0.282239567526566	57.5000	0.579
genemark-CP006022.1-processed-gene-10.106-mRNA-1	0.282824458360327	58.2062	0.472
augustus_masked-CP006020.1-processed-gene-5.159-mRNA-1	0.343181880524835	47.5399	0.766
genemark-CP006024.1-processed-gene-1.86-mRNA-1	0.300648023678439	57.0559	0.573
snap_masked-CP006022.1-processed-gene-9.37-mRNA-1	0.302661860105858	55.0982	0.592
genemark-CP006021.1-processed-gene-9.7-mRNA-1	0.268029234395799	57.4565	0.509
genemark-CP006025.1-processed-gene-7.11-mRNA-1	0.33072226489587	55.7326	0.589
snap_masked-CP006024.1-processed-gene-14.25-mRNA-1	0.341999811613571	48.2686	0.727
snap_masked-CP006024.1-processed-gene-12.8-mRNA-1	0.341090021885689	55.2946	0.666
genemark-CP006022.1-processed-gene-0.48-mRNA-1	0.334031971970971	53.4697	0.634
genemark-CP006024.1-processed-gene-1.83-mRNA-1	0.317135828577814	50.2055	0.738
genemark-CP006022.1-processed-gene-1.83-mRNA-1	0.272103884223815	54.3977	0.564
genemark-CP006026.1-processed-gene-1.81-mRNA-1	0.449208729868853	45.0639	0.708
snap_masked-CP006025.1-processed-gene-3.38-mRNA-1	0.327561466295294	52.9305	0.683
genemark-CP006022.1-processed-gene-8.113-mRNA-1	0.247036784824768	58.7258	0.492
genemark-CP006025.1-processed-gene-8.123-mRNA-1	0.278070915097501	57.8652	0.442
genemark-CP006023.1-processed-gene-6.81-mRNA-1	0.33369248266932	44.7602	0.818
genemark-CP006024.1-processed-gene-13.63-mRNA-1	0.326053851765344	53.7035	0.727
