gene_id	tAI	nc	gc3
augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.149-mRNA-1	0.3553146667059	56.4847	0.444
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.57-mRNA-1	0.27197280651326	54.8293	0.323
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.98-mRNA-1	0.348749296272572	56.6654	0.420
augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.122-mRNA-1	0.313212159401054	52.8315	0.315
augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-4.7-mRNA-1	0.30307576873246	58.3005	0.411
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.166-mRNA-1	0.312515108154409	53.7981	0.351
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-5.56-mRNA-1	0.29920504500439	56.0645	0.349
augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.102-mRNA-1	0.336490569617792	51.0874	0.336
augustus_masked-NODE_22_length_23210_cov_34.2671_ID_43-processed-gene-0.37-mRNA-1	0.302231373630032	54.8223	0.333
augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-3.38-mRNA-1	0.324425731121566	54.6080	0.354
snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.90-mRNA-1	0.295656029282822	52.4471	0.324
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.43-mRNA-1	0.330972843330222	55.4399	0.353
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.146-mRNA-1	0.355777022952068	56.1396	0.382
augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.163-mRNA-1	0.329084578173302	55.8055	0.375
augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.88-mRNA-1	0.328578899827076	57.9536	0.452
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.135-mRNA-1	0.303055715411778	55.2445	0.378
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.118-mRNA-1	0.363974591798146	56.6510	0.469
maker-NODE_5_length_890716_cov_16.6707_ID_9-augustus-gene-6.0-mRNA-1	0.32541807814645	56.2393	0.406
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.46-mRNA-1	0.333333347568862	47.2048	0.343
augustus_masked-NODE_18_length_56263_cov_38.6797_ID_35-processed-gene-0.5-mRNA-1	0.342416103497589	56.5556	0.539
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-5.0-mRNA-1	0.308649886851029	55.3336	0.349
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-3.142-mRNA-1	0.3184445795418	56.7766	0.371
snap_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.172-mRNA-1	0.329644704881311	52.5197	0.342
augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.73-mRNA-1	0.327973340622145	54.2946	0.298
augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-3.94-mRNA-1	0.321272235414684	54.2456	0.348
augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.71-mRNA-1	0.331494341524483	49.1547	0.362
augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-1.79-mRNA-1	0.35097463476619	57.1240	0.405
snap_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.178-mRNA-1	0.311524133592886	57.0346	0.387
augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-5.72-mRNA-1	0.314525083036063	57.7382	0.443
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-4.74-mRNA-1	0.297654606801895	52.0676	0.290
augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-6.136-mRNA-1	0.328339557823583	56.5172	0.482
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-4.68-mRNA-1	0.303984942765793	58.5736	0.469
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.17-mRNA-1	0.345925880948156	52.7487	0.334
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-7.124-mRNA-1	0.345937820625298	52.0550	0.356
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.133-mRNA-1	0.338488335584098	56.4841	0.414
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-5.82-mRNA-1	0.314987241251323	58.9576	0.439
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.70-mRNA-1	0.321946021492516	56.8391	0.398
augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-2.57-mRNA-1	0.305600820388023	54.6016	0.340
augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.15-mRNA-1	0.365723916215545	52.4241	0.338
augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.154-mRNA-1	0.344892875036633	54.2054	0.325
maker-NODE_14_length_114420_cov_26.4489_ID_27-augustus-gene-0.63-mRNA-1	0.342120864492065	55.0706	0.390
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-4.145-mRNA-1	0.26261278952147	53.8862	0.313
snap_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.6-mRNA-1	0.321493547438687	57.5440	0.489
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.119-mRNA-1	0.393092492380364	40.5229	0.408
augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.144-mRNA-1	0.43963696353643	46.9094	0.497
snap_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-1.125-mRNA-1	0.327040699219902	55.5673	0.362
snap_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.117-mRNA-1	0.325558457240725	57.0238	0.364
augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.90-mRNA-1	0.342228954712418	54.6063	0.412
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-10.17-mRNA-1	0.321983884250268	56.5810	0.407
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.139-mRNA-1	0.326900117863929	57.4553	0.368
snap_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.43-mRNA-1	0.301073339571591	55.1321	0.336
augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.34-mRNA-1	0.343737888461514	55.7742	0.450
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.99-mRNA-1	0.312545481212682	57.7716	0.424
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-0.65-mRNA-1	0.294434955386624	57.7385	0.453
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.10-mRNA-1	0.357469891978857	56.6119	0.403
augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.135-mRNA-1	0.322270658255486	54.8045	0.339
augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-1.91-mRNA-1	0.302932659803404	58.0827	0.463
snap_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-14.184-mRNA-1	0.335631639961694	52.4378	0.322
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.18-mRNA-1	0.322210252512632	53.3301	0.343
augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.56-mRNA-1	0.310860624387397	57.5709	0.434
augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.31-mRNA-1	0.331248959859054	55.7108	0.396
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-9.98-mRNA-1	0.367746354428638	56.8190	0.489
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.125-mRNA-1	0.344745592034884	55.7342	0.373
snap_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.122-mRNA-1	0.307229620696353	55.8711	0.343
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.112-mRNA-1	0.338908008195561	51.7937	0.392
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.91-mRNA-1	0.314052054338682	53.6841	0.371
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-14.107-mRNA-1	0.307223547231567	54.9906	0.341
genemark-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.82-mRNA-1	0.30498097988946	57.9440	0.423
augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.28-mRNA-1	0.320070139647237	57.9833	0.421
maker-NODE_8_length_752213_cov_18.8698_ID_15-augustus-gene-2.165-mRNA-1	0.324023011001209	50.9869	0.302
maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-13.105-mRNA-1	0.302542502814632	53.8033	0.283
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.80-mRNA-1	0.302390291724922	54.9339	0.373
augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-1.83-mRNA-1	0.350703817425442	51.9252	0.329
maker-NODE_7_length_761518_cov_19.0131_ID_13-augustus-gene-3.7-mRNA-1	0.318010476142276	54.2551	0.320
augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.119-mRNA-1	0.296359671128123	55.1497	0.341
augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-6.100-mRNA-1	0.380434657494367	55.2327	0.488
maker-NODE_3_length_1005204_cov_18.4717_ID_5-augustus-gene-0.53-mRNA-1	0.450081721955621	47.4792	0.403
augustus_masked-NODE_27_length_7890_cov_18.6554_ID_53-processed-gene-0.7-mRNA-1	0.288963640730226	55.3024	0.371
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.54-mRNA-1	0.301624044445793	54.0270	0.356
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-8.90-mRNA-1	0.344619617184753	50.6455	0.355
augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.134-mRNA-1	0.326909556623981	55.0199	0.364
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.13-mRNA-1	0.328949640645023	55.0229	0.348
augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-0.91-mRNA-1	0.33073576765804	56.2545	0.480
maker-NODE_5_length_890716_cov_16.6707_ID_9-snap-gene-2.111-mRNA-1	0.315126917819192	55.1696	0.371
augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.22-mRNA-1	0.306783838334586	53.3904	0.339
snap_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-3.2-mRNA-1	0.349133374965145	56.9384	0.405
maker-NODE_13_length_125394_cov_30.0202_ID_25-augustus-gene-0.161-mRNA-1	0.320762122852181	55.8553	0.378
augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-5.174-mRNA-1	0.333605781141328	56.6970	0.424
augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-10.22-mRNA-1	0.332980728288279	56.2983	0.415
augustus_masked-NODE_13_length_125394_cov_30.0202_ID_25-processed-gene-0.20-mRNA-1	0.329549151106621	54.8746	0.355
