gene_id	tAI	nc	gc3
augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-0.125-mRNA-1	0.29800032309183	54.5082	0.442
augustus_masked-NODE_6_length_595187_cov_40.7488_ID_11-processed-gene-4.228-mRNA-1	0.297700270158765	54.0585	0.454
augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-0.96-mRNA-1	0.365844173039619	45.9196	0.344
augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.21-mRNA-1	0.369213223402649	51.5333	0.441
snap_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-2.49-mRNA-1	0.308137831498432	57.4770	0.445
augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-2.27-mRNA-1	0.387595756787776	43.2737	0.393
snap_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-1.89-mRNA-1	0.331052874356294	53.5655	0.626
augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.178-mRNA-1	0.336643235426642	53.1788	0.356
augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-2.154-mRNA-1	0.294957808288254	56.2151	0.410
augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-0.124-mRNA-1	0.272974308805459	56.8046	0.482
augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-4.32-mRNA-1	0.307280618641156	53.3728	0.407
snap_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-2.34-mRNA-1	0.30027221267114	56.3291	0.466
augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-0.93-mRNA-1	0.30075684491986	52.5274	0.371
augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-13.38-mRNA-1	0.314350804660598	57.3879	0.482
augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-6.264-mRNA-1	0.376989215452029	49.5589	0.469
augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-4.116-mRNA-1	0.322049538086477	52.9823	0.474
augustus_masked-NODE_17_length_257521_cov_45.5208_ID_33-processed-gene-1.53-mRNA-1	0.337871941206264	55.8212	0.490
augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-1.141-mRNA-1	0.330600240297743	54.6246	0.467
augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.100-mRNA-1	0.351221782065029	51.1631	0.393
augustus_masked-NODE_28_length_94428_cov_36.8644_ID_55-processed-gene-0.30-mRNA-1	0.340223139095283	54.0765	0.456
