Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                          SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------
maker-flattened_line_0-augustus-gene-0.0-mRNA-1                     402       12        1        8   55.6884   61.3986
augustus_masked-flattened_line_0-processed-gene-0.54-mRNA-1        3933       12        1        8   56.9474   62.3622
genemark-flattened_line_0-processed-gene-0.31-mRNA-1               1479       12        1        8   53.8208   61.4334
genemark-flattened_line_0-processed-gene-0.32-mRNA-1               1890       12        1        8   51.6268   53.8298
genemark-flattened_line_0-processed-gene-0.13-mRNA-1                660       12        1        8   48.3625   48.5416
snap_masked-flattened_line_0-processed-gene-0.114-mRNA-1           1092       12        1        8   52.3219   53.4403
maker-flattened_line_0-snap-gene-0.6-mRNA-1                        2169       12        1        8   50.3622   58.9527
genemark-flattened_line_0-processed-gene-0.34-mRNA-1                906       12        1        8   52.6197   57.1379
genemark-flattened_line_0-processed-gene-0.35-mRNA-1               1017       11        1        8   53.0216   62.1580
genemark-flattened_line_0-processed-gene-0.36-mRNA-1                786       12        1        8   49.7367   54.5600
genemark-flattened_line_0-processed-gene-0.37-mRNA-1               1440       12        1        8   44.7302   58.8369
snap_masked-flattened_line_0-processed-gene-0.118-mRNA-1            828       12        1        8   56.3590   62.6216
maker-flattened_line_0-augustus-gene-0.1-mRNA-1                    2961       12        1        8   53.6373   57.1973
augustus_masked-flattened_line_0-processed-gene-0.59-mRNA-1        4041       12        1        8   57.5165   62.5810
genemark-flattened_line_0-processed-gene-0.18-mRNA-1               1212       12        1        8   58.3897   62.8170
genemark-flattened_line_0-processed-gene-0.40-mRNA-1               3036       12        1        8   57.4315   61.5262
genemark-flattened_line_0-processed-gene-0.41-mRNA-1               2502       12        1        8   49.1541   51.8803
genemark-flattened_line_0-processed-gene-0.19-mRNA-1               1143       12        1        8   47.5541   47.9594
genemark-flattened_line_0-processed-gene-0.42-mRNA-1               2925       12        1        8   42.0310   43.3675
genemark-flattened_line_0-processed-gene-0.20-mRNA-1               1779       12        1        8   48.1424   52.3945
augustus_masked-flattened_line_0-processed-gene-0.84-mRNA-1        2394       12        1        8   49.4539   54.4058
genemark-flattened_line_0-processed-gene-0.45-mRNA-1               2724       12        1        8   49.3337   54.3758
genemark-flattened_line_0-processed-gene-0.21-mRNA-1                474       11        1        8   55.4531   62.2482
augustus_masked-flattened_line_0-processed-gene-0.86-mRNA-1         981       12        1        8   55.9181   61.4093
genemark-flattened_line_0-processed-gene-0.22-mRNA-1                861       12        1        8   55.4179   60.4359
genemark-flattened_line_0-processed-gene-0.47-mRNA-1               5424       12        1        8   56.6668   62.1480
genemark-flattened_line_0-processed-gene-0.23-mRNA-1                567       11        1        8   51.7136   60.6053
genemark-flattened_line_0-processed-gene-0.48-mRNA-1               2979       12        1        8   55.8539   61.3927
genemark-flattened_line_0-processed-gene-0.24-mRNA-1                990       12        1        8   52.6570   55.9738
genemark-flattened_line_0-processed-gene-0.49-mRNA-1               2271       12        1        8   51.1272   53.5429
snap_masked-flattened_line_0-processed-gene-0.108-mRNA-1           2334       12        1        8   50.2030   55.2066
augustus_masked-flattened_line_0-processed-gene-0.68-mRNA-1        1296       12        1        8   50.8403   54.7618
genemark-flattened_line_0-processed-gene-0.50-mRNA-1                909       12        1        8   50.5340   53.5931
genemark-flattened_line_0-processed-gene-0.29-mRNA-1               2637       12        1        8   50.9428   54.1597
genemark-flattened_line_0-processed-gene-0.51-mRNA-1               1920       12        1        8   43.0887   59.6199
genemark-flattened_line_0-processed-gene-0.30-mRNA-1               1122       12        1        8   48.2717   55.9701
genemark-flattened_line_0-processed-gene-0.52-mRNA-1               4209       12        1        8   45.0558   50.1157
snap_masked-flattened_line_0-processed-gene-1.105-mRNA-1           3816       12        1        8   58.4555   61.9545
maker-flattened_line_0-snap-gene-1.0-mRNA-1                        4620       12        1        8   58.2824   62.2965
genemark-flattened_line_0-processed-gene-1.59-mRNA-1                375       11        1        8   54.2375   59.8766
genemark-flattened_line_0-processed-gene-1.84-mRNA-1               2505       12        1        8   57.7762   62.0622
augustus_masked-flattened_line_0-processed-gene-1.23-mRNA-1         312       10        1        8   55.1900   55.6961
snap_masked-flattened_line_0-processed-gene-1.110-mRNA-1           1938       12        1        8   53.8124   59.6071
maker-flattened_line_0-snap-gene-1.1-mRNA-1                        2541       12        1        8   52.8189   61.0384
snap_masked-flattened_line_0-processed-gene-1.113-mRNA-1           2052       12        1        8   54.5897   61.7145
snap_masked-flattened_line_0-processed-gene-1.114-mRNA-1           4224       12        1        8   54.6765   62.4311
augustus_masked-flattened_line_0-processed-gene-1.42-mRNA-1         669       12        1        8   56.9825   60.3413
augustus_masked-flattened_line_0-processed-gene-1.26-mRNA-1         675       12        1        8   55.1326   59.1261
snap_masked-flattened_line_0-processed-gene-1.133-mRNA-1            774       12        1        8   54.3069   61.4476
genemark-flattened_line_0-processed-gene-1.65-mRNA-1               5550       12        1        8   57.0893   61.6807
genemark-flattened_line_0-processed-gene-1.87-mRNA-1                669       12        1        8   53.8424   61.2978
genemark-flattened_line_0-processed-gene-1.67-mRNA-1               1416       12        1        8   52.0736   60.9764
genemark-flattened_line_0-processed-gene-1.68-mRNA-1                639       12        1        8   50.6777   51.4472
genemark-flattened_line_0-processed-gene-1.88-mRNA-1               1128       12        1        8   50.8838   53.1352
genemark-flattened_line_0-processed-gene-1.89-mRNA-1               2256       12        1        8   49.8599   54.1939
snap_masked-flattened_line_0-processed-gene-1.137-mRNA-1            495       12        1        8   54.7345   62.8388
genemark-flattened_line_0-processed-gene-1.91-mRNA-1               1458       12        1        8   53.0627   57.1929
augustus_masked-flattened_line_0-processed-gene-1.31-mRNA-1        2745       12        1        8   51.6349   58.7603
genemark-flattened_line_0-processed-gene-1.92-mRNA-1               2409       12        1        8   54.7960   59.9695
augustus_masked-flattened_line_0-processed-gene-1.48-mRNA-1        2325       12        1        8   50.4508   57.7983
genemark-flattened_line_0-processed-gene-1.73-mRNA-1                906       12        1        8   46.3976   52.4370
genemark-flattened_line_0-processed-gene-1.74-mRNA-1                738       12        1        8   55.5662   61.8184
genemark-flattened_line_0-processed-gene-1.95-mRNA-1               1320       12        1        8   54.5845   62.2567
snap_masked-flattened_line_0-processed-gene-1.122-mRNA-1            309       11        1        7   56.0406   57.7285
genemark-flattened_line_0-processed-gene-1.96-mRNA-1               8685       12        1        8   56.4773   62.1426
augustus_masked-flattened_line_0-processed-gene-1.35-mRNA-1         555       11        1        8   54.9529   59.5130
genemark-flattened_line_0-processed-gene-1.97-mRNA-1                408       12        1        7   53.4462   58.5541
