Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                   SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_105_length_445_cov_0.746914_ID_4909-processed-gene-0.0-mRNA-1           327       11        3        7   55.2774   61.1400
snap_masked-NODE_108_length_441_cov_0.771875_ID_4915-processed-gene-0.0-mRNA-1               333       10        3        6   51.9523   55.1626
augustus_masked-NODE_109_length_441_cov_104.431_ID_7027-processed-gene-0.1-mRNA-1            300        9        3        7   55.6212   59.9625
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.12-mRNA-1         963       11        3        7   57.7560   60.2693
snap_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.81-mRNA-1             927       11        3        7   55.7287   61.2777
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.13-mRNA-1        3357       11        3        7   51.1483   56.6608
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.35-mRNA-1        3234       11        3        7   49.8920   53.3767
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.14-mRNA-1        1695       11        3        7   52.5694   54.6018
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.36-mRNA-1        2973       11        3        7   53.8306   56.1155
snap_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.84-mRNA-1            1035       10        3        7   53.3542   56.5125
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.38-mRNA-1        1317       10        3        6   53.9746   58.1133
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.39-mRNA-1        1026       11        3        7   58.1830   58.1058
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.40-mRNA-1        1176       11        3        7   56.7157   62.7282
augustus_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.41-mRNA-1         381       10        3        7   56.2501   62.6842
snap_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.60-mRNA-1             477        8        3        6   44.5702   48.6071
snap_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.61-mRNA-1             729        9        3        7   53.1947   55.2217
snap_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.62-mRNA-1             648        8        3        6   43.5228   46.6440
snap_masked-NODE_10_length_206640_cov_39.1024_ID_2080-processed-gene-0.64-mRNA-1             936        7        3        6   45.6885   48.3095
