gene_id	tAI	nc	gc3
snap_masked-flattened_line_0-processed-gene-7.52-mRNA-1	0.445319992209274	50.7623	0.436
snap_masked-flattened_line_32-processed-gene-0.125-mRNA-1	0.36622287723486	58.8962	0.473
augustus_masked-flattened_line_38-processed-gene-0.224-mRNA-1	0.36748481561544	57.2001	0.523
genemark-flattened_line_12-processed-gene-0.34-mRNA-1	0.39339364077119	55.4705	0.496
snap_masked-flattened_line_10-processed-gene-2.162-mRNA-1	0.48364745231589	44.3634	0.473
maker-flattened_line_130-augustus-gene-0.17-mRNA-1	0.423909800597192	53.4783	0.413
snap_masked-flattened_line_32-processed-gene-0.99-mRNA-1	0.508402543555164	36.8045	0.543
snap_masked-flattened_line_48-processed-gene-0.129-mRNA-1	0.414079338752081	51.4349	0.572
augustus_masked-flattened_line_92-processed-gene-0.48-mRNA-1	0.379036238114648	57.8664	0.505
snap_masked-flattened_line_18-processed-gene-0.125-mRNA-1	0.427852118891501	54.7396	0.634
snap_masked-flattened_line_119-processed-gene-0.26-mRNA-1	0.377090269336755	56.6448	0.416
genemark-flattened_line_16-processed-gene-1.66-mRNA-1	0.35122061534043	53.9581	0.653
snap_masked-flattened_line_64-processed-gene-0.68-mRNA-1	0.386760884503728	56.7307	0.427
snap_masked-flattened_line_46-processed-gene-0.201-mRNA-1	0.44679497137053	53.3604	0.480
augustus_masked-flattened_line_48-processed-gene-0.15-mRNA-1	0.394308798755028	58.8419	0.448
genemark-flattened_line_12-processed-gene-2.51-mRNA-1	0.421771194997577	55.9381	0.485
snap_masked-flattened_line_0-processed-gene-8.121-mRNA-1	0.399376577070824	55.3941	0.455
snap_masked-flattened_line_36-processed-gene-0.140-mRNA-1	0.408344135884632	54.7614	0.464
snap_masked-flattened_line_58-processed-gene-0.99-mRNA-1	0.433555632041943	54.6315	0.384
augustus_masked-flattened_line_2-processed-gene-1.39-mRNA-1	0.402602204313024	55.9462	0.513
snap_masked-flattened_line_8-processed-gene-2.239-mRNA-1	0.433163480550254	54.6864	0.443
augustus_masked-flattened_line_80-processed-gene-0.85-mRNA-1	0.367838655130736	54.2477	0.479
augustus_masked-flattened_line_0-processed-gene-4.59-mRNA-1	0.375755294179605	55.2154	0.458
snap_masked-flattened_line_60-processed-gene-0.90-mRNA-1	0.436575509302481	54.9971	0.547
maker-flattened_line_72-snap-gene-0.108-mRNA-1	0.455287804718685	47.1570	0.440
genemark-flattened_line_6-processed-gene-2.213-mRNA-1	0.414069830921478	56.8794	0.458
snap_masked-flattened_line_48-processed-gene-0.143-mRNA-1	0.404817084020714	55.3699	0.425
snap_masked-flattened_line_42-processed-gene-0.178-mRNA-1	0.389058018115764	55.6058	0.428
snap_masked-flattened_line_6-processed-gene-2.143-mRNA-1	0.426640397633692	56.6398	0.435
