gene_id	tAI	nc	gc3
snap_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.237-mRNA-1	0.49554042190134	52.9298	0.277
augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-1.12-mRNA-1	0.509908081078701	46.2376	0.768
genemark-NODE_32_length_101458_cov_32.2867_ID_63-processed-gene-0.70-mRNA-1	0.495495567198805	50.1065	0.282
genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.67-mRNA-1	0.529364369329737	54.7453	0.425
augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.129-mRNA-1	0.488309976756604	58.0864	0.475
augustus_masked-NODE_39_length_75211_cov_36.8898_ID_77-processed-gene-0.63-mRNA-1	0.494769932664388	58.3052	0.424
augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-1.59-mRNA-1	0.520138785211332	51.5790	0.586
augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-0.57-mRNA-1	0.494604020918829	55.3065	0.366
augustus_masked-NODE_26_length_137620_cov_32.8613_ID_51-processed-gene-0.54-mRNA-1	0.552648420313006	53.5838	0.382
augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-0.59-mRNA-1	0.518605002304258	54.0257	0.376
snap_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.33-mRNA-1	0.516061140039648	52.1355	0.527
augustus_masked-NODE_21_length_186516_cov_33.4099_ID_41-processed-gene-0.123-mRNA-1	0.507987762205181	56.8067	0.408
genemark-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-1.21-mRNA-1	0.487992534678686	58.5123	0.548
snap_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-5.3-mRNA-1	0.494086419873973	54.2286	0.348
augustus_masked-NODE_33_length_101399_cov_32.264_ID_65-processed-gene-0.142-mRNA-1	0.478294190677065	52.5354	0.650
genemark-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.80-mRNA-1	0.485272284981136	58.4202	0.467
maker-NODE_3_length_574896_cov_30.1526_ID_5-snap-gene-1.5-mRNA-1	0.503588760521382	53.7628	0.613
augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-6.115-mRNA-1	0.482153367897931	58.0850	0.402
augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-4.100-mRNA-1	0.536580228293775	55.0037	0.569
augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.192-mRNA-1	0.47207340965004	57.9947	0.401
augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.34-mRNA-1	0.492038358644203	37.7944	0.883
genemark-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.134-mRNA-1	0.502371726833692	57.4291	0.443
augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.38-mRNA-1	0.506443846303733	58.2636	0.490
augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.20-mRNA-1	0.484266637554052	57.1321	0.393
augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-1.82-mRNA-1	0.481807467187117	55.9309	0.421
genemark-NODE_44_length_50087_cov_30.39_ID_87-processed-gene-0.26-mRNA-1	0.540836361100524	53.0691	0.389
genemark-NODE_26_length_137620_cov_32.8613_ID_51-processed-gene-0.106-mRNA-1	0.556494703081801	46.0949	0.361
augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.114-mRNA-1	0.574364666171664	46.0944	0.349
augustus_masked-NODE_26_length_137620_cov_32.8613_ID_51-processed-gene-0.5-mRNA-1	0.494051835887099	55.9992	0.394
augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-0.30-mRNA-1	0.528312824520506	55.6095	0.576
maker-NODE_5_length_517651_cov_49.9611_ID_9-augustus-gene-3.4-mRNA-1	0.516277045526928	56.1807	0.432
augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-1.66-mRNA-1	0.490195900038147	57.0921	0.468
augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.26-mRNA-1	0.509686282290349	58.5183	0.458
genemark-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.223-mRNA-1	0.460865745147278	46.9209	0.760
augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-0.45-mRNA-1	0.491217484997026	58.9776	0.467
augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.233-mRNA-1	0.534198701286733	51.6785	0.363
augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.112-mRNA-1	0.507100159883323	57.9577	0.420
augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-2.108-mRNA-1	0.491334056635328	55.1228	0.345
