gene_id	tAI	nc	gc3
snap_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-4.72-mRNA-1	0.274827434066801	56.7508	0.402
maker-NODE_6_length_562868_cov_24.3835_ID_11-snap-gene-1.85-mRNA-1	0.266217938156036	57.7391	0.367
snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.83-mRNA-1	0.266141620933733	56.0252	0.359
snap_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-0.27-mRNA-1	0.259646667644399	56.4024	0.357
augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.89-mRNA-1	0.332332085952764	55.1499	0.491
augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.40-mRNA-1	0.275549239777533	60.1741	0.487
augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-2.135-mRNA-1	0.327193604553538	55.6158	0.526
augustus_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.60-mRNA-1	0.269595900264482	54.4566	0.370
augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.135-mRNA-1	0.255676763715463	57.2090	0.524
augustus_masked-NODE_19_length_146505_cov_24.2614_ID_37-processed-gene-0.170-mRNA-1	0.29410039348114	56.4655	0.357
snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-7.77-mRNA-1	0.256770291818614	57.0311	0.408
augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-2.15-mRNA-1	0.281953088281228	55.7780	0.369
augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-2.35-mRNA-1	0.304767020451286	58.4195	0.481
augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.15-mRNA-1	0.283843022924531	53.9791	0.391
snap_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.126-mRNA-1	0.302138300703321	53.8678	0.625
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-6.126-mRNA-1	0.304008143504218	57.5897	0.442
snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-1.80-mRNA-1	0.258201087648181	55.7929	0.374
augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-6.129-mRNA-1	0.264596597456822	58.7682	0.381
augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-7.1-mRNA-1	0.301034588999243	58.7010	0.443
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-1.8-mRNA-1	0.252715092967096	56.5582	0.373
augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-9.37-mRNA-1	0.198496159644682	53.8891	0.354
maker-NODE_23_length_96793_cov_23.3371_ID_45-augustus-gene-0.1-mRNA-1	0.285073525550123	54.9835	0.352
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.33-mRNA-1	0.221977605909147	52.4776	0.281
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-1.28-mRNA-1	0.290560119067715	56.7992	0.550
augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-4.23-mRNA-1	0.311588061370389	55.7893	0.449
augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.55-mRNA-1	0.317936345175272	56.2715	0.391
augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.25-mRNA-1	0.276915406934735	58.3977	0.372
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.79-mRNA-1	0.2660510633725	56.9923	0.371
augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.45-mRNA-1	0.299309982750606	47.6719	0.375
augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-0.84-mRNA-1	0.276817950164065	57.7171	0.400
augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.199-mRNA-1	0.23076549809393	58.0696	0.408
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-11.67-mRNA-1	0.298480015371436	55.8301	0.409
augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-9.20-mRNA-1	0.265969298426196	54.7088	0.372
augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.69-mRNA-1	0.272765797131629	59.1880	0.392
genemark-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-2.100-mRNA-1	0.249424194694026	56.4255	0.431
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.75-mRNA-1	0.272149822597992	57.6142	0.454
augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-4.157-mRNA-1	0.287852780928821	58.7724	0.439
augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-1.116-mRNA-1	0.269400816299374	55.4173	0.386
snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-0.28-mRNA-1	0.249830393297017	56.1713	0.369
augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.129-mRNA-1	0.325755551907986	55.0415	0.380
augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.18-mRNA-1	0.246562085656364	57.1941	0.349
augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.153-mRNA-1	0.289631975484688	54.7543	0.422
augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.153-mRNA-1	0.270385215121837	56.2726	0.400
snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.141-mRNA-1	0.254030565959314	56.7051	0.389
augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.254-mRNA-1	0.254595619349395	56.0781	0.367
augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-2.128-mRNA-1	0.251431087140689	55.3821	0.354
augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.56-mRNA-1	0.249787447640936	56.9084	0.387
snap_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.62-mRNA-1	0.275594945387338	55.8255	0.344
augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.19-mRNA-1	0.25823535845541	57.2358	0.390
augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-0.100-mRNA-1	0.290922101479238	57.3833	0.403
augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.34-mRNA-1	0.283753887317918	56.6178	0.428
augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.82-mRNA-1	0.282545006359402	55.4867	0.420
augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.31-mRNA-1	0.293975734102514	56.6056	0.561
augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.12-mRNA-1	0.25404253257702	58.7479	0.446
augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-2.137-mRNA-1	0.257727132352236	58.3135	0.386
augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.155-mRNA-1	0.258882613891683	58.6223	0.397
augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.4-mRNA-1	0.258339026747308	53.2689	0.357
