Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                 SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.28-mRNA-1        519        9        1        7   40.9180   61.0927
augustus_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.35-mRNA-1       1002       11        3        7   56.1693   61.4101
snap_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.2-mRNA-1             765       11        3        7   53.8925   57.9848
augustus_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.30-mRNA-1       2592       11        3        7   46.6728   48.6711
augustus_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.31-mRNA-1       1905       11        3        7   53.3902   59.0091
augustus_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.36-mRNA-1       1443       11        3        7   57.0161   61.9530
augustus_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.32-mRNA-1        549       10        3        7   53.3382   60.1969
snap_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.6-mRNA-1            1653       11        3        6   41.9387   58.0161
snap_masked-NODE_100_length_33681_cov_32.4507_ID_199-processed-gene-0.7-mRNA-1             750       11        3        7   58.8021   61.7377
maker-NODE_100_length_33681_cov_32.4507_ID_199-augustus-gene-0.40-mRNA-1                  6534       11        3        7   49.6343   60.1908
augustus_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.18-mRNA-1        450       10        3        7   50.2277   59.5812
augustus_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.20-mRNA-1        357       11        3        7   55.4298   60.1496
snap_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.14-mRNA-1           1230       11        3        7   57.4251   61.9517
augustus_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.22-mRNA-1       1668       11        3        7   49.7049   52.1687
augustus_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.23-mRNA-1        363        9        2        6   43.3553   55.2407
augustus_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.19-mRNA-1       1665       11        3        7   59.0426   62.4844
snap_masked-NODE_101_length_33079_cov_30.9091_ID_201-processed-gene-0.17-mRNA-1            336        9        3        7   50.1235   49.1904
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.21-mRNA-1       1431       11        3        7   55.2025   61.5676
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.22-mRNA-1       1137       10        3        7   57.8179   62.2202
snap_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.14-mRNA-1           2598       11        3        7   53.9138   62.1647
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.26-mRNA-1       1506       11        3        7   55.8097   62.0659
snap_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.12-mRNA-1           1773       11        3        7   56.2689   60.9156
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.24-mRNA-1        366       11        3        7   53.4939   62.6895
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.27-mRNA-1       1275       11        3        6   43.6101   54.9896
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.28-mRNA-1       2097       11        3        7   55.0184   58.0153
augustus_masked-NODE_102_length_32692_cov_34.7256_ID_203-processed-gene-0.29-mRNA-1       1149       11        3        7   57.6431   62.8827
augustus_masked-NODE_103_length_32371_cov_32.7051_ID_205-processed-gene-0.22-mRNA-1        984       11        3        7   54.7311   60.3994
snap_masked-NODE_103_length_32371_cov_32.7051_ID_205-processed-gene-0.9-mRNA-1            1359       11        3        7   53.3010   57.9075
augustus_masked-NODE_103_length_32371_cov_32.7051_ID_205-processed-gene-0.23-mRNA-1       1557       11        3        7   56.2376   60.8602
augustus_masked-NODE_103_length_32371_cov_32.7051_ID_205-processed-gene-0.24-mRNA-1        789       11        3        7   54.1625   60.1773
augustus_masked-NODE_103_length_32371_cov_32.7051_ID_205-processed-gene-0.19-mRNA-1       1305       11        3        7   56.9125   61.2305
augustus_masked-NODE_103_length_32371_cov_32.7051_ID_205-processed-gene-0.20-mRNA-1       1053       11        3        7   50.8318   54.8185
