gene_id	tAI	nc	gc3
snap_masked-LANO0D-processed-gene-2.23-mRNA-1	0.316138984975226	53.7613	0.409
snap_masked-LANO0A-processed-gene-1.127-mRNA-1	0.236759574922733	57.6649	0.412
augustus_masked-LANO0H-processed-gene-1.152-mRNA-1	0.273204967750993	57.5553	0.459
snap_masked-LANO0G-processed-gene-7.75-mRNA-1	0.269862475197217	55.5806	0.405
snap_masked-LANO0B-processed-gene-7.237-mRNA-1	0.163333328032936	54.5669	0.380
snap_masked-LANO0H-processed-gene-14.149-mRNA-1	0.490929653464305	43.9909	0.600
augustus_masked-LANO0C-processed-gene-9.69-mRNA-1	0.214000755698034	58.6072	0.422
snap_masked-LANO0D-processed-gene-4.88-mRNA-1	0.260509443448952	58.4205	0.513
snap_masked-LANO0G-processed-gene-12.74-mRNA-1	0.270707527960628	58.3901	0.485
snap_masked-LANO0A-processed-gene-3.59-mRNA-1	0.239049024965879	59.5280	0.419
augustus_masked-LANO0G-processed-gene-10.46-mRNA-1	0.257792386759163	57.6974	0.409
snap_masked-LANO0C-processed-gene-5.109-mRNA-1	0.236528180645794	59.0863	0.397
snap_masked-LANO0G-processed-gene-2.121-mRNA-1	0.244973492714082	56.3645	0.409
augustus_masked-LANO0F-processed-gene-1.106-mRNA-1	0.245202718068465	58.7292	0.447
snap_masked-LANO0F-processed-gene-15.47-mRNA-1	0.255267083766535	56.0466	0.439
snap_masked-LANO0F-processed-gene-15.49-mRNA-1	0.240686182565478	53.4857	0.433
snap_masked-LANO0E-processed-gene-10.40-mRNA-1	0.256724384784755	56.3463	0.425
snap_masked-LANO0F-processed-gene-16.131-mRNA-1	0.253615871448127	58.6891	0.442
snap_masked-LANO0C-processed-gene-1.17-mRNA-1	0.344420124331615	48.7626	0.736
augustus_masked-LANO0B-processed-gene-7.26-mRNA-1	0.241303692417735	56.1166	0.425
snap_masked-LANO0F-processed-gene-2.109-mRNA-1	0.245389653873153	59.3753	0.405
snap_masked-LANO0G-processed-gene-5.33-mRNA-1	0.241814881348163	56.5513	0.369
snap_masked-LANO0F-processed-gene-0.9-mRNA-1	0.261708742772602	59.6445	0.512
genemark-LANO0D-processed-gene-10.37-mRNA-1	0.253757258391211	55.3884	0.483
augustus_masked-LANO0B-processed-gene-5.91-mRNA-1	0.241939308159463	58.7614	0.414
snap_masked-LANO0A-processed-gene-6.163-mRNA-1	0.271212046279927	57.0272	0.443
snap_masked-LANO0H-processed-gene-10.82-mRNA-1	0.239596236941876	58.7079	0.410
snap_masked-LANO0B-processed-gene-6.85-mRNA-1	0.337583564959299	51.7131	0.478
snap_masked-LANO0F-processed-gene-0.15-mRNA-1	0.235290768263434	54.4618	0.378
snap_masked-LANO0E-processed-gene-0.91-mRNA-1	0.257254762243558	57.4656	0.466
augustus_masked-LANO0G-processed-gene-16.193-mRNA-1	0.263434273061661	58.4780	0.433
snap_masked-LANO0G-processed-gene-9.30-mRNA-1	0.263893832043307	53.4946	0.612
snap_masked-LANO0H-processed-gene-19.117-mRNA-1	0.29465923776585	55.5465	0.521
snap_masked-LANO0H-processed-gene-4.89-mRNA-1	0.227045239569664	59.1208	0.407
snap_masked-LANO0H-processed-gene-15.133-mRNA-1	0.277356680315745	57.0127	0.391
snap_masked-LANO0H-processed-gene-3.67-mRNA-1	0.223927990827872	54.2360	0.430
snap_masked-LANO0E-processed-gene-12.66-mRNA-1	0.250611285823583	54.7766	0.471
snap_masked-LANO0F-processed-gene-10.73-mRNA-1	0.241875015702465	60.0470	0.438
snap_masked-LANO0E-processed-gene-3.43-mRNA-1	0.229825716380585	58.0888	0.386
augustus_masked-LANO0A-processed-gene-1.14-mRNA-1	0.249546928541522	58.0575	0.496
snap_masked-LANO0B-processed-gene-7.265-mRNA-1	0.26863875602136	56.5097	0.430
snap_masked-LANO0E-processed-gene-2.110-mRNA-1	0.327371322604594	55.0980	0.569
snap_masked-LANO0D-processed-gene-2.20-mRNA-1	0.292677800613478	56.1263	0.532
snap_masked-LANO0H-processed-gene-19.105-mRNA-1	0.274300619206529	58.2617	0.438
augustus_masked-LANO0E-processed-gene-4.130-mRNA-1	0.245693517516698	57.9934	0.537
augustus_masked-LANO0G-processed-gene-8.3-mRNA-1	0.226336502325702	54.7343	0.417
snap_masked-LANO0G-processed-gene-15.48-mRNA-1	0.28230138943001	55.0333	0.434
snap_masked-LANO0D-processed-gene-3.92-mRNA-1	0.257989922579004	57.6083	0.417
snap_masked-LANO0D-processed-gene-0.95-mRNA-1	0.24109783753699	55.4341	0.469
snap_masked-LANO0F-processed-gene-4.92-mRNA-1	0.264302515955022	58.3847	0.398
snap_masked-LANO0H-processed-gene-4.122-mRNA-1	0.289759848221106	54.1884	0.551
snap_masked-LANO0A-processed-gene-5.132-mRNA-1	0.257343954431722	57.0796	0.411
snap_masked-LANO0F-processed-gene-6.71-mRNA-1	0.243347728455507	55.1805	0.424
snap_masked-LANO0F-processed-gene-9.41-mRNA-1	0.26337621490275	58.3604	0.409
snap_masked-LANO0F-processed-gene-11.104-mRNA-1	0.253504302970904	56.1066	0.371
snap_masked-LANO0D-processed-gene-3.88-mRNA-1	0.369088108174488	49.9492	0.597
augustus_masked-LANO0C-processed-gene-5.16-mRNA-1	0.20063221958752	56.2267	0.426
snap_masked-LANO0C-processed-gene-3.6-mRNA-1	0.273054055494013	56.7514	0.409
snap_masked-LANO0A-processed-gene-6.146-mRNA-1	0.297976246603681	56.0333	0.523
snap_masked-LANO0E-processed-gene-11.45-mRNA-1	0.242200158234834	54.7333	0.460
snap_masked-LANO0G-processed-gene-13.58-mRNA-1	0.275375082617695	57.7534	0.521
snap_masked-LANO0B-processed-gene-7.178-mRNA-1	0.442767674963172	41.0686	0.624
augustus_masked-LANO0D-processed-gene-9.125-mRNA-1	0.269313618708329	59.8437	0.504
augustus_masked-LANO0G-processed-gene-6.122-mRNA-1	0.220483587649323	54.5157	0.442
snap_masked-LANO0A-processed-gene-4.53-mRNA-1	0.235781072477324	53.8777	0.428
snap_masked-LANO0G-processed-gene-1.37-mRNA-1	0.279746234591748	54.1180	0.595
snap_masked-LANO0H-processed-gene-0.18-mRNA-1	0.389580303197179	43.9596	0.319
snap_masked-LANO0F-processed-gene-12.110-mRNA-1	0.240709858152113	59.7600	0.509
snap_masked-LANO0F-processed-gene-12.107-mRNA-1	0.274266677707889	56.9192	0.438
snap_masked-LANO0D-processed-gene-6.142-mRNA-1	0.250741385825674	59.4818	0.466
snap_masked-LANO0F-processed-gene-1.45-mRNA-1	0.336340372854376	55.7455	0.482
snap_masked-LANO0H-processed-gene-11.59-mRNA-1	0.29871584900175	53.4117	0.489
snap_masked-LANO0B-processed-gene-1.51-mRNA-1	0.231427695504708	54.6106	0.429
snap_masked-LANO0A-processed-gene-5.119-mRNA-1	0.278024993205699	58.5048	0.502
snap_masked-LANO0B-processed-gene-3.69-mRNA-1	0.218782589137434	55.8943	0.448
snap_masked-LANO0H-processed-gene-19.135-mRNA-1	0.256196310147465	58.3827	0.441
snap_masked-LANO0E-processed-gene-11.32-mRNA-1	0.270209581092954	55.8078	0.503
snap_masked-LANO0C-processed-gene-4.26-mRNA-1	0.23031186880965	58.6815	0.410
augustus_masked-LANO0A-processed-gene-5.22-mRNA-1	0.252466786862609	57.8972	0.396
snap_masked-LANO0D-processed-gene-10.110-mRNA-1	0.264804305756877	58.2650	0.423
snap_masked-LANO0B-processed-gene-7.246-mRNA-1	0.227906967252068	59.2563	0.444
