Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_103_length_392_cov_0.856698_ID_205-processed-gene-0.0-mRNA-1         339       11        1        8   50.2152   50.8786
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.19-mRNA-1       1002       11        1        8   49.1452   54.2873
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.0-mRNA-1        3666       12        1        8   58.5140   61.4548
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.20-mRNA-1        381       12        1        8   51.5751   56.1964
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.21-mRNA-1        990       12        1        8   57.5100   62.3323
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.59-mRNA-1           2742       12        1        8   56.0276   60.4404
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.23-mRNA-1       1674       12        1        8   54.7886   61.9656
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.24-mRNA-1        453       12        1        8   55.7789   62.1740
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.1-mRNA-1        1197       12        1        8   55.1092   61.1793
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.2-mRNA-1        1377       12        1        8   56.4168   62.0972
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.3-mRNA-1        2127       12        1        8   56.3275   62.1585
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.41-mRNA-1            348       12        1        8   54.0911   61.0788
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.25-mRNA-1        663       12        1        8   54.0412   60.5684
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.26-mRNA-1       5496       12        1        8   50.6492   58.0004
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.4-mRNA-1        1629       12        1        8   55.6878   61.6147
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.27-mRNA-1       2169       12        1        8   51.3645   57.2690
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.5-mRNA-1        1335       12        1        8   59.0686   62.2847
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.28-mRNA-1        765       12        1        8   54.4026   61.0738
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.6-mRNA-1        1431       12        1        8   57.6823   61.1558
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.29-mRNA-1       1575       12        1        8   54.3579   61.7715
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.7-mRNA-1        1155       11        1        8   58.4787   61.7429
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.30-mRNA-1       1875       12        1        8   59.3868   62.9023
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.31-mRNA-1       1599       12        1        8   42.5519   52.4367
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.8-mRNA-1        1932       12        1        8   56.6204   62.7758
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.46-mRNA-1            483       11        1        8   55.1650   61.7664
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.9-mRNA-1        1281       12        1        8   53.0431   59.4185
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.10-mRNA-1        819       12        1        8   55.5663   60.5464
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.11-mRNA-1       2415       12        1        8   57.8015   62.9570
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.33-mRNA-1        945       12        1        8   58.0629   62.3931
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.12-mRNA-1        351       12        1        8   53.7530   59.6021
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.34-mRNA-1        495       12        1        8   53.0973   55.8959
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.51-mRNA-1           1578       12        1        8   55.0234   62.4763
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.14-mRNA-1       2289       12        1        8   37.6862   53.8723
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.73-mRNA-1           2253        9        1        8   48.4916   59.4826
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.15-mRNA-1       1860       12        1        8   53.0635   58.6559
genemark-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.96-mRNA-1              1503       12        1        8   56.2918   61.6106
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.35-mRNA-1       1731       12        1        8   49.9347   56.7809
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.17-mRNA-1       1176       12        1        8   56.5188   62.6196
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.18-mRNA-1       8256       12        1        8   52.2033   58.6487
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-0.36-mRNA-1        846       12        1        8   48.3639   54.6530
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.52-mRNA-1       1011       12        1        8   49.3279   56.1057
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.53-mRNA-1       5118       12        1        8   57.6786   61.3733
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.2-mRNA-1            1095       12        1        8   54.6600   61.1222
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.4-mRNA-1            2058       12        1        8   55.9097   62.6929
maker-NODE_10_length_413368_cov_23.0473_ID_19-snap-gene-1.51-mRNA-1                      1062       12        1        8   57.8896   61.3985
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.58-mRNA-1       1320       12        1        8   58.0285   61.4302
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.78-mRNA-1       1455       12        1        8   44.0461   55.8756
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.79-mRNA-1       1128       12        1        8   51.9626   62.6663
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.59-mRNA-1        921       11        1        8   55.1408   58.5251
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.80-mRNA-1       1044       12        1        8   55.0069   62.0138
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.60-mRNA-1        657       10        1        7   47.7460   49.5950
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.81-mRNA-1       2466       12        1        8   54.0724   58.4990
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.82-mRNA-1       1152       12        1        8   52.1624   56.3817
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.61-mRNA-1       1059       12        1        8   55.3418   60.4653
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.83-mRNA-1       2043       12        1        8   55.2071   62.0337
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.84-mRNA-1       3702       12        1        8   58.3211   62.7783
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.85-mRNA-1        984       12        1        8   50.2980   57.5140
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.12-mRNA-1           1575       12        1        8   56.4195   62.5470
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.86-mRNA-1        387       12        1        8   53.8975   59.7322
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.36-mRNA-1            612       12        1        8   52.5788   58.7834
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.88-mRNA-1       2664       12        1        8   56.1222   60.8053
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.64-mRNA-1        948       12        1        8   55.8252   61.2353
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.89-mRNA-1       3330       12        1        8   58.2927   62.5735
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.15-mRNA-1            498       12        1        8   44.5971   48.7008
snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.16-mRNA-1            498       12        1        8   51.0458   51.5759
augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.67-mRNA-1       1698       12        1        8   48.8908   50.8002
