gene_id	tAI	nc	gc3
augustus_masked-NODE_139_length_1635_cov_173.22_ID_277-processed-gene-0.0-mRNA-1	0.20117355427969	55.5921	0.391
augustus_masked-NODE_1_length_424984_cov_16.6998_ID_1-processed-gene-3.20-mRNA-1	0.255308417535437	56.8968	0.533
augustus_masked-NODE_6_length_253312_cov_15.3553_ID_11-processed-gene-0.54-mRNA-1	0.24015850968226	55.4073	0.398
augustus_masked-NODE_22_length_138830_cov_15.1455_ID_43-processed-gene-0.29-mRNA-1	0.288961497344816	57.1103	0.456
augustus_masked-NODE_3_length_296438_cov_15.0578_ID_5-processed-gene-1.243-mRNA-1	0.224343126295179	56.9474	0.352
snap_masked-NODE_25_length_132468_cov_15.7539_ID_49-processed-gene-0.167-mRNA-1	0.259700204889952	55.2382	0.341
augustus_masked-NODE_13_length_198474_cov_15.272_ID_25-processed-gene-0.17-mRNA-1	0.24856302572796	54.8385	0.281
augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-1.60-mRNA-1	0.228868279623382	54.9386	0.337
augustus_masked-NODE_30_length_117629_cov_15.3164_ID_59-processed-gene-0.15-mRNA-1	0.276278172391104	57.6929	0.480
snap_masked-NODE_74_length_39602_cov_15.523_ID_147-processed-gene-0.23-mRNA-1	0.304904192818684	55.5906	0.620
augustus_masked-NODE_45_length_83315_cov_15.1769_ID_89-processed-gene-0.112-mRNA-1	0.252950923245775	54.3495	0.577
snap_masked-NODE_1_length_424984_cov_16.6998_ID_1-processed-gene-2.69-mRNA-1	0.249060225978505	56.0066	0.482
snap_masked-NODE_1_length_424984_cov_16.6998_ID_1-processed-gene-2.77-mRNA-1	0.231662430076856	56.6085	0.378
augustus_masked-NODE_37_length_94504_cov_15.1639_ID_73-processed-gene-0.41-mRNA-1	0.265226791762589	56.7728	0.427
augustus_masked-NODE_58_length_58963_cov_15.1009_ID_115-processed-gene-0.3-mRNA-1	0.242620172300355	57.8039	0.377
augustus_masked-NODE_48_length_72741_cov_16.097_ID_95-processed-gene-0.22-mRNA-1	0.287961918903478	48.0007	0.398
augustus_masked-NODE_9_length_237490_cov_15.1899_ID_17-processed-gene-1.36-mRNA-1	0.251386890326965	55.1005	0.548
genemark-NODE_40_length_88277_cov_14.7049_ID_79-processed-gene-0.72-mRNA-1	0.23042674723857	57.1562	0.389
maker-NODE_36_length_99242_cov_15.614_ID_71-snap-gene-0.91-mRNA-1	0.239270357873475	57.5477	0.363
augustus_masked-NODE_23_length_136819_cov_14.6148_ID_45-processed-gene-0.45-mRNA-1	0.252681092662304	53.6312	0.474
augustus_masked-NODE_59_length_58945_cov_14.5838_ID_117-processed-gene-0.77-mRNA-1	0.298558517261556	56.9553	0.481
augustus_masked-NODE_60_length_57602_cov_17.475_ID_119-processed-gene-0.65-mRNA-1	0.327417456353337	43.9633	0.396
augustus_masked-NODE_25_length_132468_cov_15.7539_ID_49-processed-gene-0.22-mRNA-1	0.254588066458553	53.5629	0.344
snap_masked-NODE_23_length_136819_cov_14.6148_ID_45-processed-gene-0.195-mRNA-1	0.257438408593469	56.5251	0.492
augustus_masked-NODE_4_length_283908_cov_15.1447_ID_7-processed-gene-1.118-mRNA-1	0.276171786120006	53.3538	0.403
augustus_masked-NODE_2_length_418382_cov_14.9342_ID_3-processed-gene-2.128-mRNA-1	0.266884229803288	55.2162	0.468
augustus_masked-NODE_6_length_253312_cov_15.3553_ID_11-processed-gene-1.30-mRNA-1	0.231791286244337	56.4083	0.357
augustus_masked-NODE_68_length_47068_cov_17.2073_ID_135-processed-gene-0.6-mRNA-1	0.265208602617178	53.5213	0.460
augustus_masked-NODE_21_length_140081_cov_14.4428_ID_41-processed-gene-0.187-mRNA-1	0.314920945157253	52.6131	0.657
augustus_masked-NODE_3_length_296438_cov_15.0578_ID_5-processed-gene-0.57-mRNA-1	0.294095813303045	54.2808	0.389
snap_masked-NODE_89_length_23843_cov_14.5226_ID_177-processed-gene-0.3-mRNA-1	0.248599489455279	57.4912	0.424
augustus_masked-NODE_91_length_16610_cov_15.2461_ID_181-processed-gene-0.6-mRNA-1	0.290903407166665	52.7697	0.573
augustus_masked-NODE_3_length_296438_cov_15.0578_ID_5-processed-gene-0.71-mRNA-1	0.294773225443451	50.2343	0.722
augustus_masked-NODE_40_length_88277_cov_14.7049_ID_79-processed-gene-0.117-mRNA-1	0.239651498113419	55.2644	0.378
augustus_masked-NODE_56_length_60609_cov_15.5326_ID_111-processed-gene-0.14-mRNA-1	0.381484545493655	36.4263	0.460
maker-NODE_56_length_60609_cov_15.5326_ID_111-augustus-gene-0.0-mRNA-1	0.369919801596883	41.7983	0.436
augustus_masked-NODE_28_length_119130_cov_14.992_ID_55-processed-gene-0.160-mRNA-1	0.353777745232536	41.7205	0.406
augustus_masked-NODE_12_length_205931_cov_14.7015_ID_23-processed-gene-1.170-mRNA-1	0.239591625610645	55.3079	0.475
augustus_masked-NODE_74_length_39602_cov_15.523_ID_147-processed-gene-0.13-mRNA-1	0.267530341876516	53.2743	0.554
augustus_masked-NODE_32_length_108397_cov_16.2126_ID_63-processed-gene-0.90-mRNA-1	0.25226287092132	53.7953	0.308
augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-1.51-mRNA-1	0.28685710289788	51.8105	0.474
augustus_masked-NODE_52_length_68061_cov_14.8597_ID_103-processed-gene-0.82-mRNA-1	0.306984545546475	54.6315	0.538
augustus_masked-NODE_70_length_45098_cov_14.4253_ID_139-processed-gene-0.6-mRNA-1	0.2608909730993	55.6529	0.375
maker-NODE_6_length_253312_cov_15.3553_ID_11-snap-gene-0.35-mRNA-1	0.252930079468607	55.3635	0.378
augustus_masked-NODE_30_length_117629_cov_15.3164_ID_59-processed-gene-0.38-mRNA-1	0.310081401703054	52.4560	0.701
augustus_masked-NODE_20_length_140412_cov_15.3546_ID_39-processed-gene-0.168-mRNA-1	0.259366736016689	58.6772	0.482
augustus_masked-NODE_34_length_102394_cov_15.2221_ID_67-processed-gene-0.39-mRNA-1	0.259974878112476	57.1303	0.416
augustus_masked-NODE_23_length_136819_cov_14.6148_ID_45-processed-gene-0.38-mRNA-1	0.326459975666439	52.7880	0.509
augustus_masked-NODE_63_length_52742_cov_14.9354_ID_125-processed-gene-0.28-mRNA-1	0.233745482005081	57.3061	0.354
augustus_masked-NODE_6_length_253312_cov_15.3553_ID_11-processed-gene-0.67-mRNA-1	0.247609646801571	57.5493	0.389
augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-1.11-mRNA-1	0.259343564033334	56.9697	0.509
