Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                    SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------
genemark-scaffold_1-processed-gene-0.97-mRNA-1                702       12        1        8   53.8993   55.8705
snap_masked-scaffold_1-processed-gene-0.1-mRNA-1              927       12        1        8   52.7316   55.4514
snap_masked-scaffold_1-processed-gene-0.2-mRNA-1              723       12        1        8   51.3261   53.6586
snap_masked-scaffold_1-processed-gene-0.24-mRNA-1             801       12        1        8   53.5240   58.4116
augustus_masked-scaffold_1-processed-gene-0.63-mRNA-1         651       12        1        8   53.5473   59.7359
genemark-scaffold_1-processed-gene-0.99-mRNA-1                480       11        1        7   51.9608   52.7712
genemark-scaffold_1-processed-gene-0.81-mRNA-1                765       12        1        8   55.0528   58.7567
genemark-scaffold_1-processed-gene-0.82-mRNA-1               1113       12        1        8   50.2667   55.3321
genemark-scaffold_1-processed-gene-0.100-mRNA-1              3159       12        1        8   51.4593   53.8828
genemark-scaffold_1-processed-gene-0.83-mRNA-1               1122       12        1        8   52.0843   54.6815
snap_masked-scaffold_1-processed-gene-0.6-mRNA-1             1158       12        1        8   52.3929   53.9245
snap_masked-scaffold_1-processed-gene-0.28-mRNA-1            5100       12        1        8   54.7644   58.2472
snap_masked-scaffold_1-processed-gene-0.7-mRNA-1              579       11        1        8   54.3827   57.6021
augustus_masked-scaffold_1-processed-gene-0.67-mRNA-1        2742       12        1        8   55.5577   57.5566
genemark-scaffold_1-processed-gene-0.86-mRNA-1               1665       12        1        8   55.8977   57.1645
snap_masked-scaffold_1-processed-gene-0.30-mRNA-1            1164       12        1        8   55.0170   57.1200
genemark-scaffold_1-processed-gene-0.87-mRNA-1               1317       12        1        8   50.5861   55.0560
snap_masked-scaffold_1-processed-gene-0.11-mRNA-1            1338       12        1        8   49.7625   53.1928
genemark-scaffold_1-processed-gene-0.104-mRNA-1              1158       12        1        8   53.4500   54.7234
snap_masked-scaffold_1-processed-gene-0.13-mRNA-1            1233       12        1        8   52.6805   56.8216
snap_masked-scaffold_1-processed-gene-0.32-mRNA-1            2676       12        1        8   56.1818   58.5125
snap_masked-scaffold_1-processed-gene-0.33-mRNA-1            1515       12        1        8   55.1751   57.4985
snap_masked-scaffold_1-processed-gene-0.34-mRNA-1            1479       12        1        8   55.2144   57.0148
genemark-scaffold_1-processed-gene-0.90-mRNA-1               1341       12        1        8   53.5729   57.2218
genemark-scaffold_1-processed-gene-0.107-mRNA-1              2031       12        1        8   50.7186   55.8932
snap_masked-scaffold_1-processed-gene-0.15-mRNA-1             906       12        1        8   54.3601   59.4758
genemark-scaffold_1-processed-gene-0.92-mRNA-1                609       12        1        8   54.5607   61.4168
genemark-scaffold_1-processed-gene-0.93-mRNA-1               1545       12        1        8   48.8493   54.3756
genemark-scaffold_1-processed-gene-0.108-mRNA-1               885       12        1        8   54.8802   58.3268
genemark-scaffold_1-processed-gene-0.109-mRNA-1              3960       12        1        8   51.2779   56.2528
genemark-scaffold_1-processed-gene-0.94-mRNA-1               1005       12        1        8   54.3499   61.0301
augustus_masked-scaffold_1-processed-gene-0.60-mRNA-1        1074       12        1        8   55.8722   56.4836
genemark-scaffold_1-processed-gene-0.110-mRNA-1              2616       12        1        8   50.0205   55.8476
snap_masked-scaffold_1-processed-gene-0.40-mRNA-1            2541       11        1        8   54.5005   58.6443
genemark-scaffold_1-processed-gene-0.112-mRNA-1               471       11        1        7   46.2588   55.3981
genemark-scaffold_1-processed-gene-0.96-mRNA-1               1776       12        1        8   49.8282   55.5846
genemark-scaffold_1-processed-gene-1.66-mRNA-1               1794       12        1        8   54.8899   57.2736
genemark-scaffold_1-processed-gene-1.60-mRNA-1                528       12        1        8   54.9632   60.0629
augustus_masked-scaffold_1-processed-gene-1.112-mRNA-1        630       11        1        8   52.2940   58.4889
genemark-scaffold_1-processed-gene-1.62-mRNA-1                954       11        1        7   36.6076   57.5470
genemark-scaffold_1-processed-gene-1.67-mRNA-1               1389       12        1        8   52.2498   55.4537
genemark-scaffold_1-processed-gene-1.63-mRNA-1               1203       12        1        8   53.7954   60.7172
snap_masked-scaffold_1-processed-gene-1.3-mRNA-1              396       12        1        8   54.8373   61.4860
genemark-scaffold_1-processed-gene-1.65-mRNA-1               1455       12        1        8   52.7776   57.0578
genemark-scaffold_1-processed-gene-1.68-mRNA-1               1578       12        1        8   54.5120   57.3411
genemark-scaffold_1-processed-gene-1.91-mRNA-1               2460       12        1        8   49.3430   57.1167
genemark-scaffold_1-processed-gene-1.69-mRNA-1               1896       12        1        8   55.6750   58.2687
augustus_masked-scaffold_1-processed-gene-1.120-mRNA-1       3444       12        1        8   55.9632   57.9847
genemark-scaffold_1-processed-gene-1.92-mRNA-1               1989       12        1        8   53.7760   55.7304
genemark-scaffold_1-processed-gene-1.93-mRNA-1                888       12        1        8   47.9992   57.4477
genemark-scaffold_1-processed-gene-1.94-mRNA-1               1134       12        1        8   47.6646   55.2904
genemark-scaffold_1-processed-gene-1.72-mRNA-1               1446       12        1        8   51.1572   55.7151
snap_masked-scaffold_1-processed-gene-1.11-mRNA-1            1662       12        1        8   51.7568   55.3191
snap_masked-scaffold_1-processed-gene-1.12-mRNA-1            1035       12        1        8   53.5217   55.3787
snap_masked-scaffold_1-processed-gene-1.33-mRNA-1            1404       12        1        8   55.5140   59.0321
genemark-scaffold_1-processed-gene-1.96-mRNA-1               1521       12        1        8   51.2296   57.2424
augustus_masked-scaffold_1-processed-gene-1.124-mRNA-1       3138       12        1        8   51.2522   54.7584
genemark-scaffold_1-processed-gene-1.97-mRNA-1                681       12        1        8   50.4511   53.6803
genemark-scaffold_1-processed-gene-1.98-mRNA-1                663       12        1        8   54.4210   61.8878
genemark-scaffold_1-processed-gene-1.77-mRNA-1               2349       12        1        8   53.5185   56.0963
genemark-scaffold_1-processed-gene-1.99-mRNA-1                810       12        1        8   55.6006   56.9164
augustus_masked-scaffold_1-processed-gene-1.126-mRNA-1       1167       12        1        8   54.6253   57.9343
augustus_masked-scaffold_1-processed-gene-1.148-mRNA-1       2853       12        1        8   55.2949   57.2699
genemark-scaffold_1-processed-gene-1.101-mRNA-1              1128       12        1        7   53.8860   59.6394
snap_masked-scaffold_1-processed-gene-1.40-mRNA-1             732       12        1        8   52.3368   55.9901
snap_masked-scaffold_1-processed-gene-1.41-mRNA-1            2256       12        1        8   55.0979   56.3208
genemark-scaffold_1-processed-gene-1.79-mRNA-1                696       12        1        7   54.7430   59.5968
snap_masked-scaffold_1-processed-gene-1.18-mRNA-1            2445       12        1        8   55.1722   57.8497
