gene_id	tAI	nc	gc3
augustus_masked-NODE_59_length_35517_cov_23.2744_ID_5480-processed-gene-0.39-mRNA-1	0.681445469600616	39.4697	0.435
augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.172-mRNA-1	0.437291109273732	55.0294	0.446
snap_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.35-mRNA-1	0.515285546787076	54.1497	0.447
augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.11-mRNA-1	0.505837985959667	52.7886	0.408
augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-3.77-mRNA-1	0.60129001507022	47.9050	0.426
snap_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-2.53-mRNA-1	0.436160686105488	53.0082	0.380
maker-NODE_26_length_130411_cov_22.7649_ID_2775-augustus-gene-0.230-mRNA-1	0.474412697011588	56.6021	0.425
augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-8.71-mRNA-1	0.577087254789898	44.9305	0.362
maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-3.186-mRNA-1	0.687584941759215	39.1330	0.291
augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.44-mRNA-1	0.529865210416386	49.9555	0.335
augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.2-mRNA-1	0.523461400619589	50.2717	0.426
augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-1.22-mRNA-1	0.578607153387767	52.1544	0.429
maker-NODE_12_length_279838_cov_23.0736_ID_9675-augustus-gene-0.1-mRNA-1	0.700981465899407	42.6887	0.342
augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.115-mRNA-1	0.535043879011689	51.2991	0.382
augustus_masked-NODE_39_length_68748_cov_27.3738_ID_3862-processed-gene-0.58-mRNA-1	0.694496478122142	44.1873	0.272
augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.28-mRNA-1	0.513835935782953	52.4296	0.380
