gene_id	tAI	nc	gc3
genemark-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.48-mRNA-1	0.26550547198896	55.3878	0.361
augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.43-mRNA-1	0.263019275139635	54.4184	0.362
snap_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.40-mRNA-1	0.285216319659446	47.7364	0.332
augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-0.8-mRNA-1	0.259878520675567	50.8867	0.320
augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-0.73-mRNA-1	0.279952176521592	50.7221	0.302
augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.123-mRNA-1	0.279491918739974	53.1440	0.305
snap_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.40-mRNA-1	0.289988636821165	54.2951	0.323
augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-0.44-mRNA-1	0.262878566189164	54.4697	0.394
augustus_masked-NODE_27_length_155524_cov_13.7962_ID_53-processed-gene-0.82-mRNA-1	0.279444026140294	54.0003	0.297
maker-NODE_21_length_192997_cov_18.7535_ID_41-augustus-gene-0.109-mRNA-1	0.279443679947596	55.7440	0.492
augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-3.126-mRNA-1	0.270678202304368	50.9885	0.271
augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.147-mRNA-1	0.274435316446	54.4650	0.319
augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.69-mRNA-1	0.34653356721643	49.4031	0.510
maker-NODE_15_length_230213_cov_14.9326_ID_29-augustus-gene-0.0-mRNA-1	0.280559245304933	48.1582	0.329
augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-0.42-mRNA-1	0.28014607663016	54.0264	0.459
augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.94-mRNA-1	0.277872340347345	52.0688	0.350
augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.73-mRNA-1	0.257150761297037	51.0006	0.252
augustus_masked-NODE_32_length_120685_cov_13.1933_ID_63-processed-gene-0.18-mRNA-1	0.265392738831379	54.3675	0.338
augustus_masked-NODE_23_length_174894_cov_13.9307_ID_45-processed-gene-0.216-mRNA-1	0.285410732676614	49.0950	0.314
augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-0.34-mRNA-1	0.270520973389663	56.2473	0.408
augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.65-mRNA-1	0.287593098266547	54.9922	0.404
augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.74-mRNA-1	0.267759174877085	52.2387	0.372
augustus_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.156-mRNA-1	0.251795505022671	55.7997	0.401
maker-NODE_3_length_385180_cov_19.4344_ID_5-snap-gene-1.0-mRNA-1	0.267900891002751	57.0214	0.406
augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-0.76-mRNA-1	0.299130359734056	50.3679	0.395
snap_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.36-mRNA-1	0.280015326158189	52.7981	0.353
snap_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.29-mRNA-1	0.256061322205598	55.8523	0.402
augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.106-mRNA-1	0.262712152428993	54.7685	0.353
