Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_106_length_358_cov_444.127_ID_211-processed-gene-0.0-mRNA-1              342        8        1        7   51.6621   61.3614
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.94-mRNA-1            333       12        1        8   56.0617   58.1576
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.96-mRNA-1           1194       12        1        8   54.9452   60.5364
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.97-mRNA-1           3441       12        1        8   55.8613   59.2959
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.82-mRNA-1           1053       12        1        8   54.8009   59.1940
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.99-mRNA-1           1626       12        1        8   53.7779   56.6828
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.100-mRNA-1          1224       12        1        8   55.0254   59.2637
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.83-mRNA-1            717       11        1        8   54.8521   58.2570
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.84-mRNA-1            762       12        1        8   51.2191   52.9255
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.102-mRNA-1          1803       12        1        8   48.6233   57.9563
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.85-mRNA-1            480       12        1        8   54.8868   57.5282
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.103-mRNA-1          1011       12        1        8   56.0950   60.2772
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.104-mRNA-1          2814       12        1        8   53.7231   58.2342
augustus_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.58-mRNA-1       7098       12        1        8   56.0136   57.7270
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.86-mRNA-1           4734       12        1        8   54.8471   57.8738
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.107-mRNA-1           837       11        1        8   55.9151   60.6025
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.87-mRNA-1            648       12        1        8   55.3342   59.2986
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.108-mRNA-1          2865       12        1        8   57.2312   59.9898
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.109-mRNA-1           978       12        1        8   54.1989   61.3781
genemark-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.24-mRNA-1               669       12        1        8   53.9938   61.9690
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.111-mRNA-1           915       12        1        8   54.3567   60.7709
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.88-mRNA-1            669       12        1        8   52.6081   55.1470
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.112-mRNA-1          3186       12        1        8   45.3844   59.1584
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.89-mRNA-1            504       12        1        8   56.3481   61.4831
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.90-mRNA-1           2592       12        1        8   53.1949   57.0157
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.113-mRNA-1          1512       12        1        8   54.4664   58.0325
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.114-mRNA-1          1701       12        1        8   54.4565   59.4463
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.115-mRNA-1          1368       12        1        8   56.7042   59.0854
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.91-mRNA-1            999       12        1        8   52.7197   57.7699
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.116-mRNA-1           801       12        1        8   52.8655   57.9915
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.117-mRNA-1          3594       12        1        8   54.5286   59.0176
augustus_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.68-mRNA-1       2565       12        1        8   56.9891   59.5027
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.119-mRNA-1          1647       12        1        8   53.1410   57.2441
snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-0.120-mRNA-1          1227       12        1        8   55.3864   60.7049
