Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                           SeqLen       N2*      N3*      N4*       Nc     ExpNc
-----------------------------------------------------------------------------------------------------------------------
augustus_masked-flattened_line_0-processed-gene-0.49-mRNA-1         1449       12        1        8   55.8827   60.4324
augustus_masked-flattened_line_0-processed-gene-0.32-mRNA-1          966       12        1        8   53.4665   58.1166
augustus_masked-flattened_line_0-processed-gene-0.50-mRNA-1         1332       12        1        8   52.8875   61.1895
augustus_masked-flattened_line_0-processed-gene-0.33-mRNA-1          963       12        1        8   53.1913   62.3964
augustus_masked-flattened_line_0-processed-gene-0.35-mRNA-1          471       12        1        7   53.6063   58.9622
augustus_masked-flattened_line_0-processed-gene-0.51-mRNA-1         1875       12        1        8   48.5378   60.2673
augustus_masked-flattened_line_0-processed-gene-0.53-mRNA-1         3501       12        1        8   54.5710   62.1062
augustus_masked-flattened_line_0-processed-gene-0.38-mRNA-1         4092       12        1        8   49.6709   61.9495
genemark-flattened_line_0-processed-gene-0.22-mRNA-1                 435       10        1        8   51.0055   54.4462
snap_masked-flattened_line_0-processed-gene-0.74-mRNA-1             6354       12        1        8   55.1943   61.7107
augustus_masked-flattened_line_0-processed-gene-0.55-mRNA-1         3318       12        1        8   52.1169   58.1050
augustus_masked-flattened_line_0-processed-gene-0.56-mRNA-1         1092       12        1        7   40.2082   58.9058
augustus_masked-flattened_line_0-processed-gene-0.57-mRNA-1         2958       12        1        8   47.2101   51.9121
augustus_masked-flattened_line_0-processed-gene-0.58-mRNA-1         2070       12        1        8   52.1514   60.9095
augustus_masked-flattened_line_0-processed-gene-0.40-mRNA-1         1260       12        1        8   50.3379   58.4506
snap_masked-flattened_line_0-processed-gene-0.76-mRNA-1              618       12        1        7   47.9920   52.9200
augustus_masked-flattened_line_0-processed-gene-0.42-mRNA-1         1968       12        1        8   45.4039   59.1753
snap_masked-flattened_line_0-processed-gene-0.78-mRNA-1             2361       12        1        8   55.4595   61.8405
genemark-flattened_line_0-processed-gene-0.24-mRNA-1                1356       12        1        7   52.9026   60.9705
snap_masked-flattened_line_0-processed-gene-0.79-mRNA-1              702       11        1        8   50.7437   59.3831
augustus_masked-flattened_line_0-processed-gene-0.45-mRNA-1         4554       12        1        8   55.0983   62.9086
snap_masked-flattened_line_0-processed-gene-0.81-mRNA-1             3183       12        1        8   55.4263   61.7736
augustus_masked-flattened_line_0-processed-gene-0.60-mRNA-1         2904       12        1        7   50.8147   59.2382
augustus_masked-flattened_line_0-processed-gene-0.61-mRNA-1          963       12        1        7   45.5369   57.3744
augustus_masked-flattened_line_0-processed-gene-0.62-mRNA-1         1320       12        1        8   52.5756   61.5903
augustus_masked-flattened_line_0-processed-gene-0.63-mRNA-1         1698       12        1        7   44.8570   58.7580
augustus_masked-flattened_line_0-processed-gene-0.47-mRNA-1         2328       12        1        8   47.4461   61.9426
augustus_masked-flattened_line_0-processed-gene-0.48-mRNA-1         1257       12        1        8   40.7712   59.7072
augustus_masked-flattened_line_0-processed-gene-0.64-mRNA-1          510       11        1        7   44.5798   56.0393
augustus_masked-flattened_line_0-processed-gene-0.65-mRNA-1         2814       12        1        8   46.6318   60.0257
augustus_masked-flattened_line_0-processed-gene-1.42-mRNA-1         1917       12        1        8   54.2456   62.7665
snap_masked-flattened_line_0-processed-gene-1.5-mRNA-1              1281       12        1        8   53.0595   61.3108
augustus_masked-flattened_line_0-processed-gene-1.47-mRNA-1          462       11        1        8   46.3638   39.7615
snap_masked-flattened_line_0-processed-gene-1.2-mRNA-1              2274       12        1        8   55.6812   61.1778
augustus_masked-flattened_line_0-processed-gene-1.44-mRNA-1          648       12        1        7   47.0042   53.3276
augustus_masked-flattened_line_0-processed-gene-1.45-mRNA-1         1935       11        1        8   54.6786   60.3235
augustus_masked-flattened_line_0-processed-gene-1.48-mRNA-1          633       12        1        8   53.5279   60.1221
snap_masked-flattened_line_0-processed-gene-1.26-mRNA-1             3279       12        1        8   54.9819   60.5464
augustus_masked-flattened_line_0-processed-gene-1.66-mRNA-1         2466       12        1        8   52.5140   60.3585
snap_masked-flattened_line_0-processed-gene-1.28-mRNA-1              897       12        1        7   53.5958   61.9518
augustus_masked-flattened_line_0-processed-gene-1.49-mRNA-1         3885       12        1        8   53.9863   60.9843
augustus_masked-flattened_line_0-processed-gene-1.50-mRNA-1          924       12        1        8   45.8897   62.4163
augustus_masked-flattened_line_0-processed-gene-1.51-mRNA-1          417       11        1        7   48.4442   59.0254
augustus_masked-flattened_line_0-processed-gene-1.52-mRNA-1         3723       12        1        8   51.6868   56.2523
genemark-flattened_line_0-processed-gene-1.103-mRNA-1               1479       12        1        8   52.5280   56.5937
genemark-flattened_line_0-processed-gene-1.104-mRNA-1               1734       12        1        7   51.7567   59.5933
augustus_masked-flattened_line_0-processed-gene-1.53-mRNA-1          696       12        1        7   52.0089   58.5635
augustus_masked-flattened_line_0-processed-gene-1.69-mRNA-1         1320       12        1        8   53.9053   57.3526
augustus_masked-flattened_line_0-processed-gene-1.54-mRNA-1         2130       12        1        8   53.4308   59.4267
augustus_masked-flattened_line_0-processed-gene-1.55-mRNA-1         1521       12        1        7   43.3630   56.3368
genemark-flattened_line_0-processed-gene-1.91-mRNA-1                3090       12        1        8   52.9400   58.5402
maker-flattened_line_0-snap-gene-1.0-mRNA-1                         1401       12        1        8   53.1999   60.2668
augustus_masked-flattened_line_0-processed-gene-1.70-mRNA-1          432       12        1        8   54.7766   56.5627
augustus_masked-flattened_line_0-processed-gene-1.57-mRNA-1         5649       12        1        8   50.7342   56.0392
augustus_masked-flattened_line_0-processed-gene-1.71-mRNA-1          648       12        1        8   51.8971   56.3974
augustus_masked-flattened_line_0-processed-gene-1.72-mRNA-1          708       11        1        7   53.8486   60.5861
augustus_masked-flattened_line_0-processed-gene-1.73-mRNA-1          720       11        1        7   53.0439   62.1056
augustus_masked-flattened_line_0-processed-gene-1.74-mRNA-1          945       12        1        7   51.9438   62.1153
augustus_masked-flattened_line_0-processed-gene-1.75-mRNA-1         1302       12        1        7   40.6359   59.6060
augustus_masked-flattened_line_0-processed-gene-1.58-mRNA-1          732       11        1        8   54.7045   60.2804
augustus_masked-flattened_line_0-processed-gene-1.76-mRNA-1         1929       12        1        8   53.9465   61.0221
augustus_masked-flattened_line_0-processed-gene-1.59-mRNA-1         2709       12        1        7   46.3834   61.0112
augustus_masked-flattened_line_0-processed-gene-1.60-mRNA-1         2223       12        1        8   52.1911   59.8181
augustus_masked-flattened_line_0-processed-gene-1.77-mRNA-1          744       11        1        8   52.6482   60.9566
augustus_masked-flattened_line_0-processed-gene-1.61-mRNA-1         1290       12        1        7   41.7744   59.1315
augustus_masked-flattened_line_0-processed-gene-1.62-mRNA-1         2439       12        1        8   55.7633   61.7863
augustus_masked-flattened_line_0-processed-gene-1.63-mRNA-1         1389       12        1        7   49.3022   58.3401
snap_masked-flattened_line_0-processed-gene-1.40-mRNA-1              924       12        1        7   50.7282   53.5053
augustus_masked-flattened_line_0-processed-gene-1.64-mRNA-1         4341       12        1        8   50.6287   54.2618
augustus_masked-flattened_line_0-processed-gene-1.78-mRNA-1          633       12        1        7   51.7812   54.6029
augustus_masked-flattened_line_0-processed-gene-2.0-mRNA-1          1638       12        1        8   51.3747   55.9438
genemark-flattened_line_0-processed-gene-2.119-mRNA-1                660       11        1        8   52.7290   58.6434
snap_masked-flattened_line_0-processed-gene-2.63-mRNA-1             1731       12        1        8   50.4371   55.9552
augustus_masked-flattened_line_0-processed-gene-2.1-mRNA-1          1998       12        1        8   51.6581   56.9213
augustus_masked-flattened_line_0-processed-gene-2.2-mRNA-1          6621       12        1        8   50.5076   54.8864
augustus_masked-flattened_line_0-processed-gene-2.4-mRNA-1           609       12        1        7   54.3313   60.7650
augustus_masked-flattened_line_0-processed-gene-2.5-mRNA-1          1110       12        1        7   41.1209   49.1149
genemark-flattened_line_0-processed-gene-2.154-mRNA-1               1374       12        1        8   51.7795   58.5588
genemark-flattened_line_0-processed-gene-2.155-mRNA-1               1032       11        1        8   51.7299   62.8304
augustus_masked-flattened_line_0-processed-gene-2.37-mRNA-1         1746       12        1        8   54.5919   60.3564
augustus_masked-flattened_line_0-processed-gene-2.6-mRNA-1          1704       12        1        8   55.3867   61.3981
augustus_masked-flattened_line_0-processed-gene-2.7-mRNA-1         11238       12        1        8   52.3622   57.4780
