Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                         SeqLen       N2*      N3*      N4*       Nc     ExpNc
---------------------------------------------------------------------------------------------------------------------
augustus_masked-scf7180000048627-processed-gene-0.3-mRNA-1        1806       12        1        8   49.3644   53.7501
augustus_masked-scf7180000048627-processed-gene-0.4-mRNA-1        1221       12        1        8   50.3033   50.2523
augustus_masked-scf7180000048629-processed-gene-0.11-mRNA-1        366       11        1        7   45.4028   41.8454
augustus_masked-scf7180000048629-processed-gene-0.13-mRNA-1       1326       12        1        8   45.0082   44.7319
augustus_masked-scf7180000048629-processed-gene-0.14-mRNA-1       1017       12        1        8   46.4164   53.9595
augustus_masked-scf7180000048629-processed-gene-0.15-mRNA-1        711       12        1        8   51.2388   52.2110
snap_masked-scf7180000048629-processed-gene-0.1-mRNA-1             933       12        1        8   47.6071   49.0566
snap_masked-scf7180000048632-processed-gene-0.4-mRNA-1            1341       12        1        8   52.1281   52.7371
augustus_masked-scf7180000048632-processed-gene-0.1-mRNA-1        2523       12        1        8   44.1473   54.2006
snap_masked-scf7180000048637-processed-gene-0.1-mRNA-1             405       12        1        8   52.4129   53.0737
augustus_masked-scf7180000048640-processed-gene-0.7-mRNA-1        2658       12        1        8   49.3960   50.5832
genemark-scf7180000048655-processed-gene-0.1-mRNA-1                900       12        1        8   46.7297   47.8022
augustus_masked-scf7180000048656-processed-gene-0.2-mRNA-1         315        9        1        6   52.4240   50.4120
snap_masked-scf7180000048657-processed-gene-0.0-mRNA-1             570       12        1        7   43.8852   41.6855
snap_masked-scf7180000048658-processed-gene-0.0-mRNA-1             450       11        1        5   45.1389   39.2905
augustus_masked-scf7180000048661-processed-gene-0.4-mRNA-1        2244       12        1        8   43.3391   51.1575
augustus_masked-scf7180000048661-processed-gene-0.7-mRNA-1         636       12        1        8   50.7470   50.9479
augustus_masked-scf7180000048661-processed-gene-0.5-mRNA-1        1002       12        1        8   46.0414   47.5731
augustus_masked-scf7180000048661-processed-gene-0.6-mRNA-1         945       12        1        8   50.1482   51.5486
snap_masked-scf7180000048663-processed-gene-0.0-mRNA-1            1083       12        1        8   43.3588   53.1954
snap_masked-scf7180000048673-processed-gene-0.2-mRNA-1            1860       12        1        8   50.0275   50.4543
snap_masked-scf7180000048681-processed-gene-0.2-mRNA-1             378       11        1        7   53.6790   52.2796
