gene_id	tAI	nc	gc3
genemark-sce_s43-processed-gene-3.129-mRNA-1	0.212312837973681	57.8235	0.520
genemark-sce_s744-processed-gene-0.7-mRNA-1	0.25708583633423	54.3895	0.569
genemark-sce_s598-processed-gene-0.19-mRNA-1	0.331478058685819	53.5946	0.514
genemark-sce_s567-processed-gene-0.20-mRNA-1	0.283877696234199	52.8919	0.653
snap_masked-sce_s436-processed-gene-0.35-mRNA-1	0.286991128242587	53.7501	0.583
genemark-sce_s607-processed-gene-0.20-mRNA-1	0.296427710907027	52.1832	0.479
genemark-sce_C46218-processed-gene-0.10-mRNA-1	0.318291894487075	48.6018	0.694
genemark-sce_s47-processed-gene-0.140-mRNA-1	0.312718898577222	53.5475	0.560
snap_masked-sce_s274-processed-gene-0.12-mRNA-1	0.263594230234277	56.8448	0.438
genemark-sce_s252-processed-gene-0.82-mRNA-1	0.246519536613591	55.5117	0.379
genemark-sce_s492-processed-gene-0.119-mRNA-1	0.233543522742863	57.6196	0.547
snap_masked-sce_s207-processed-gene-1.48-mRNA-1	0.237131629675239	57.4536	0.449
augustus_masked-sce_C45326-processed-gene-0.7-mRNA-1	0.331904261814403	48.9574	0.641
augustus_masked-sce_s381-processed-gene-0.0-mRNA-1	0.21594741905378	59.1235	0.524
genemark-sce_s45-processed-gene-5.255-mRNA-1	0.226575187240212	55.9713	0.499
augustus_masked-sce_s472-processed-gene-0.8-mRNA-1	0.228457104391615	54.5869	0.550
augustus_masked-sce_s56-processed-gene-0.45-mRNA-1	0.262593129781753	53.1023	0.510
genemark-sce_s128-processed-gene-0.72-mRNA-1	0.294162908091498	52.6815	0.636
augustus_masked-sce_s502-processed-gene-0.0-mRNA-1	0.201675757912058	57.7649	0.546
snap_masked-sce_s128-processed-gene-0.159-mRNA-1	0.24515557158928	54.6596	0.583
snap_masked-sce_s207-processed-gene-1.18-mRNA-1	0.22980845555096	55.8034	0.583
snap_masked-sce_s411-processed-gene-0.44-mRNA-1	0.22014346122559	55.0837	0.450
genemark-sce_s56-processed-gene-0.3-mRNA-1	0.210716906479666	54.2030	0.547
snap_masked-sce_s706-processed-gene-0.8-mRNA-1	0.235503694593275	54.7914	0.606
snap_masked-sce_s286-processed-gene-0.13-mRNA-1	0.235726353513495	55.9374	0.558
genemark-sce_s385-processed-gene-0.4-mRNA-1	0.250691605700006	51.9738	0.668
snap_masked-sce_s144-processed-gene-0.20-mRNA-1	0.258484718312761	51.5304	0.692
genemark-sce_s463-processed-gene-0.75-mRNA-1	0.27363632435356	51.8660	0.656
genemark-sce_s374-processed-gene-0.84-mRNA-1	0.257086016848024	54.9262	0.511
snap_masked-sce_s159-processed-gene-0.17-mRNA-1	0.274370899191569	51.4702	0.525
genemark-sce_s45-processed-gene-1.129-mRNA-1	0.230253297603863	59.0126	0.491
genemark-sce_s97-processed-gene-0.0-mRNA-1	0.209867533880222	56.3588	0.550
genemark-sce_s47-processed-gene-0.154-mRNA-1	0.219789704236083	58.2646	0.510
augustus_masked-sce_s139-processed-gene-0.31-mRNA-1	0.340300185076085	49.4647	0.696
augustus_masked-sce_s3-processed-gene-1.72-mRNA-1	0.236397504829248	55.7141	0.548
augustus_masked-sce_s139-processed-gene-0.33-mRNA-1	0.235521907369055	51.8184	0.381
genemark-sce_s118-processed-gene-1.41-mRNA-1	0.236133767784146	56.3602	0.428
snap_masked-sce_s541-processed-gene-0.16-mRNA-1	0.223765112992961	53.1888	0.503
genemark-sce_s262-processed-gene-0.37-mRNA-1	0.361478668657321	44.9926	0.726
genemark-sce_s406-processed-gene-0.30-mRNA-1	0.288836071075733	52.4378	0.379
genemark-sce_s257-processed-gene-0.54-mRNA-1	0.247918411063211	54.9609	0.596
genemark-sce_s45-processed-gene-5.195-mRNA-1	0.29050156681081	51.9882	0.665
genemark-sce_s45-processed-gene-2.13-mRNA-1	0.272982043301661	55.7424	0.551
genemark-sce_s438-processed-gene-0.13-mRNA-1	0.24772338608821	50.0222	0.684
genemark-sce_s169-processed-gene-0.30-mRNA-1	0.274358073536922	51.3911	0.615
genemark-sce_s62-processed-gene-0.13-mRNA-1	0.269102111619801	52.6449	0.564
genemark-sce_s122-processed-gene-0.58-mRNA-1	0.251968101222947	55.9695	0.567
genemark-sce_s47-processed-gene-0.144-mRNA-1	0.20200364691439	57.6167	0.550
genemark-sce_s207-processed-gene-1.122-mRNA-1	0.315591856030711	50.1387	0.568
genemark-sce_s480-processed-gene-0.7-mRNA-1	0.287909185152732	53.2541	0.645
genemark-sce_s736-processed-gene-0.40-mRNA-1	0.265288852894819	54.0184	0.624
genemark-sce_s92-processed-gene-0.15-mRNA-1	0.303451466459363	50.4822	0.640
genemark-sce_s57-processed-gene-0.12-mRNA-1	0.243983621576872	54.9309	0.598
genemark-sce_s385-processed-gene-0.16-mRNA-1	0.406253974295211	44.7646	0.605
