Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                    SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------
augustus_masked-CP014242.1-processed-gene-0.3-mRNA-1          966       12        1        8   58.4258   62.8858
snap_masked-CP014242.1-processed-gene-0.113-mRNA-1            669       12        1        8   57.6752   62.0372
augustus_masked-CP014242.1-processed-gene-0.25-mRNA-1         912       12        1        8   52.5182   59.7203
augustus_masked-CP014242.1-processed-gene-0.6-mRNA-1         1020       12        1        8   52.9930   57.7481
augustus_masked-CP014242.1-processed-gene-0.26-mRNA-1         783       12        1        8   53.5655   61.1794
augustus_masked-CP014242.1-processed-gene-0.7-mRNA-1          801       12        1        8   54.3656   60.1848
augustus_masked-CP014242.1-processed-gene-0.8-mRNA-1         1080       11        1        8   48.4509   59.3509
augustus_masked-CP014242.1-processed-gene-0.28-mRNA-1        2304       12        1        8   55.5556   57.0318
augustus_masked-CP014242.1-processed-gene-0.29-mRNA-1        1836       12        1        8   57.9376   61.1453
augustus_masked-CP014242.1-processed-gene-0.9-mRNA-1         1575       12        1        8   55.2612   58.4924
augustus_masked-CP014242.1-processed-gene-0.30-mRNA-1        2865       12        1        8   54.5487   57.8704
snap_masked-CP014242.1-processed-gene-0.120-mRNA-1           2355       12        1        8   55.1542   60.0596
augustus_masked-CP014242.1-processed-gene-0.32-mRNA-1         816       12        1        8   57.9134   62.3504
augustus_masked-CP014242.1-processed-gene-0.10-mRNA-1         951       12        1        8   54.6849   59.8659
genemark-CP014242.1-processed-gene-0.56-mRNA-1               1698       12        1        8   57.3220   59.9969
augustus_masked-CP014242.1-processed-gene-0.33-mRNA-1        1941       12        1        8   53.9461   58.7573
augustus_masked-CP014242.1-processed-gene-0.12-mRNA-1         873       12        1        8   56.2539   58.5565
augustus_masked-CP014242.1-processed-gene-0.34-mRNA-1         648       11        1        8   54.3630   57.8411
augustus_masked-CP014242.1-processed-gene-0.13-mRNA-1        1284       12        1        8   51.8242   59.7626
augustus_masked-CP014242.1-processed-gene-0.35-mRNA-1         651       12        1        8   50.5033   52.1576
augustus_masked-CP014242.1-processed-gene-0.14-mRNA-1         489       12        1        8   52.6451   55.9705
augustus_masked-CP014242.1-processed-gene-0.15-mRNA-1        3363       12        1        8   55.0744   58.9721
augustus_masked-CP014242.1-processed-gene-0.36-mRNA-1        1830       12        1        8   50.8395   56.9456
augustus_masked-CP014242.1-processed-gene-0.37-mRNA-1         927       12        1        8   57.9260   62.0456
augustus_masked-CP014242.1-processed-gene-0.16-mRNA-1        1986       12        1        8   58.6618   61.1458
augustus_masked-CP014242.1-processed-gene-0.38-mRNA-1         981       12        1        8   54.6897   60.9749
augustus_masked-CP014242.1-processed-gene-0.39-mRNA-1        3780       12        1        8   58.1916   60.9164
augustus_masked-CP014242.1-processed-gene-0.17-mRNA-1         525       12        1        8   55.9276   59.9536
augustus_masked-CP014242.1-processed-gene-0.40-mRNA-1        1881       12        1        8   55.3497   57.1565
augustus_masked-CP014242.1-processed-gene-0.41-mRNA-1        1686       12        1        8   56.2017   58.4795
augustus_masked-CP014242.1-processed-gene-0.18-mRNA-1        1371       12        1        8   58.1526   61.9911
augustus_masked-CP014242.1-processed-gene-0.19-mRNA-1        2037       12        1        8   59.2922   61.7133
augustus_masked-CP014242.1-processed-gene-0.20-mRNA-1        1800       12        1        8   58.8556   60.5579
augustus_masked-CP014242.1-processed-gene-0.43-mRNA-1         327       12        1        8   51.9548   55.0135
augustus_masked-CP014242.1-processed-gene-0.21-mRNA-1         303       12        1        8   53.5889   55.9749
augustus_masked-CP014242.1-processed-gene-0.22-mRNA-1         885       12        1        8   54.6081   60.5804
augustus_masked-CP014242.1-processed-gene-0.23-mRNA-1        4005       12        1        8   51.1167   58.2487
augustus_masked-CP014242.1-processed-gene-0.45-mRNA-1         897       12        1        8   51.8389   58.4047
augustus_masked-CP014242.1-processed-gene-1.58-mRNA-1        1665       12        1        8   56.2531   62.0993
augustus_masked-CP014242.1-processed-gene-1.59-mRNA-1        1446       12        1        8   54.3580   58.0019
augustus_masked-CP014242.1-processed-gene-1.60-mRNA-1         294       11        1        7   44.0603   61.0009
augustus_masked-CP014242.1-processed-gene-1.56-mRNA-1         837       12        1        8   55.4114   57.4514
augustus_masked-CP014242.1-processed-gene-1.61-mRNA-1        4245       12        1        8   54.9293   56.3879
augustus_masked-CP014242.1-processed-gene-1.57-mRNA-1        5160       12        1        8   53.2167   59.3717
snap_masked-CP014242.1-processed-gene-1.7-mRNA-1             1170       12        1        8   54.4195   61.5580
augustus_masked-CP014242.1-processed-gene-1.83-mRNA-1        1002       12        1        8   54.6296   60.1170
augustus_masked-CP014242.1-processed-gene-1.63-mRNA-1        1689       12        1        8   58.4293   61.9149
augustus_masked-CP014242.1-processed-gene-1.84-mRNA-1         792       12        1        8   53.5345   56.7962
augustus_masked-CP014242.1-processed-gene-1.65-mRNA-1         402       11        1        8   53.4787   58.1617
augustus_masked-CP014242.1-processed-gene-1.85-mRNA-1         870       11        1        8   56.5717   61.4507
maker-CP014242.1-augustus-gene-1.107-mRNA-1                  1275       12        1        8   55.8590   61.5534
augustus_masked-CP014242.1-processed-gene-1.66-mRNA-1         684       12        1        8   56.3381   61.8276
genemark-CP014242.1-processed-gene-1.140-mRNA-1               684       12        1        8   56.0879   62.4601
augustus_masked-CP014242.1-processed-gene-1.67-mRNA-1        1968       12        1        8   57.7923   59.7598
augustus_masked-CP014242.1-processed-gene-1.68-mRNA-1         759       12        1        8   52.5734   55.4938
augustus_masked-CP014242.1-processed-gene-1.89-mRNA-1        1407       12        1        8   59.5057   61.7800
maker-CP014242.1-snap-gene-1.54-mRNA-1                       1368       12        1        8   59.0508   61.5494
snap_masked-CP014242.1-processed-gene-1.16-mRNA-1             852       12        1        8   53.5365   55.4828
augustus_masked-CP014242.1-processed-gene-1.90-mRNA-1        1323       12        1        8   52.2112   56.1510
snap_masked-CP014242.1-processed-gene-1.37-mRNA-1            3867       12        1        8   53.7131   54.6120
snap_masked-CP014242.1-processed-gene-1.17-mRNA-1            3198       12        1        8   55.7676   58.3393
augustus_masked-CP014242.1-processed-gene-1.92-mRNA-1         753       12        1        8   54.7464   59.0255
augustus_masked-CP014242.1-processed-gene-1.93-mRNA-1        1554       11        1        8   45.5210   59.7655
snap_masked-CP014242.1-processed-gene-1.18-mRNA-1             894       12        1        8   55.6462   61.1649
augustus_masked-CP014242.1-processed-gene-1.73-mRNA-1        1926       12        1        8   56.7292   60.7551
augustus_masked-CP014242.1-processed-gene-1.94-mRNA-1        1470       12        1        8   51.2088   58.6571
augustus_masked-CP014242.1-processed-gene-1.95-mRNA-1        1116       12        1        8   54.9837   60.9659
augustus_masked-CP014242.1-processed-gene-1.96-mRNA-1        2112       12        1        8   58.0311   62.7673
