gene_id	tAI	nc	gc3
augustus_masked-flattened_line_60-processed-gene-0.109-mRNA-1	0.341564515360319	52.1226	0.287
augustus_masked-flattened_line_38-processed-gene-0.224-mRNA-1	0.419163855943948	52.5299	0.343
augustus_masked-flattened_line_2-processed-gene-0.68-mRNA-1	0.459905002865876	47.1851	0.380
augustus_masked-flattened_line_208-processed-gene-0.66-mRNA-1	0.37117856543404	57.2040	0.367
augustus_masked-flattened_line_80-processed-gene-0.84-mRNA-1	0.355155367862354	51.9991	0.346
augustus_masked-flattened_line_152-processed-gene-0.2-mRNA-1	0.477412504089127	44.1059	0.355
augustus_masked-flattened_line_58-processed-gene-0.129-mRNA-1	0.370094068149725	50.5560	0.274
augustus_masked-flattened_line_72-processed-gene-0.107-mRNA-1	0.420859257127601	52.1537	0.436
augustus_masked-flattened_line_18-processed-gene-1.38-mRNA-1	0.358484804013239	51.9144	0.455
augustus_masked-flattened_line_36-processed-gene-0.130-mRNA-1	0.397802936121241	50.8911	0.319
augustus_masked-flattened_line_112-processed-gene-0.28-mRNA-1	0.43780984961859	49.1997	0.443
augustus_masked-flattened_line_70-processed-gene-0.110-mRNA-1	0.451337508228173	46.4636	0.313
augustus_masked-flattened_line_48-processed-gene-0.15-mRNA-1	0.374741583933647	49.5604	0.261
augustus_masked-flattened_line_190-processed-gene-0.19-mRNA-1	0.355398536706992	52.4613	0.415
augustus_masked-flattened_line_116-processed-gene-0.78-mRNA-1	0.377957641598949	52.3031	0.307
augustus_masked-flattened_line_106-processed-gene-0.6-mRNA-1	0.3363990039858	52.2265	0.307
augustus_masked-flattened_line_156-processed-gene-0.67-mRNA-1	0.465655449085139	43.4193	0.473
augustus_masked-flattened_line_24-processed-gene-1.45-mRNA-1	0.41613359165743	49.5197	0.411
augustus_masked-flattened_line_219-processed-gene-0.18-mRNA-1	0.370284300005006	55.3809	0.378
augustus_masked-flattened_line_68-processed-gene-0.39-mRNA-1	0.389484082854373	54.6503	0.344
augustus_masked-flattened_line_64-processed-gene-0.16-mRNA-1	0.457036185368267	45.2699	0.314
