Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_100_length_18174_cov_67.6329_ID_199-processed-gene-0.4-mRNA-1        984       12        1        8   54.3973   58.3520
snap_masked-NODE_100_length_18174_cov_67.6329_ID_199-processed-gene-0.1-mRNA-1            663       12        1        8   52.8917   57.0811
augustus_masked-NODE_101_length_17258_cov_49.9702_ID_201-processed-gene-0.1-mRNA-1       1593       12        1        8   53.2763   61.7108
snap_masked-NODE_101_length_17258_cov_49.9702_ID_201-processed-gene-0.7-mRNA-1           1065       12        1        8   55.6626   57.4078
augustus_masked-NODE_101_length_17258_cov_49.9702_ID_201-processed-gene-0.3-mRNA-1       1113       12        1        8   57.5530   62.3453
augustus_masked-NODE_101_length_17258_cov_49.9702_ID_201-processed-gene-0.4-mRNA-1       1551       12        1        8   53.5571   56.7498
augustus_masked-NODE_102_length_16773_cov_55.1352_ID_203-processed-gene-0.1-mRNA-1       2454       12        1        8   57.4982   61.8268
augustus_masked-NODE_102_length_16773_cov_55.1352_ID_203-processed-gene-0.3-mRNA-1       1341       12        1        8   58.2778   61.8182
augustus_masked-NODE_103_length_14088_cov_53.5892_ID_205-processed-gene-0.0-mRNA-1       1902       12        1        8   58.9373   62.0575
snap_masked-NODE_103_length_14088_cov_53.5892_ID_205-processed-gene-0.5-mRNA-1           1065       12        1        8   54.9851   57.4348
augustus_masked-NODE_104_length_13428_cov_61.7683_ID_207-processed-gene-0.5-mRNA-1       1671       12        1        8   56.4542   58.6713
augustus_masked-NODE_104_length_13428_cov_61.7683_ID_207-processed-gene-0.7-mRNA-1       2601       12        1        8   58.6875   60.4009
augustus_masked-NODE_104_length_13428_cov_61.7683_ID_207-processed-gene-0.6-mRNA-1        660       11        1        8   55.9074   59.8192
snap_masked-NODE_105_length_13292_cov_50.7182_ID_209-processed-gene-0.8-mRNA-1            891       12        1        8   54.9114   61.6499
snap_masked-NODE_105_length_13292_cov_50.7182_ID_209-processed-gene-0.9-mRNA-1           1056       12        1        8   54.0339   59.1501
genemark-NODE_105_length_13292_cov_50.7182_ID_209-processed-gene-0.3-mRNA-1              2040       12        1        8   50.8718   62.1331
augustus_masked-NODE_105_length_13292_cov_50.7182_ID_209-processed-gene-0.7-mRNA-1       1047       12        1        8   57.3029   59.7437
augustus_masked-NODE_106_length_12985_cov_56.0913_ID_211-processed-gene-0.7-mRNA-1       1593       12        1        8   56.5521   60.0680
augustus_masked-NODE_108_length_12893_cov_56.0894_ID_215-processed-gene-0.1-mRNA-1        393       10        1        7   41.6154   56.6379
augustus_masked-NODE_108_length_12893_cov_56.0894_ID_215-processed-gene-0.0-mRNA-1        384       11        1        7   47.3973   60.7977
augustus_masked-NODE_108_length_12893_cov_56.0894_ID_215-processed-gene-0.2-mRNA-1        438       12        1        8   50.2401   59.8762
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.0-mRNA-1               2424       12        1        8   58.7845   60.4837
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.19-mRNA-1              5712       12        1        8   56.9871   58.7359
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.20-mRNA-1              2166       12        1        8   52.8491   57.5382
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.87-mRNA-1        921       11        1        8   55.4870   59.6992
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.70-mRNA-1       1824       12        1        8   56.4243   59.2045
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.88-mRNA-1        639       12        1        8   52.9675   58.5847
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.89-mRNA-1        441       12        1        8   57.7380   62.3990
snap_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.40-mRNA-1           1458       12        1        8   56.1828   61.8296
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.72-mRNA-1        588       12        1        8   54.0779   57.0663
snap_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.60-mRNA-1            915       12        1        8   52.5134   54.5898
snap_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.41-mRNA-1           1095       12        1        8   56.7675   60.3008
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.74-mRNA-1       1422       12        1        8   55.2243   61.0452
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.91-mRNA-1       1719       12        1        8   37.7239   56.0600
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.75-mRNA-1       1659       12        1        8   55.6484   62.4034
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.76-mRNA-1       1530       12        1        8   51.7181   59.6551
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.92-mRNA-1        768       11        1        8   56.2637   61.7802
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.8-mRNA-1               2283       12        1        8   56.7762   60.8973
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.93-mRNA-1       1128       12        1        8   52.4460   57.8414
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.9-mRNA-1                918       12        1        8   49.6675   50.3333
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.10-mRNA-1              1431       12        1        8   52.2064   55.4584
maker-NODE_10_length_328113_cov_49.6167_ID_19-augustus-gene-0.35-mRNA-1                  4275       12        1        8   54.6000   57.7845
snap_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.48-mRNA-1            567       12        1        8   54.4336   59.8600
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.79-mRNA-1       1428       12        1        8   50.8211   56.2364
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.96-mRNA-1        834       12        0        8   44.2909   39.8866
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.80-mRNA-1       1257       11        1        8   44.6615   45.8051
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.97-mRNA-1        432       11        1        8   40.6785   61.2808
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.81-mRNA-1        585       12        1        8   46.8220   42.8200
augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.82-mRNA-1       1011       12        1        8   56.5310   61.7779
maker-NODE_10_length_328113_cov_49.6167_ID_19-snap-gene-0.37-mRNA-1                      2049       12        1        8   52.9228   60.4391
genemark-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.15-mRNA-1              3441       12        1        8   58.4518   60.4100
