gene_id	tAI	nc	gc3
snap_masked-flattened_line_7-processed-gene-4.42-mRNA-1	0.411954464718332	52.9272	0.405
genemark-flattened_line_5-processed-gene-5.127-mRNA-1	0.357643310792303	52.0060	0.280
snap_masked-flattened_line_5-processed-gene-3.67-mRNA-1	0.376571414157785	53.8921	0.344
genemark-flattened_line_5-processed-gene-1.107-mRNA-1	0.426802882059107	46.9371	0.330
genemark-flattened_line_0-processed-gene-1.40-mRNA-1	0.407616506222301	52.8517	0.334
genemark-flattened_line_25-processed-gene-0.33-mRNA-1	0.398004174068216	53.6775	0.346
genemark-flattened_line_11-processed-gene-1.122-mRNA-1	0.486092850439598	41.5273	0.286
genemark-flattened_line_13-processed-gene-3.12-mRNA-1	0.391172975975192	54.7647	0.358
genemark-flattened_line_3-processed-gene-1.109-mRNA-1	0.393644772215075	53.5930	0.324
augustus_masked-flattened_line_13-processed-gene-4.290-mRNA-1	0.326997123983696	52.5717	0.317
genemark-flattened_line_2-processed-gene-8.56-mRNA-1	0.46471979914763	55.9328	0.438
genemark-flattened_line_2-processed-gene-5.117-mRNA-1	0.405876051462471	50.8514	0.348
genemark-flattened_line_29-processed-gene-1.239-mRNA-1	0.405363579663013	54.5852	0.376
genemark-flattened_line_2-processed-gene-6.159-mRNA-1	0.429503951688747	55.5183	0.439
genemark-flattened_line_2-processed-gene-5.119-mRNA-1	0.452283279915021	54.9824	0.385
genemark-flattened_line_9-processed-gene-5.164-mRNA-1	0.361229648998768	56.0333	0.415
genemark-flattened_line_7-processed-gene-0.115-mRNA-1	0.48387875125331	47.5474	0.279
genemark-flattened_line_13-processed-gene-3.33-mRNA-1	0.401807617819681	53.8799	0.309
snap_masked-flattened_line_29-processed-gene-0.118-mRNA-1	0.442903926480778	55.0667	0.482
snap_masked-flattened_line_19-processed-gene-1.145-mRNA-1	0.395676089778304	53.2959	0.423
genemark-flattened_line_9-processed-gene-1.61-mRNA-1	0.361266048602565	52.6033	0.302
genemark-flattened_line_33-processed-gene-0.110-mRNA-1	0.422825690833041	52.8966	0.334
augustus_masked-flattened_line_7-processed-gene-6.217-mRNA-1	0.390180371735284	50.9935	0.324
genemark-flattened_line_9-processed-gene-5.152-mRNA-1	0.420166516135173	50.1581	0.361
genemark-flattened_line_9-processed-gene-6.38-mRNA-1	0.414693977195873	50.5022	0.319
genemark-flattened_line_31-processed-gene-0.2-mRNA-1	0.429861946671774	55.0380	0.422
genemark-flattened_line_9-processed-gene-3.86-mRNA-1	0.430532026699848	56.5456	0.423
augustus_masked-flattened_line_0-processed-gene-4.59-mRNA-1	0.397295558253966	54.4099	0.327
genemark-flattened_line_7-processed-gene-6.35-mRNA-1	0.405352308657332	54.3227	0.327
genemark-flattened_line_35-processed-gene-0.203-mRNA-1	0.364674000451668	52.6996	0.311
genemark-flattened_line_33-processed-gene-0.119-mRNA-1	0.410389202613981	51.9247	0.387
augustus_masked-flattened_line_5-processed-gene-0.0-mRNA-1	0.341377146256797	55.8734	0.349
snap_masked-flattened_line_25-processed-gene-2.90-mRNA-1	0.377182795656424	55.2119	0.359
genemark-flattened_line_13-processed-gene-4.22-mRNA-1	0.362044053704965	56.7295	0.367
genemark-flattened_line_23-processed-gene-1.116-mRNA-1	0.359952615361215	56.8907	0.348
genemark-flattened_line_5-processed-gene-4.18-mRNA-1	0.473359515490564	48.4526	0.342
genemark-flattened_line_41-processed-gene-0.225-mRNA-1	0.394847029369894	47.8738	0.318
maker-flattened_line_5-augustus-gene-0.70-mRNA-1	0.364972721550902	55.0810	0.345
genemark-flattened_line_5-processed-gene-6.128-mRNA-1	0.397889936044362	50.4484	0.285
genemark-flattened_line_37-processed-gene-0.171-mRNA-1	0.378695924376521	50.1530	0.341
genemark-flattened_line_39-processed-gene-0.79-mRNA-1	0.339339171063343	52.9358	0.332
genemark-flattened_line_21-processed-gene-2.29-mRNA-1	0.467951393682824	54.4381	0.345
augustus_masked-flattened_line_23-processed-gene-0.75-mRNA-1	0.386169407804779	58.3874	0.447
genemark-flattened_line_25-processed-gene-2.39-mRNA-1	0.380635799186548	53.0715	0.308
augustus_masked-flattened_line_43-processed-gene-0.152-mRNA-1	0.403263676736616	56.3594	0.399
genemark-flattened_line_17-processed-gene-1.34-mRNA-1	0.387758941353022	55.2410	0.403
snap_masked-flattened_line_7-processed-gene-1.67-mRNA-1	0.3783304506411	55.7680	0.346
genemark-flattened_line_15-processed-gene-1.117-mRNA-1	0.484891779765423	47.8134	0.479
genemark-flattened_line_0-processed-gene-8.288-mRNA-1	0.486015982713645	50.8562	0.370
maker-flattened_line_5-snap-gene-6.55-mRNA-1	0.364607128224651	56.3311	0.367
snap_masked-flattened_line_0-processed-gene-5.86-mRNA-1	0.432547274636462	54.7348	0.556
genemark-flattened_line_9-processed-gene-3.84-mRNA-1	0.383687718479423	54.1223	0.383
genemark-flattened_line_17-processed-gene-1.28-mRNA-1	0.411684144006696	49.2767	0.308
genemark-flattened_line_29-processed-gene-0.17-mRNA-1	0.344879507159357	54.4901	0.318
genemark-flattened_line_35-processed-gene-0.253-mRNA-1	0.448816041448628	51.3827	0.354
snap_masked-flattened_line_41-processed-gene-0.139-mRNA-1	0.368095370432281	56.9406	0.403
genemark-flattened_line_21-processed-gene-0.58-mRNA-1	0.404116294878237	54.3694	0.338
snap_masked-flattened_line_5-processed-gene-2.33-mRNA-1	0.427016580934319	56.1839	0.537
genemark-flattened_line_35-processed-gene-0.200-mRNA-1	0.342810149365136	54.8135	0.348
genemark-flattened_line_49-processed-gene-0.109-mRNA-1	0.40359692778142	55.2455	0.327
augustus_masked-flattened_line_13-processed-gene-3.150-mRNA-1	0.457524428876949	47.6360	0.373
genemark-flattened_line_5-processed-gene-4.56-mRNA-1	0.389252146094522	55.7292	0.383
genemark-flattened_line_13-processed-gene-0.63-mRNA-1	0.398132771893126	54.2710	0.351
genemark-flattened_line_2-processed-gene-6.189-mRNA-1	0.398260028684891	54.4727	0.471
genemark-flattened_line_15-processed-gene-0.133-mRNA-1	0.412554370511947	55.2903	0.380
genemark-flattened_line_31-processed-gene-0.32-mRNA-1	0.47572104342598	52.3225	0.401
genemark-flattened_line_25-processed-gene-1.138-mRNA-1	0.387538946835355	51.4295	0.410
snap_masked-flattened_line_5-processed-gene-4.82-mRNA-1	0.412080169768535	55.4587	0.427
genemark-flattened_line_11-processed-gene-3.102-mRNA-1	0.378707830410491	55.3107	0.372
snap_masked-flattened_line_13-processed-gene-4.222-mRNA-1	0.381354835553364	53.0300	0.324
genemark-flattened_line_3-processed-gene-3.23-mRNA-1	0.421738632941427	53.7449	0.362
genemark-flattened_line_0-processed-gene-4.103-mRNA-1	0.391920579696015	54.6228	0.358
genemark-flattened_line_2-processed-gene-6.172-mRNA-1	0.456316846757578	43.4667	0.321
genemark-flattened_line_5-processed-gene-1.126-mRNA-1	0.335559445149935	54.0222	0.331
snap_masked-flattened_line_7-processed-gene-0.90-mRNA-1	0.360715381942513	56.7216	0.356
genemark-flattened_line_2-processed-gene-2.169-mRNA-1	0.36323513835202	55.7342	0.390
augustus_masked-flattened_line_2-processed-gene-6.101-mRNA-1	0.382369797334679	55.2609	0.444
snap_masked-flattened_line_0-processed-gene-0.131-mRNA-1	0.340558102552386	53.6146	0.320
genemark-flattened_line_5-processed-gene-3.36-mRNA-1	0.401820353765235	57.0777	0.500
genemark-flattened_line_2-processed-gene-2.140-mRNA-1	0.356306036531218	54.8619	0.334
genemark-flattened_line_25-processed-gene-2.15-mRNA-1	0.421723775179088	53.3202	0.336
genemark-flattened_line_2-processed-gene-8.6-mRNA-1	0.375137294016254	50.6997	0.378
genemark-flattened_line_5-processed-gene-7.145-mRNA-1	0.422074535793688	49.3264	0.315
genemark-flattened_line_7-processed-gene-3.36-mRNA-1	0.490959258509536	43.2060	0.265
genemark-flattened_line_2-processed-gene-7.39-mRNA-1	0.447285789720497	45.2937	0.318
snap_masked-flattened_line_3-processed-gene-0.34-mRNA-1	0.44858443752113	49.2446	0.398
maker-flattened_line_3-augustus-gene-5.62-mRNA-1	0.392031125665828	54.6796	0.356
genemark-flattened_line_17-processed-gene-0.15-mRNA-1	0.438759460500509	47.0025	0.364
genemark-flattened_line_31-processed-gene-0.1-mRNA-1	0.383895513908585	52.2776	0.403
genemark-flattened_line_41-processed-gene-0.199-mRNA-1	0.416023604097729	54.8098	0.293
snap_masked-flattened_line_25-processed-gene-2.61-mRNA-1	0.3853519279918	54.2169	0.363
genemark-flattened_line_3-processed-gene-5.56-mRNA-1	0.535841047231308	49.2385	0.386
genemark-flattened_line_29-processed-gene-1.264-mRNA-1	0.42481035945512	57.6518	0.407
genemark-flattened_line_13-processed-gene-4.26-mRNA-1	0.368775006426734	55.1186	0.370
genemark-flattened_line_11-processed-gene-2.22-mRNA-1	0.361131394852823	52.1564	0.317
genemark-flattened_line_3-processed-gene-2.150-mRNA-1	0.464072094725071	54.5940	0.483
genemark-flattened_line_0-processed-gene-1.6-mRNA-1	0.407868848362902	50.9007	0.283
augustus_masked-flattened_line_3-processed-gene-6.148-mRNA-1	0.352662720202526	54.5634	0.355
genemark-flattened_line_53-processed-gene-0.29-mRNA-1	0.363952436724218	50.8944	0.336
genemark-flattened_line_41-processed-gene-0.242-mRNA-1	0.432037987998707	50.7230	0.381
genemark-flattened_line_9-processed-gene-0.6-mRNA-1	0.482978560305644	46.5328	0.633
genemark-flattened_line_47-processed-gene-0.79-mRNA-1	0.364624711361806	49.6556	0.301
maker-flattened_line_3-augustus-gene-6.1-mRNA-1	0.3864256372835	56.6181	0.372
genemark-flattened_line_3-processed-gene-5.42-mRNA-1	0.471999990811784	54.2867	0.416
genemark-flattened_line_37-processed-gene-0.152-mRNA-1	0.363351899160024	54.4858	0.394
genemark-flattened_line_0-processed-gene-8.291-mRNA-1	0.361574502512005	57.4404	0.383
genemark-flattened_line_0-processed-gene-5.152-mRNA-1	0.368311927454858	56.4225	0.446
genemark-flattened_line_37-processed-gene-0.91-mRNA-1	0.419640364963847	51.0787	0.348
augustus_masked-flattened_line_11-processed-gene-0.30-mRNA-1	0.374425297877802	55.4409	0.345
genemark-flattened_line_9-processed-gene-5.138-mRNA-1	0.397704988984773	55.8583	0.431
maker-flattened_line_31-snap-gene-1.184-mRNA-1	0.441567869785991	52.1493	0.396
genemark-flattened_line_9-processed-gene-4.51-mRNA-1	0.372769180316317	56.0119	0.333
snap_masked-flattened_line_5-processed-gene-1.52-mRNA-1	0.310420310684026	57.9954	0.340
genemark-flattened_line_35-processed-gene-0.269-mRNA-1	0.366235739123877	56.2897	0.384
snap_masked-flattened_line_2-processed-gene-6.11-mRNA-1	0.429506528314877	56.4044	0.476
genemark-flattened_line_27-processed-gene-1.139-mRNA-1	0.398110073257701	54.8510	0.356
maker-flattened_line_39-snap-gene-0.259-mRNA-1	0.497449555308551	53.2722	0.362
augustus_masked-flattened_line_13-processed-gene-4.289-mRNA-1	0.355959495880199	52.1003	0.345
augustus_masked-flattened_line_13-processed-gene-1.3-mRNA-1	0.352937740081877	55.1444	0.390
snap_masked-flattened_line_35-processed-gene-0.57-mRNA-1	0.363329327198889	57.1204	0.376
genemark-flattened_line_17-processed-gene-3.179-mRNA-1	0.390821503866779	52.9261	0.318
snap_masked-flattened_line_15-processed-gene-1.95-mRNA-1	0.397154116252127	56.0087	0.388
genemark-flattened_line_17-processed-gene-1.52-mRNA-1	0.396306524541414	53.9656	0.336
augustus_masked-flattened_line_5-processed-gene-4.114-mRNA-1	0.349833119126993	53.7795	0.349
genemark-flattened_line_47-processed-gene-0.65-mRNA-1	0.354371389431459	55.1758	0.355
genemark-flattened_line_9-processed-gene-0.9-mRNA-1	0.362800124796933	53.5343	0.322
genemark-flattened_line_19-processed-gene-2.289-mRNA-1	0.362537930983776	56.7172	0.376
augustus_masked-flattened_line_13-processed-gene-1.44-mRNA-1	0.392264334703022	56.5877	0.450
genemark-flattened_line_2-processed-gene-8.47-mRNA-1	0.359518709758448	54.3620	0.352
genemark-flattened_line_21-processed-gene-2.42-mRNA-1	0.448929040853611	55.1503	0.414
snap_masked-flattened_line_17-processed-gene-3.140-mRNA-1	0.427212172213042	54.2285	0.350
genemark-flattened_line_0-processed-gene-7.0-mRNA-1	0.375779273656881	54.2592	0.329
genemark-flattened_line_17-processed-gene-3.244-mRNA-1	0.405387339783459	54.1001	0.374
augustus_masked-flattened_line_13-processed-gene-4.304-mRNA-1	0.372024286511839	54.3344	0.463
genemark-flattened_line_13-processed-gene-3.21-mRNA-1	0.382512303990737	54.2381	0.312
genemark-flattened_line_21-processed-gene-1.7-mRNA-1	0.374070047252166	53.6682	0.390
genemark-flattened_line_27-processed-gene-1.126-mRNA-1	0.387591370004001	53.3573	0.421
genemark-flattened_line_23-processed-gene-1.118-mRNA-1	0.395055379834386	56.7938	0.381
genemark-flattened_line_3-processed-gene-7.226-mRNA-1	0.428615052249214	51.9621	0.331
genemark-flattened_line_39-processed-gene-0.40-mRNA-1	0.386918506793939	56.8165	0.370
genemark-flattened_line_3-processed-gene-3.30-mRNA-1	0.474957904950674	49.6779	0.318
genemark-flattened_line_2-processed-gene-5.134-mRNA-1	0.357734909951421	55.3622	0.376
genemark-flattened_line_39-processed-gene-0.41-mRNA-1	0.371294047709268	54.7979	0.357
genemark-flattened_line_0-processed-gene-4.112-mRNA-1	0.410466614427364	52.5848	0.355
genemark-flattened_line_29-processed-gene-0.30-mRNA-1	0.379064193962847	56.7546	0.387
genemark-flattened_line_53-processed-gene-0.33-mRNA-1	0.391643885388591	55.2057	0.357
snap_masked-flattened_line_9-processed-gene-4.70-mRNA-1	0.389686422366181	55.7567	0.366
genemark-flattened_line_7-processed-gene-1.38-mRNA-1	0.345449474292665	55.3809	0.469
genemark-flattened_line_23-processed-gene-2.13-mRNA-1	0.396150468193898	54.2004	0.360
genemark-flattened_line_3-processed-gene-5.17-mRNA-1	0.38830297023899	52.2115	0.326
genemark-flattened_line_31-processed-gene-1.82-mRNA-1	0.408784190293838	54.6486	0.388
genemark-flattened_line_41-processed-gene-0.184-mRNA-1	0.426076460503426	53.5364	0.430
genemark-flattened_line_25-processed-gene-1.145-mRNA-1	0.403127879416412	53.4185	0.335
snap_masked-flattened_line_7-processed-gene-6.114-mRNA-1	0.412561264983554	58.9660	0.420
snap_masked-flattened_line_0-processed-gene-1.56-mRNA-1	0.382918524461402	54.3148	0.343
genemark-flattened_line_3-processed-gene-2.124-mRNA-1	0.371264865926799	57.8466	0.391
genemark-flattened_line_5-processed-gene-5.164-mRNA-1	0.396885462877895	53.8517	0.378
genemark-flattened_line_31-processed-gene-1.68-mRNA-1	0.430448339101234	54.1032	0.427
snap_masked-flattened_line_19-processed-gene-2.50-mRNA-1	0.396817221628852	51.9573	0.313
genemark-flattened_line_0-processed-gene-6.14-mRNA-1	0.457563473654769	53.6115	0.630
genemark-flattened_line_2-processed-gene-4.124-mRNA-1	0.361375715541347	58.4709	0.454
snap_masked-flattened_line_9-processed-gene-1.173-mRNA-1	0.343222941017251	54.8289	0.361
genemark-flattened_line_41-processed-gene-0.231-mRNA-1	0.396557683441164	51.3734	0.317
augustus_masked-flattened_line_13-processed-gene-1.36-mRNA-1	0.361569998652658	55.6863	0.439
genemark-flattened_line_9-processed-gene-4.7-mRNA-1	0.391967359233737	55.4387	0.393
snap_masked-flattened_line_53-processed-gene-0.12-mRNA-1	0.360308852676923	54.5229	0.366
genemark-flattened_line_27-processed-gene-1.149-mRNA-1	0.462333917109954	57.8081	0.436
genemark-flattened_line_7-processed-gene-6.66-mRNA-1	0.446661256320116	53.8846	0.419
genemark-flattened_line_37-processed-gene-0.153-mRNA-1	0.370112825414149	55.6616	0.445
genemark-flattened_line_43-processed-gene-0.46-mRNA-1	0.40485920868184	54.8625	0.378
snap_masked-flattened_line_3-processed-gene-7.110-mRNA-1	0.369922516218509	55.5210	0.364
genemark-flattened_line_19-processed-gene-2.258-mRNA-1	0.410325560185964	57.9978	0.398
genemark-flattened_line_17-processed-gene-2.111-mRNA-1	0.433509491739745	51.7005	0.391
snap_masked-flattened_line_37-processed-gene-0.34-mRNA-1	0.360464155209535	55.7003	0.357
genemark-flattened_line_0-processed-gene-3.31-mRNA-1	0.341486309056408	53.8042	0.351
genemark-flattened_line_23-processed-gene-2.48-mRNA-1	0.368166542676486	54.3584	0.325
maker-flattened_line_43-augustus-gene-0.1-mRNA-1	0.365260795628716	55.6635	0.358
genemark-flattened_line_3-processed-gene-4.55-mRNA-1	0.378416785128718	56.1659	0.376
genemark-flattened_line_7-processed-gene-2.35-mRNA-1	0.412495330960174	52.8456	0.374
genemark-flattened_line_15-processed-gene-1.143-mRNA-1	0.383371542052812	56.3777	0.488
genemark-flattened_line_3-processed-gene-6.46-mRNA-1	0.346875764162825	53.3471	0.418
genemark-flattened_line_17-processed-gene-2.112-mRNA-1	0.413880230486562	53.1380	0.345
genemark-flattened_line_9-processed-gene-5.114-mRNA-1	0.391670284077674	53.0690	0.332
snap_masked-flattened_line_39-processed-gene-0.197-mRNA-1	0.339432694238988	55.5427	0.490
genemark-flattened_line_25-processed-gene-0.23-mRNA-1	0.560915253134728	45.2351	0.381
augustus_masked-flattened_line_2-processed-gene-2.7-mRNA-1	0.377673407694379	56.1853	0.387
genemark-flattened_line_0-processed-gene-8.212-mRNA-1	0.43459035375932	54.3892	0.455
genemark-flattened_line_2-processed-gene-6.177-mRNA-1	0.376807569858645	53.5107	0.342
genemark-flattened_line_0-processed-gene-7.27-mRNA-1	0.375028264532259	54.4619	0.384
genemark-flattened_line_21-processed-gene-1.5-mRNA-1	0.41229294479812	56.2468	0.465
genemark-flattened_line_2-processed-gene-7.43-mRNA-1	0.40092189568095	53.9907	0.336
genemark-flattened_line_11-processed-gene-5.240-mRNA-1	0.439758348219498	50.3644	0.354
genemark-flattened_line_31-processed-gene-0.11-mRNA-1	0.37152011880784	53.2373	0.302
genemark-flattened_line_11-processed-gene-5.261-mRNA-1	0.447003903322027	53.4525	0.369
snap_masked-flattened_line_3-processed-gene-0.15-mRNA-1	0.373795514220903	52.5083	0.331
genemark-flattened_line_11-processed-gene-5.213-mRNA-1	0.429247681307007	54.1100	0.345
genemark-flattened_line_0-processed-gene-7.8-mRNA-1	0.390275729869422	56.4234	0.375
genemark-flattened_line_27-processed-gene-2.12-mRNA-1	0.430227611143814	55.4040	0.390
augustus_masked-flattened_line_3-processed-gene-4.115-mRNA-1	0.406637452912874	57.9123	0.429
maker-flattened_line_47-snap-gene-0.106-mRNA-1	0.381427064743627	55.9223	0.349
genemark-flattened_line_5-processed-gene-2.137-mRNA-1	0.380398236500667	55.1868	0.356
genemark-flattened_line_3-processed-gene-4.25-mRNA-1	0.345196082715606	49.3100	0.274
genemark-flattened_line_25-processed-gene-1.158-mRNA-1	0.4133279308191	54.2700	0.354
augustus_masked-flattened_line_13-processed-gene-3.144-mRNA-1	0.38141035141879	54.1950	0.349
augustus_masked-flattened_line_31-processed-gene-1.95-mRNA-1	0.419666677156129	56.0225	0.406
genemark-flattened_line_9-processed-gene-5.131-mRNA-1	0.468726358821694	49.2788	0.370
genemark-flattened_line_19-processed-gene-1.58-mRNA-1	0.452388588370944	50.1735	0.384
genemark-flattened_line_3-processed-gene-6.22-mRNA-1	0.374460957430768	55.0717	0.363
genemark-flattened_line_27-processed-gene-0.18-mRNA-1	0.349655293794189	56.8193	0.371
genemark-flattened_line_0-processed-gene-8.237-mRNA-1	0.443223743040768	56.0095	0.349
snap_masked-flattened_line_35-processed-gene-0.42-mRNA-1	0.521219883155222	50.0252	0.336
snap_masked-flattened_line_2-processed-gene-4.49-mRNA-1	0.350111583091227	52.9637	0.370
augustus_masked-flattened_line_17-processed-gene-0.151-mRNA-1	0.435716416689281	55.5779	0.395
augustus_masked-flattened_line_19-processed-gene-2.209-mRNA-1	0.348967404287193	54.9835	0.361
augustus_masked-flattened_line_29-processed-gene-0.96-mRNA-1	0.449316596312401	44.4838	0.337
snap_masked-flattened_line_3-processed-gene-5.65-mRNA-1	0.376232945756898	54.6416	0.364
genemark-flattened_line_47-processed-gene-0.53-mRNA-1	0.492940808895516	49.8223	0.359
augustus_masked-flattened_line_2-processed-gene-4.69-mRNA-1	0.37875430569498	56.3413	0.368
augustus_masked-flattened_line_59-processed-gene-0.0-mRNA-1	0.397080396195108	50.9916	0.300
genemark-flattened_line_9-processed-gene-6.7-mRNA-1	0.388701415134306	56.5975	0.431
snap_masked-flattened_line_23-processed-gene-1.86-mRNA-1	0.400852671982736	53.5778	0.339
augustus_masked-flattened_line_11-processed-gene-1.34-mRNA-1	0.371474107854746	56.0249	0.396
snap_masked-flattened_line_15-processed-gene-0.99-mRNA-1	0.402269307474036	55.1030	0.369
genemark-flattened_line_17-processed-gene-1.27-mRNA-1	0.36987091644787	53.7730	0.345
genemark-flattened_line_9-processed-gene-3.64-mRNA-1	0.394114131371896	52.7484	0.324
genemark-flattened_line_7-processed-gene-5.80-mRNA-1	0.392936561246882	50.9286	0.371
genemark-flattened_line_3-processed-gene-1.151-mRNA-1	0.476550451046852	54.2048	0.390
genemark-flattened_line_17-processed-gene-3.240-mRNA-1	0.336015444060923	51.0492	0.294
genemark-flattened_line_19-processed-gene-2.255-mRNA-1	0.533221039223194	40.7244	0.348
genemark-flattened_line_3-processed-gene-6.10-mRNA-1	0.391130237179377	56.7982	0.435
genemark-flattened_line_2-processed-gene-8.45-mRNA-1	0.510218983944282	49.3959	0.355
augustus_masked-flattened_line_19-processed-gene-2.203-mRNA-1	0.389613422966621	54.4554	0.349
genemark-flattened_line_0-processed-gene-2.110-mRNA-1	0.415606908621719	54.7055	0.383
genemark-flattened_line_11-processed-gene-3.109-mRNA-1	0.380628331131901	55.1880	0.360
maker-flattened_line_27-snap-gene-0.103-mRNA-1	0.395407795916315	50.5220	0.331
genemark-flattened_line_3-processed-gene-6.42-mRNA-1	0.402894000942817	53.1728	0.346
genemark-flattened_line_11-processed-gene-4.14-mRNA-1	0.399539712827479	55.4962	0.322
genemark-flattened_line_31-processed-gene-1.27-mRNA-1	0.417658268849213	54.9718	0.401
genemark-flattened_line_0-processed-gene-1.2-mRNA-1	0.385628408587622	55.3994	0.364
genemark-flattened_line_23-processed-gene-1.136-mRNA-1	0.396230493445186	54.5608	0.365
genemark-flattened_line_0-processed-gene-8.254-mRNA-1	0.37375830546491	54.9306	0.384
genemark-flattened_line_3-processed-gene-1.141-mRNA-1	0.38515673726624	53.9586	0.328
genemark-flattened_line_0-processed-gene-8.202-mRNA-1	0.350601611192954	57.1572	0.493
genemark-flattened_line_0-processed-gene-5.135-mRNA-1	0.435971991362101	55.5517	0.452
genemark-flattened_line_15-processed-gene-3.248-mRNA-1	0.339446081415425	52.8598	0.321
genemark-flattened_line_2-processed-gene-3.38-mRNA-1	0.452283279915021	54.9824	0.385
genemark-flattened_line_9-processed-gene-1.75-mRNA-1	0.380142859575277	56.5242	0.386
genemark-flattened_line_5-processed-gene-0.65-mRNA-1	0.573352665341888	42.4208	0.496
genemark-flattened_line_0-processed-gene-5.144-mRNA-1	0.496876606191454	48.4505	0.401
genemark-flattened_line_2-processed-gene-5.111-mRNA-1	0.378061205318397	55.4095	0.380
genemark-flattened_line_0-processed-gene-0.58-mRNA-1	0.41148007818732	54.7230	0.413
genemark-flattened_line_2-processed-gene-0.51-mRNA-1	0.375265042553085	56.6162	0.365
genemark-flattened_line_11-processed-gene-0.44-mRNA-1	0.387827856452244	55.8572	0.375
genemark-flattened_line_29-processed-gene-0.37-mRNA-1	0.486211658255716	52.8436	0.446
genemark-flattened_line_7-processed-gene-3.29-mRNA-1	0.431410927485665	53.3914	0.359
genemark-flattened_line_11-processed-gene-5.230-mRNA-1	0.441769470255551	52.1392	0.392
genemark-flattened_line_11-processed-gene-3.145-mRNA-1	0.383844296980269	55.5865	0.388
augustus_masked-flattened_line_5-processed-gene-2.64-mRNA-1	0.393673063707182	49.7084	0.309
snap_masked-flattened_line_0-processed-gene-5.85-mRNA-1	0.350288488601908	58.5294	0.418
augustus_masked-flattened_line_3-processed-gene-4.125-mRNA-1	0.408633530436036	53.6121	0.337
genemark-flattened_line_0-processed-gene-4.98-mRNA-1	0.428668390087582	52.8951	0.366
snap_masked-flattened_line_2-processed-gene-7.78-mRNA-1	0.36603618330975	54.4094	0.364
genemark-flattened_line_7-processed-gene-2.38-mRNA-1	0.365084813131599	54.3857	0.328
genemark-flattened_line_0-processed-gene-2.127-mRNA-1	0.365552630973579	56.2094	0.381
genemark-flattened_line_39-processed-gene-0.15-mRNA-1	0.379864145664658	55.4225	0.359
genemark-flattened_line_0-processed-gene-2.122-mRNA-1	0.430059444850492	57.3518	0.438
genemark-flattened_line_11-processed-gene-5.241-mRNA-1	0.428748458042502	52.6397	0.396
genemark-flattened_line_3-processed-gene-4.32-mRNA-1	0.452675924695689	47.0556	0.357
