Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                    SeqLen       N2*      N3*      N4*       Nc     ExpNc
------------------------------------------------------------------------------------------------------------------------------------------------
augustus_masked-NODE_100_length_7571_cov_18.1393_ID_323957-processed-gene-0.5-mRNA-1          633       12        1        8   52.9756   62.7733
augustus_masked-NODE_100_length_7571_cov_18.1393_ID_323957-processed-gene-0.1-mRNA-1          885       12        1        8   52.6181   61.2102
augustus_masked-NODE_100_length_7571_cov_18.1393_ID_323957-processed-gene-0.3-mRNA-1          921       11        1        8   54.6399   59.5126
augustus_masked-NODE_100_length_7571_cov_18.1393_ID_323957-processed-gene-0.6-mRNA-1          585       12        1        8   49.8138   61.4745
genemark-NODE_101_length_7393_cov_17.0586_ID_26550-processed-gene-0.8-mRNA-1                 1296       12        1        8   51.9899   61.2763
genemark-NODE_101_length_7393_cov_17.0586_ID_26550-processed-gene-0.9-mRNA-1                  900       12        1        8   55.0751   62.1179
snap_masked-NODE_101_length_7393_cov_17.0586_ID_26550-processed-gene-0.3-mRNA-1               384       12        1        7   49.6372   61.7009
augustus_masked-NODE_101_length_7393_cov_17.0586_ID_26550-processed-gene-0.7-mRNA-1           612       12        1        8   53.2483   59.5875
augustus_masked-NODE_103_length_6828_cov_19.3552_ID_323961-processed-gene-0.5-mRNA-1          522       11        1        8   55.1488   62.4650
augustus_masked-NODE_103_length_6828_cov_19.3552_ID_323961-processed-gene-0.6-mRNA-1         2076       12        1        8   45.6151   60.7721
augustus_masked-NODE_103_length_6828_cov_19.3552_ID_323961-processed-gene-0.4-mRNA-1         1107       12        1        8   46.0747   60.2343
augustus_masked-NODE_103_length_6828_cov_19.3552_ID_323961-processed-gene-0.7-mRNA-1          975       11        1        8   40.8196   59.2484
augustus_masked-NODE_104_length_6491_cov_51.1302_ID_36218-processed-gene-0.1-mRNA-1           525       12        1        8   56.3114   61.2967
augustus_masked-NODE_104_length_6491_cov_51.1302_ID_36218-processed-gene-0.0-mRNA-1           399       12        1        8   53.7605   59.9981
augustus_masked-NODE_104_length_6491_cov_51.1302_ID_36218-processed-gene-0.2-mRNA-1           420       12        1        8   55.3499   62.6696
snap_masked-NODE_104_length_6491_cov_51.1302_ID_36218-processed-gene-0.13-mRNA-1              408       12        1        8   55.4925   59.5032
augustus_masked-NODE_105_length_6438_cov_23.133_ID_323931-processed-gene-0.6-mRNA-1           645       11        1        8   57.0955   61.7156
