gene_id	tAI	nc	gc3
genemark-flattened_line_246-processed-gene-0.43-mRNA-1	0.216587652610292	52.0256	0.656
augustus_masked-flattened_line_41-processed-gene-1.82-mRNA-1	0.212229181777374	50.8717	0.656
snap_masked-flattened_line_63-processed-gene-0.59-mRNA-1	0.23806421792271	51.4811	0.607
augustus_masked-flattened_line_2-processed-gene-0.68-mRNA-1	0.218440621551526	54.2669	0.506
snap_masked-flattened_line_442-processed-gene-0.4-mRNA-1	0.244320011831844	49.4901	0.690
snap_masked-flattened_line_197-processed-gene-0.21-mRNA-1	0.224989117942792	49.1315	0.689
snap_masked-flattened_line_163-processed-gene-0.109-mRNA-1	0.287513499097869	43.8291	0.769
genemark-flattened_line_147-processed-gene-0.17-mRNA-1	0.225951154208509	49.6147	0.716
snap_masked-flattened_line_4-processed-gene-2.32-mRNA-1	0.208421954924814	52.0812	0.639
snap_masked-flattened_line_5-processed-gene-3.20-mRNA-1	0.303918922245744	42.7071	0.673
snap_masked-flattened_line_173-processed-gene-0.78-mRNA-1	0.302054641952566	44.3458	0.782
snap_masked-flattened_line_374-processed-gene-0.12-mRNA-1	0.308700081766978	41.6139	0.650
snap_masked-flattened_line_0-processed-gene-0.11-mRNA-1	0.242782612514948	50.5862	0.622
snap_masked-flattened_line_159-processed-gene-0.8-mRNA-1	0.239665043422594	48.2317	0.795
snap_masked-flattened_line_129-processed-gene-0.17-mRNA-1	0.28120070195763	40.3827	0.766
snap_masked-flattened_line_65-processed-gene-0.36-mRNA-1	0.238958529256334	50.5135	0.594
augustus_masked-flattened_line_250-processed-gene-0.37-mRNA-1	0.291854705024141	41.7004	0.881
augustus_masked-flattened_line_47-processed-gene-1.9-mRNA-1	0.331583497164668	45.5002	0.686
snap_masked-flattened_line_0-processed-gene-2.101-mRNA-1	0.219848152315063	50.2858	0.661
snap_masked-flattened_line_171-processed-gene-0.52-mRNA-1	0.317599060423531	44.4943	0.649
snap_masked-flattened_line_61-processed-gene-0.27-mRNA-1	0.221961849154936	51.2792	0.633
augustus_masked-flattened_line_2-processed-gene-1.39-mRNA-1	0.217403446756768	56.3093	0.581
snap_masked-flattened_line_205-processed-gene-0.17-mRNA-1	0.240313326607871	52.1345	0.637
snap_masked-flattened_line_5-processed-gene-1.20-mRNA-1	0.377315945081893	36.0683	0.808
snap_masked-flattened_line_7-processed-gene-2.197-mRNA-1	0.309761752099409	41.1936	0.658
snap_masked-flattened_line_318-processed-gene-0.21-mRNA-1	0.327852926540425	40.3592	0.807
snap_masked-flattened_line_123-processed-gene-0.64-mRNA-1	0.365049956301916	40.7239	0.689
snap_masked-flattened_line_21-processed-gene-1.33-mRNA-1	0.269099482409854	45.8751	0.706
snap_masked-flattened_line_280-processed-gene-0.1-mRNA-1	0.227551936825836	52.6333	0.617
snap_masked-flattened_line_45-processed-gene-1.13-mRNA-1	0.221245996475343	50.5277	0.675
augustus_masked-flattened_line_37-processed-gene-0.53-mRNA-1	0.361072553490672	46.9110	0.667
maker-flattened_line_129-snap-gene-0.0-mRNA-1	0.366092028345259	41.8976	0.720
augustus_masked-flattened_line_71-processed-gene-0.139-mRNA-1	0.215799712250722	51.1982	0.580
snap_masked-flattened_line_167-processed-gene-0.62-mRNA-1	0.293937619975292	44.6610	0.817
snap_masked-flattened_line_129-processed-gene-0.7-mRNA-1	0.265442597576563	49.8080	0.643
augustus_masked-flattened_line_37-processed-gene-0.45-mRNA-1	0.232347203993582	55.8365	0.559
snap_masked-flattened_line_123-processed-gene-0.54-mRNA-1	0.278643336240427	46.5357	0.554
augustus_masked-flattened_line_185-processed-gene-0.20-mRNA-1	0.212461746672002	49.9417	0.683
snap_masked-flattened_line_173-processed-gene-0.80-mRNA-1	0.292609681583876	48.8155	0.773
augustus_masked-flattened_line_0-processed-gene-4.144-mRNA-1	0.229438677502956	51.4054	0.588
snap_masked-flattened_line_125-processed-gene-0.75-mRNA-1	0.259469898771701	50.8990	0.599
snap_masked-flattened_line_27-processed-gene-1.24-mRNA-1	0.223635417483821	47.8556	0.703
augustus_masked-flattened_line_121-processed-gene-0.64-mRNA-1	0.353800457639131	41.6915	0.793
augustus_masked-flattened_line_35-processed-gene-1.81-mRNA-1	0.325031109048714	42.4319	0.630
snap_masked-flattened_line_5-processed-gene-2.7-mRNA-1	0.289368956632028	42.6593	0.704
augustus_masked-flattened_line_117-processed-gene-0.23-mRNA-1	0.244917927133662	53.2899	0.597
snap_masked-flattened_line_143-processed-gene-0.28-mRNA-1	0.3717420415156	40.1005	0.757
