gene_id	tAI	nc	gc3
genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-7.55-mRNA-1	0.372853815024312	54.5333	0.393
genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-8.62-mRNA-1	0.338497609982602	52.6128	0.349
genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-8.101-mRNA-1	0.366544139444345	42.7262	0.141
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-12.233-mRNA-1	0.330122927780449	57.1816	0.403
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-2.2-mRNA-1	0.357937270920748	55.6031	0.373
augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-6.109-mRNA-1	0.36567416328753	45.7907	0.194
genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-1.88-mRNA-1	0.392216833925047	51.5505	0.455
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-1.99-mRNA-1	0.399419741070776	52.5956	0.546
snap_masked-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-2.12-mRNA-1	0.371141849012107	55.1480	0.390
augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-0.66-mRNA-1	0.35546635224738	52.4959	0.302
genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-3.18-mRNA-1	0.367337627042148	55.3268	0.441
genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-2.79-mRNA-1	0.408891728463807	48.6573	0.262
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-5.82-mRNA-1	0.39179701049893	44.9254	0.183
genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-17.23-mRNA-1	0.364937187929454	52.4719	0.298
snap_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-11.29-mRNA-1	0.407833787465888	39.2772	0.144
genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.10-mRNA-1	0.378779019708585	53.1837	0.309
genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-1.115-mRNA-1	0.364771285703188	50.2417	0.233
genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.65-mRNA-1	0.371177984527652	56.4427	0.386
genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-4.55-mRNA-1	0.368901176345266	52.9401	0.339
augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-18.102-mRNA-1	0.357371034551986	54.1902	0.342
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-4.71-mRNA-1	0.37580860595987	55.9272	0.417
genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-5.18-mRNA-1	0.368414837297587	53.4565	0.316
genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.26-mRNA-1	0.350895717693399	55.6797	0.462
augustus_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-3.79-mRNA-1	0.354687719845369	57.1426	0.493
maker-gi|1002316220|dbj|BCGL01000004.1|-augustus-gene-12.165-mRNA-1	0.38366995318083	55.1834	0.395
genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-0.15-mRNA-1	0.36336955757128	55.3827	0.355
genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-5.37-mRNA-1	0.329011034303324	49.5166	0.239
augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-3.77-mRNA-1	0.35688455915995	57.9123	0.422
genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-3.106-mRNA-1	0.367100920557169	54.7027	0.342
genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-4.130-mRNA-1	0.399180185317046	48.1682	0.294
genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-3.41-mRNA-1	0.352392009485102	57.2478	0.425
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-6.60-mRNA-1	0.399076605992285	44.3319	0.241
augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-20.22-mRNA-1	0.352594963874651	53.5337	0.395
augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-0.95-mRNA-1	0.421361867125831	55.2198	0.396
genemark-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.131-mRNA-1	0.383609676789457	52.7481	0.384
maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-2.112-mRNA-1	0.398731441309737	41.9305	0.153
genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.59-mRNA-1	0.349830861237621	55.6446	0.362
augustus_masked-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-4.115-mRNA-1	0.398187762547637	55.7895	0.451
genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-13.16-mRNA-1	0.345165086771416	55.9723	0.587
snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.32-mRNA-1	0.335535308457916	58.8353	0.481
snap_masked-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-2.24-mRNA-1	0.373871473250401	55.2058	0.352
maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-5.4-mRNA-1	0.367765155968012	53.3066	0.335
augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-3.69-mRNA-1	0.325896589145134	55.0032	0.393
genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-7.77-mRNA-1	0.386919965514767	52.7343	0.431
augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-9.26-mRNA-1	0.403759941507698	53.8424	0.423
genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-4.2-mRNA-1	0.428268549715317	43.6747	0.229
genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-5.10-mRNA-1	0.425349071734871	51.9233	0.358
genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-1.15-mRNA-1	0.379226805748585	40.8498	0.110
maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-2.104-mRNA-1	0.398445170156164	48.3613	0.293
augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-17.57-mRNA-1	0.383618115397667	50.3825	0.298
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-4.75-mRNA-1	0.382926960787737	55.4018	0.371
genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-2.68-mRNA-1	0.374739626545418	41.0507	0.150
genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-11.65-mRNA-1	0.365280848749649	40.9372	0.091
genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.48-mRNA-1	0.352405854040446	45.5722	0.139
augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.55-mRNA-1	0.347010028388765	55.8666	0.396
augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-6.141-mRNA-1	0.36746988475415	56.7008	0.408
