Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------------------------------
maker-NODE_100_length_9521_cov_644.594_ID_199-snap-gene-0.5-mRNA-1                        852       12        1        7   39.0098   37.1243
augustus_masked-NODE_101_length_9397_cov_14.6001_ID_201-processed-gene-0.6-mRNA-1        2223       12        1        8   55.2961   61.4450
augustus_masked-NODE_101_length_9397_cov_14.6001_ID_201-processed-gene-0.7-mRNA-1        1626       12        1        8   57.9519   62.3871
maker-NODE_101_length_9397_cov_14.6001_ID_201-augustus-gene-0.0-mRNA-1                   1959       12        1        8   47.7563   61.6656
snap_masked-NODE_101_length_9397_cov_14.6001_ID_201-processed-gene-0.5-mRNA-1             891       12        1        8   55.4768   61.4748
augustus_masked-NODE_102_length_8851_cov_17.7826_ID_203-processed-gene-0.0-mRNA-1        1920       11        1        8   56.5311   59.7900
augustus_masked-NODE_103_length_8808_cov_63.6086_ID_205-processed-gene-0.5-mRNA-1        2055       12        1        8   56.8790   57.9961
snap_masked-NODE_103_length_8808_cov_63.6086_ID_205-processed-gene-0.6-mRNA-1             327       12        1        8   51.2803   51.2796
snap_masked-NODE_103_length_8808_cov_63.6086_ID_205-processed-gene-0.7-mRNA-1             468       12        1        8   51.9727   56.4789
augustus_masked-NODE_103_length_8808_cov_63.6086_ID_205-processed-gene-0.4-mRNA-1         573       12        1        8   55.7402   57.1013
augustus_masked-NODE_104_length_8652_cov_62.5254_ID_207-processed-gene-0.2-mRNA-1        1806       12        1        8   56.3866   57.9018
snap_masked-NODE_105_length_8377_cov_50.7163_ID_209-processed-gene-0.2-mRNA-1            1641       12        1        7   56.1005   56.2672
augustus_masked-NODE_106_length_8197_cov_15.6271_ID_211-processed-gene-0.1-mRNA-1        1374       12        1        8   58.0751   61.3916
augustus_masked-NODE_106_length_8197_cov_15.6271_ID_211-processed-gene-0.2-mRNA-1        1725       12        1        8   55.4753   59.3158
augustus_masked-NODE_107_length_7569_cov_15.2184_ID_213-processed-gene-0.1-mRNA-1        1413       12        1        8   55.3854   58.8200
genemark-NODE_108_length_7418_cov_15.3901_ID_215-processed-gene-0.3-mRNA-1               1689       12        1        8   54.0362   60.5719
genemark-NODE_108_length_7418_cov_15.3901_ID_215-processed-gene-0.4-mRNA-1                888       12        1        8   55.6256   62.1421
genemark-NODE_108_length_7418_cov_15.3901_ID_215-processed-gene-0.5-mRNA-1               1743       12        1        8   57.8572   62.3216
augustus_masked-NODE_109_length_7363_cov_14.2905_ID_217-processed-gene-0.0-mRNA-1        1776       12        1        8   59.1420   62.5385
augustus_masked-NODE_109_length_7363_cov_14.2905_ID_217-processed-gene-0.2-mRNA-1        1578       12        1        8   58.1948   61.7275
augustus_masked-NODE_109_length_7363_cov_14.2905_ID_217-processed-gene-0.1-mRNA-1         750       12        1        7   40.4444   58.2215
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.0-mRNA-1        1182       12        1        8   53.8892   60.4588
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.1-mRNA-1        1116       12        1        8   56.2235   59.2972
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.116-mRNA-1           936       12        1        8   55.1407   62.6026
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.3-mRNA-1        1062       12        1        8   51.5844   58.5508
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.140-mRNA-1          1323       12        1        8   55.5970   60.3495
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.4-mRNA-1         432       11        1        8   42.9114   62.2916
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.28-mRNA-1        789       12        1        8   55.6938   62.2847
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.119-mRNA-1          1173       12        1        8   55.8623   61.2889
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.6-mRNA-1        3084       12        1        8   57.4462   61.0280
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.7-mRNA-1         660       11        1        8   57.6572   62.3903
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.8-mRNA-1         966       12        1        8   55.2711   61.2343
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.142-mRNA-1          1854       12        1        8   55.6735   59.2824
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.123-mRNA-1           513       12        1        8   56.5620   60.2840
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.143-mRNA-1          2106       11        1        8   53.8527   61.9965
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.10-mRNA-1        528       12        1        8   45.6237   58.2528
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.31-mRNA-1        852       11        1        8   53.5696   62.2049
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.11-mRNA-1        477       12        1        8   56.0214   62.6079
snap_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.126-mRNA-1          3213       12        1        8   56.6014   59.5036
genemark-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.87-mRNA-1               576       12        1        8   51.7919   55.3456
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.13-mRNA-1        771       12        1        8   57.2579   62.8801
maker-NODE_10_length_236053_cov_15.3402_ID_19-snap-gene-0.111-mRNA-1                      765       11        1        8   53.8977   60.8376
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.32-mRNA-1       1914       12        1        8   55.9024   61.1282
augustus_masked-NODE_10_length_236053_cov_15.3402_ID_19-processed-gene-0.33-mRNA-1        483       12        1        8   53.5751   58.2433
maker-NODE_10_length_236053_cov_15.3402_ID_19-snap-gene-0.112-mRNA-1                     1038       12        1        8   51.7730   57.7302
