Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                        SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------------
snap_masked-NW_001813675.1-processed-gene-0.54-mRNA-1            1857       11        3        7   49.4206   56.0879
snap_masked-NW_001813675.1-processed-gene-0.55-mRNA-1            1461       11        3        7   56.4648   62.0812
snap_masked-NW_001813675.1-processed-gene-0.56-mRNA-1             987       10        3        7   54.7207   60.2519
snap_masked-NW_001813675.1-processed-gene-0.57-mRNA-1             507       10        3        7   52.7371   59.9817
snap_masked-NW_001813675.1-processed-gene-0.58-mRNA-1            2658       11        3        7   57.8752   60.6967
snap_masked-NW_001813675.1-processed-gene-0.60-mRNA-1             537       11        3        7   57.5615   60.9826
snap_masked-NW_001813675.1-processed-gene-0.61-mRNA-1             888       11        3        7   53.6146   61.7656
snap_masked-NW_001813675.1-processed-gene-0.62-mRNA-1            1629       11        3        7   56.5779   60.8533
snap_masked-NW_001813675.1-processed-gene-0.39-mRNA-1             534       11        3        7   53.7437   58.1877
snap_masked-NW_001813675.1-processed-gene-0.40-mRNA-1            1578       11        3        7   49.8798   62.2227
snap_masked-NW_001813675.1-processed-gene-0.64-mRNA-1            1608       11        3        7   51.8342   59.8396
snap_masked-NW_001813675.1-processed-gene-0.41-mRNA-1            1806       11        3        7   54.5827   62.1623
snap_masked-NW_001813675.1-processed-gene-0.42-mRNA-1            1410       11        3        7   55.1562   60.8259
augustus_masked-NW_001813675.1-processed-gene-0.79-mRNA-1        1107       11        3        7   50.7729   61.8254
snap_masked-NW_001813675.1-processed-gene-0.65-mRNA-1             321       10        2        6   54.3395   59.7135
augustus_masked-NW_001813675.1-processed-gene-0.96-mRNA-1        1218       11        3        7   56.7948   61.5044
augustus_masked-NW_001813675.1-processed-gene-0.80-mRNA-1        1761       11        3        7   58.1962   62.3155
maker-NW_001813675.1-snap-gene-0.0-mRNA-1                        6330       11        3        7   54.0480   61.9212
snap_masked-NW_001813675.1-processed-gene-0.69-mRNA-1             372       10        3        7   54.5382   61.7926
snap_masked-NW_001813675.1-processed-gene-0.70-mRNA-1             372       10        3        7   54.5382   61.7926
snap_masked-NW_001813675.1-processed-gene-0.71-mRNA-1             372       10        3        7   54.5382   61.7926
snap_masked-NW_001813675.1-processed-gene-0.72-mRNA-1             372       10        3        7   54.5382   61.7926
augustus_masked-NW_001813675.1-processed-gene-0.102-mRNA-1       1275       10        3        7   49.1435   59.4764
snap_masked-NW_001813675.1-processed-gene-0.52-mRNA-1             456       11        3        6   54.3026   60.5034
maker-NW_001813675.1-augustus-gene-0.4-mRNA-1                     984       11        3        7   54.6573   61.2281
snap_masked-NW_001813675.1-processed-gene-1.2-mRNA-1             1110       11        3        7   52.6043   62.2495
snap_masked-NW_001813675.1-processed-gene-1.3-mRNA-1              282       11        3        7   52.8741   53.7714
augustus_masked-NW_001813675.1-processed-gene-1.61-mRNA-1        4521       10        3        7   55.4796   58.2546
