Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
--------------------------------------------------------------------------------------------------------------
augustus_masked-con_C42337-processed-gene-0.0-mRNA-1        609       10        3        7   55.4784   60.8091
snap_masked-con_C42437-processed-gene-0.0-mRNA-1            456       10        3        7   53.4443   58.9563
augustus_masked-con_C42689-processed-gene-0.0-mRNA-1        519       10        3        7   56.4053   60.1290
augustus_masked-con_C43077-processed-gene-0.1-mRNA-1        717       11        3        7   55.1327   59.8649
augustus_masked-con_C43153-processed-gene-0.1-mRNA-1        792       11        3        7   53.5162   59.6318
snap_masked-con_C43349-processed-gene-0.0-mRNA-1            303       11        2        7   56.0514   60.5927
augustus_masked-con_C43735-processed-gene-0.0-mRNA-1        558       11        3        7   55.0498   60.0849
augustus_masked-con_C43873-processed-gene-0.2-mRNA-1        321       11        3        7   52.0354   55.7265
augustus_masked-con_C44105-processed-gene-0.0-mRNA-1        792       11        3        7   55.5103   60.5531
snap_masked-con_C44147-processed-gene-0.2-mRNA-1            336       10        3        7   56.0721   61.9911
augustus_masked-con_C44223-processed-gene-0.1-mRNA-1        489       10        3        6   53.1661   61.4560
snap_masked-con_C44459-processed-gene-0.2-mRNA-1           1521       11        3        7   54.0071   60.9648
augustus_masked-con_C44679-processed-gene-0.0-mRNA-1       1344       11        3        7   58.2483   60.6500
snap_masked-con_C44689-processed-gene-0.2-mRNA-1           1011       11        3        7   56.0598   60.5101
augustus_masked-con_C44799-processed-gene-0.0-mRNA-1       1185       11        3        7   54.2631   61.0216
augustus_masked-con_C45133-processed-gene-0.1-mRNA-1        507       11        3        7   55.2954   61.2862
augustus_masked-con_C45803-processed-gene-0.3-mRNA-1        738       11        3        7   52.5697   57.6854
snap_masked-con_C45875-processed-gene-0.0-mRNA-1           1485       11        3        7   55.9921   58.4796
snap_masked-con_C45959-processed-gene-0.1-mRNA-1            444       11        3        7   53.4943   59.9579
augustus_masked-con_C46079-processed-gene-0.0-mRNA-1        687       10        3        7   55.5467   57.4422
snap_masked-con_C46359-processed-gene-0.4-mRNA-1            357        9        3        7   52.0520   56.3598
snap_masked-con_C46359-processed-gene-0.5-mRNA-1           2031       11        3        7   54.8031   61.9225
augustus_masked-con_C46455-processed-gene-0.1-mRNA-1       1425       11        3        7   52.7520   58.7506
augustus_masked-con_C46527-processed-gene-0.1-mRNA-1        861       11        3        7   54.7263   61.0942
snap_masked-con_C46531-processed-gene-0.0-mRNA-1            513       11        3        7   55.2805   60.5615
snap_masked-con_C46863-processed-gene-0.2-mRNA-1           3087       11        3        7   57.1018   61.3572
augustus_masked-con_C47107-processed-gene-0.1-mRNA-1       1446       11        3        7   45.7493   56.3635
genemark-con_C47507-processed-gene-0.1-mRNA-1              2838       11        3        7   58.0614   62.3527
augustus_masked-con_C47545-processed-gene-0.1-mRNA-1        516       11        3        7   54.5593   61.2538
snap_masked-con_C47577-processed-gene-0.0-mRNA-1           2256       11        3        7   54.8195   61.7728
augustus_masked-con_C47577-processed-gene-0.5-mRNA-1       1488       11        3        7   58.2456   62.4344
augustus_masked-con_C47603-processed-gene-0.5-mRNA-1        324       10        3        7   51.9077   56.2123
snap_masked-con_C47603-processed-gene-0.10-mRNA-1           981       10        3        7   43.3935   49.4408
snap_masked-con_C47603-processed-gene-0.11-mRNA-1          1278       10        3        7   45.1226   48.1146
snap_masked-con_C47603-processed-gene-0.12-mRNA-1           453       10        3        7   51.1814   56.7929
augustus_masked-con_C47679-processed-gene-0.2-mRNA-1        648       11        3        7   50.8917   55.2328
