Please cite: 
Sun, X. Y., Yang, Q. Xia, X. 2012. An Improved Implementation of Effective Number of Codons (Nc). Molecular Biology and Evolution 30:191-196.Please note: short sequences may have few 2-fold and 4-fold codon families with useful data and 
may have no codon belonging to 3-fold codon families. Nc from such sequences may not be reliable.

Chosen options:
F as sum of p^2: Yes
Weighted F: Yes
Minimum number of codons for i-fold codon family: i+1.
Pseudocount added to codon counts: 1.00


SeqName                                                                                  SeqLen       N2*      N3*      N4*       Nc     ExpNc
----------------------------------------------------------------------------------------------------------------------------------------------
snap_masked-NODE_100_length_1299_cov_356.065_ID_15740-processed-gene-0.2-mRNA-1            1260       12        1        8   55.2034   61.6490
snap_masked-NODE_106_length_1000_cov_41.6286_ID_17586-processed-gene-0.2-mRNA-1             930       12        1        8   55.8221   62.0403
snap_masked-NODE_109_length_865_cov_40.6506_ID_17612-processed-gene-0.0-mRNA-1              663       12        1        8   55.0827   60.8628
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.25-mRNA-1        618       12        1        8   57.1462   62.6918
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.0-mRNA-1         507       12        1        8   53.7023   62.4315
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.26-mRNA-1        846       11        1        8   53.6637   61.2698
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.1-mRNA-1        1326       12        1        8   56.6335   62.6015
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.2-mRNA-1        1953       12        1        8   58.1966   61.9496
maker-NODE_10_length_297535_cov_17.7821_ID_8534-augustus-gene-0.102-mRNA-1                  822       12        1        8   56.8057   60.2437
snap_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.139-mRNA-1          2946       12        1        8   57.6216   59.6312
snap_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.112-mRNA-1          1074       12        1        8   55.9921   60.1977
snap_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.140-mRNA-1          1344       12        1        8   57.4220   60.6836
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.5-mRNA-1        1725       12        1        8   56.1463   60.8937
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.29-mRNA-1        963       12        1        8   56.6067   61.0290
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.30-mRNA-1        564       12        1        8   54.2736   59.5314
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.31-mRNA-1       2367       12        1        8   56.6891   60.2990
augustus_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.32-mRNA-1       2130       12        1        8   57.7639   61.4043
snap_masked-NODE_10_length_297535_cov_17.7821_ID_8534-processed-gene-0.114-mRNA-1          1917       12        1        8   56.4175   61.6351
